Time (s),V_PRI
0.0,-0.950250112
5e-10,-0.950250112
1e-09,-0.9190001152
1.5000000000000002e-09,-0.8877501184000001
2e-09,-0.8565001216000001
2.5e-09,-0.8877501184000001
3.0000000000000004e-09,-0.8565001216000001
3.5000000000000003e-09,-0.8565001216000001
4e-09,-0.8252501248000002
4.500000000000001e-09,-0.8565001216000001
5e-09,-0.8252501248000002
5.5000000000000004e-09,-0.8252501248000002
6.000000000000001e-09,-0.8877501184000001
6.5e-09,-0.8252501248000002
7.000000000000001e-09,-0.8252501248000002
7.500000000000001e-09,-0.8252501248000002
8e-09,-0.8565001216000001
8.5e-09,-0.8565001216000001
9.000000000000001e-09,-0.8565001216000001
9.5e-09,-0.8877501184000001
1e-08,-0.9190001152
1.0500000000000001e-08,-0.950250112
1.1000000000000001e-08,-0.9815001088000002
1.15e-08,-0.9815001088000002
1.2000000000000002e-08,-1.0440001024
1.2500000000000001e-08,-1.0752500992
1.3e-08,-1.0752500992
1.35e-08,-1.106500096
1.4000000000000001e-08,-1.1377500928000002
1.45e-08,-1.1690000896000001
1.5000000000000002e-08,-1.2002500864
1.55e-08,-1.2315000832
1.6e-08,-1.2940000768000002
1.6500000000000002e-08,-1.3252500736
1.7e-08,-1.3252500736
1.75e-08,-1.3877500672
1.8000000000000002e-08,-1.3877500672
1.85e-08,-1.4502500608000002
1.9e-08,-1.4815000576
1.9500000000000003e-08,-1.4815000576
2e-08,-1.5127500544
2.05e-08,-1.575250048
2.1000000000000003e-08,-1.5127500544
2.15e-08,-1.575250048
2.2000000000000002e-08,-1.6377500416
2.2500000000000003e-08,-1.6065000448000002
2.3e-08,-1.6065000448000002
2.3500000000000002e-08,-1.6065000448000002
2.4000000000000003e-08,-1.6065000448000002
2.45e-08,-1.6377500416
2.5000000000000002e-08,-1.6377500416
2.55e-08,-1.6377500416
2.6e-08,-1.6065000448000002
2.6500000000000002e-08,-1.6377500416
2.7e-08,-1.6377500416
2.75e-08,-1.6065000448000002
2.8000000000000003e-08,-1.6065000448000002
2.85e-08,-1.6065000448000002
2.9e-08,-1.5440000512
2.9500000000000003e-08,-1.575250048
3.0000000000000004e-08,-1.575250048
3.05e-08,-1.5127500544
3.1e-08,-1.4815000576
3.1500000000000004e-08,-1.4815000576
3.2e-08,-1.419000064
3.25e-08,-1.3877500672
3.3000000000000004e-08,-1.3565000704
3.35e-08,-1.3252500736
3.4e-08,-1.26275008
3.4500000000000005e-08,-1.26275008
3.5e-08,-1.2002500864
3.55e-08,-1.1377500928000002
3.6000000000000005e-08,-1.0752500992
3.65e-08,-1.0752500992
3.7e-08,-1.0127501056000001
3.7500000000000005e-08,-0.950250112
3.8e-08,-0.950250112
