Time (s),V_PRI
0.0,-1.3257500800000002
5e-10,-1.3570000768000003
1e-09,-1.3257500800000002
1.5000000000000002e-09,-1.3882500736
2e-09,-1.3570000768000003
2.5e-09,-1.3882500736
3.0000000000000004e-09,-1.4195000704000003
3.5000000000000003e-09,-1.3882500736
4e-09,-1.3882500736
4.500000000000001e-09,-1.3882500736
5e-09,-1.4195000704000003
5.5000000000000004e-09,-1.3882500736
6.000000000000001e-09,-1.4195000704000003
6.5e-09,-1.4195000704000003
7.000000000000001e-09,-1.3882500736
7.500000000000001e-09,-1.4195000704000003
8e-09,-1.3882500736
8.5e-09,-1.3882500736
9.000000000000001e-09,-1.3570000768000003
9.5e-09,-1.3882500736
1e-08,-1.3570000768000003
1.0500000000000001e-08,-1.3257500800000002
1.1000000000000001e-08,-1.3570000768000003
1.15e-08,-1.2945000832000002
1.2000000000000002e-08,-1.3257500800000002
1.2500000000000001e-08,-1.2945000832000002
1.3e-08,-1.2632500864000002
1.35e-08,-1.2945000832000002
1.4000000000000001e-08,-1.2632500864000002
1.45e-08,-1.2632500864000002
1.5000000000000002e-08,-1.2320000896000003
1.55e-08,-1.2632500864000002
1.6e-08,-1.2632500864000002
1.6500000000000002e-08,-1.2320000896000003
1.7e-08,-1.2945000832000002
1.75e-08,-1.2945000832000002
1.8000000000000002e-08,-1.2632500864000002
1.85e-08,-1.2945000832000002
1.9e-08,-1.3570000768000003
1.9500000000000003e-08,-1.3257500800000002
2e-08,-1.3570000768000003
2.05e-08,-1.3882500736
2.1000000000000003e-08,-1.3882500736
2.15e-08,-1.3882500736
2.2000000000000002e-08,-1.3882500736
2.2500000000000003e-08,-1.4195000704000003
2.3e-08,-1.3882500736
2.3500000000000002e-08,-1.4195000704000003
2.4000000000000003e-08,-1.4195000704000003
2.45e-08,-1.4507500672000002
2.5000000000000002e-08,-1.4507500672000002
2.55e-08,-1.4820000640000002
2.6e-08,-1.4820000640000002
2.6500000000000002e-08,-1.4820000640000002
2.7e-08,-1.5132500608000004
2.75e-08,-1.4820000640000002
2.8000000000000003e-08,-1.4507500672000002
2.85e-08,-1.4820000640000002
2.9e-08,-1.4820000640000002
2.9500000000000003e-08,-1.4507500672000002
3.0000000000000004e-08,-1.4507500672000002
3.05e-08,-1.4507500672000002
3.1e-08,-1.4195000704000003
3.1500000000000004e-08,-1.4507500672000002
3.2e-08,-1.4195000704000003
3.25e-08,-1.3882500736
3.3000000000000004e-08,-1.3882500736
3.35e-08,-1.3882500736
3.4e-08,-1.3882500736
3.4500000000000005e-08,-1.3570000768000003
3.5e-08,-1.3570000768000003
3.55e-08,-1.2945000832000002
3.6000000000000005e-08,-1.2945000832000002
3.65e-08,-1.2632500864000002
3.7e-08,-1.2632500864000002
3.7500000000000005e-08,-1.2320000896000003
3.8e-08,-1.2007500928000003
3.85e-08,-1.1695000960000002
3.9000000000000005e-08,-1.1070001024000002
3.95e-08,-1.1070001024000002
4e-08,-1.0445001088000003
4.0500000000000005e-08,-1.0132501120000001
4.1e-08,-0.9820001152000002
4.15e-08,-0.9195001216000003
4.2000000000000006e-08,-0.8570001280000001
4.2500000000000003e-08,-0.8257501312000002
4.3e-08,-0.7945001344000002
4.3500000000000006e-08,-0.7320001408000003
4.4000000000000004e-08,-0.7007501440000004
4.45e-08,-0.6070001536000003
4.5000000000000006e-08,-0.6070001536000003
4.5500000000000004e-08,-0.5445001600000003
4.6e-08,-0.4820001664000002
4.6500000000000006e-08,-0.4195001728000003
4.7000000000000004e-08,-0.3257501824000002
4.75e-08,-0.3257501824000002
4.8000000000000006e-08,-0.2632501888000003
4.8500000000000004e-08,-0.20075019520000037
4.9e-08,-0.13825020160000023
4.95e-08,-0.0757502080000001
5.0000000000000004e-08,-0.04450021120000036
5.05e-08,0.04924977919999973
5.1e-08,0.08049977599999991
5.1500000000000005e-08,0.17424976639999956
5.2e-08,0.23674975999999992
5.25e-08,0.26799975679999966
5.3000000000000005e-08,0.33049975039999957
5.35e-08,0.39299974399999993
5.4e-08,0.45549973759999984
5.4500000000000005e-08,0.4867497343999996
5.5e-08,0.5804997247999997
5.55e-08,0.5804997247999997
5.6000000000000005e-08,0.6429997183999996
5.65e-08,0.7054997119999995
5.7e-08,0.7367497087999997
5.7500000000000005e-08,0.7679997055999999
5.8e-08,0.8304996991999998
5.85e-08,0.8617496959999995
5.9000000000000006e-08,0.8929996927999997
5.9500000000000003e-08,0.9242496895999999
6.000000000000001e-08,0.9867496831999998
6.05e-08,1.0492496767999997
6.1e-08,1.0492496767999997
6.15e-08,1.0492496767999997
6.2e-08,1.0804996735999999
6.250000000000001e-08,1.1117496703999996
6.300000000000001e-08,1.1742496639999995
6.35e-08,1.1742496639999995
6.4e-08,1.1742496639999995
6.45e-08,1.2054996607999997
6.5e-08,1.2054996607999997
6.55e-08,1.2367496575999999
6.600000000000001e-08,1.2679996543999996
6.65e-08,1.2679996543999996
6.7e-08,1.2679996543999996
6.75e-08,1.2679996543999996
6.8e-08,1.3304996479999995
6.85e-08,1.2992496511999998
6.900000000000001e-08,1.2992496511999998
6.950000000000001e-08,1.2992496511999998
7e-08,1.2992496511999998
7.05e-08,1.2992496511999998
7.1e-08,1.2992496511999998
7.15e-08,1.2679996543999996
7.200000000000001e-08,1.2679996543999996
7.250000000000001e-08,1.2679996543999996
7.3e-08,1.2367496575999999
7.35e-08,1.2054996607999997
7.4e-08,1.2367496575999999
7.45e-08,1.1742496639999995
7.500000000000001e-08,1.1742496639999995
7.550000000000001e-08,1.1429996671999998
7.6e-08,1.1429996671999998
7.65e-08,1.1429996671999998
7.7e-08,1.1117496703999996
7.75e-08,1.0804996735999999
7.800000000000001e-08,1.0492496767999997
7.850000000000001e-08,1.0492496767999997
7.9e-08,1.0492496767999997
7.95e-08,1.0179996799999995
8e-08,0.9867496831999998
8.05e-08,0.9867496831999998
8.100000000000001e-08,0.9242496895999999
8.150000000000001e-08,0.8929996927999997
8.2e-08,0.8929996927999997
8.25e-08,0.8617496959999995
8.3e-08,0.8304996991999998
8.35e-08,0.7992497023999996
8.400000000000001e-08,0.8304996991999998
8.450000000000001e-08,0.7679997055999999
8.500000000000001e-08,0.7367497087999997
8.55e-08,0.7054997119999995
8.6e-08,0.7054997119999995
8.65e-08,0.7054997119999995
8.700000000000001e-08,0.7054997119999995
8.750000000000001e-08,0.6429997183999996
8.800000000000001e-08,0.6742497151999998
8.85e-08,0.7054997119999995
8.9e-08,0.6742497151999998
8.95e-08,0.6742497151999998
9.000000000000001e-08,0.6742497151999998
9.050000000000001e-08,0.7054997119999995
9.100000000000001e-08,0.7054997119999995
9.15e-08,0.7054997119999995
9.2e-08,0.7367497087999997
9.25e-08,0.7992497023999996
9.300000000000001e-08,0.7992497023999996
9.350000000000001e-08,0.8617496959999995
9.400000000000001e-08,0.8929996927999997
9.45e-08,0.8929996927999997
9.5e-08,0.9867496831999998
9.55e-08,0.9867496831999998
9.600000000000001e-08,1.0179996799999995
9.650000000000001e-08,1.0492496767999997
9.700000000000001e-08,1.0804996735999999
9.75e-08,1.0804996735999999
9.8e-08,1.1117496703999996
9.85e-08,1.1429996671999998
9.9e-08,1.1742496639999995
9.950000000000001e-08,1.2054996607999997
1.0000000000000001e-07,1.2679996543999996
1.005e-07,1.2679996543999996
1.01e-07,1.2679996543999996
1.015e-07,1.2992496511999998
1.02e-07,1.2992496511999998
1.0250000000000001e-07,1.3304996479999995
1.0300000000000001e-07,1.3304996479999995
1.0350000000000001e-07,1.3304996479999995
1.04e-07,1.3304996479999995
1.045e-07,1.3617496447999997
1.05e-07,1.3304996479999995
1.0550000000000001e-07,1.3304996479999995
1.0600000000000001e-07,1.3304996479999995
1.0650000000000001e-07,1.2992496511999998
1.07e-07,1.2992496511999998
1.075e-07,1.2679996543999996
1.08e-07,1.2992496511999998
1.0850000000000001e-07,1.2679996543999996
1.0900000000000001e-07,1.2367496575999999
1.0950000000000001e-07,1.1429996671999998
1.1e-07,1.1429996671999998
1.105e-07,1.1117496703999996
1.11e-07,1.0804996735999999
1.1150000000000001e-07,0.9867496831999998
1.1200000000000001e-07,0.9867496831999998
1.1250000000000001e-07,0.9242496895999999
1.13e-07,0.8617496959999995
1.135e-07,0.7992497023999996
1.14e-07,0.7679997055999999
1.1450000000000001e-07,0.7054997119999995
1.1500000000000001e-07,0.6117497215999999
1.1550000000000001e-07,0.5804997247999997
1.16e-07,0.5492497279999995
1.165e-07,0.45549973759999984
1.17e-07,0.42424974079999966
1.1750000000000001e-07,0.36174974719999975
1.1800000000000001e-07,0.33049975039999957
1.1850000000000001e-07,0.20549976319999974
1.1900000000000001e-07,0.17424976639999956
1.195e-07,0.08049977599999991
1.2000000000000002e-07,0.017999782399999553
1.205e-07,-0.013250214400000182
1.21e-07,-0.10700020480000028
1.215e-07,-0.20075019520000037
1.22e-07,-0.2632501888000003
1.2250000000000002e-07,-0.3257501824000002
1.23e-07,-0.4195001728000003
1.2350000000000001e-07,-0.45075016960000025
1.24e-07,-0.5132501632000002
1.245e-07,-0.5757501568000003
1.2500000000000002e-07,-0.6382501504000002
1.255e-07,-0.7007501440000004
1.2600000000000002e-07,-0.7632501376000003
1.265e-07,-0.8257501312000002
1.27e-07,-0.8570001280000001
1.275e-07,-0.9195001216000003
1.28e-07,-0.9820001152000002
1.2850000000000002e-07,-1.0132501120000001
1.29e-07,-1.0757501056000003
1.2950000000000001e-07,-1.1382500992000002
1.3e-07,-1.1382500992000002
1.305e-07,-1.2007500928000003
1.31e-07,-1.2007500928000003
1.315e-07,-1.2320000896000003
1.3200000000000002e-07,-1.2320000896000003
1.325e-07,-1.2632500864000002
1.33e-07,-1.2945000832000002
1.335e-07,-1.2945000832000002
1.34e-07,-1.3257500800000002
1.3450000000000002e-07,-1.3570000768000003
1.35e-07,-1.3257500800000002
1.3550000000000002e-07,-1.3570000768000003
1.36e-07,-1.3570000768000003
1.365e-07,-1.3882500736
1.37e-07,-1.3882500736
1.375e-07,-1.4195000704000003
1.3800000000000002e-07,-1.3882500736
1.385e-07,-1.4195000704000003
1.3900000000000001e-07,-1.4195000704000003
1.395e-07,-1.4195000704000003
1.4e-07,-1.3882500736
1.4050000000000002e-07,-1.4195000704000003
1.41e-07,-1.3882500736
1.4150000000000002e-07,-1.3882500736
1.42e-07,-1.3882500736
1.425e-07,-1.3882500736
1.43e-07,-1.3257500800000002
1.435e-07,-1.3257500800000002
1.4400000000000002e-07,-1.3570000768000003
1.445e-07,-1.3257500800000002
1.4500000000000001e-07,-1.3257500800000002
1.455e-07,-1.3257500800000002
1.46e-07,-1.2945000832000002
1.4650000000000002e-07,-1.2945000832000002
1.47e-07,-1.3257500800000002
1.4750000000000002e-07,-1.2945000832000002
1.48e-07,-1.2320000896000003
1.485e-07,-1.2320000896000003
1.49e-07,-1.2632500864000002
1.495e-07,-1.2320000896000003
1.5000000000000002e-07,-1.2632500864000002
1.505e-07,-1.2320000896000003
1.5100000000000002e-07,-1.2320000896000003
1.515e-07,-1.2945000832000002
