Time (s),VGS_A,VGS_B,VDS_A
0.0,4.9999993088,0.062499814399999964,-1.8749957120000005
5e-10,4.9374993152,-1.7920000017213056e-07,-1.2499957760000058
1e-09,4.9374993152,-0.06250017280000009,-0.624995840000004
1.5000000000000002e-09,4.9374993152,-0.1250001664,-1.8749957120000005
2e-09,4.9374993152,-0.1250001664,-2.4999956480000023
2.5e-09,4.8749993216,-0.1250001664,-1.8749957120000005
3.0000000000000004e-09,4.9374993152,-0.06250017280000009,-0.624995840000004
3.5000000000000003e-09,4.9999993088,-0.06250017280000009,-1.8749957120000005
4e-09,5.0624993024,-0.06250017280000009,-1.2499957760000058
4.500000000000001e-09,5.0624993024,-0.1250001664,-1.2499957760000058
5e-09,4.9999993088,-0.1250001664,-1.8749957120000005
5.5000000000000004e-09,5.0624993024,-0.06250017280000009,-1.2499957760000058
6.000000000000001e-09,5.0624993024,-0.1250001664,-1.2499957760000058
6.5e-09,5.0624993024,-0.18750016000000014,-2.4999956480000023
7.000000000000001e-09,4.8749993216,-0.18750016000000014,-1.2499957760000058
7.500000000000001e-09,4.9374993152,-0.06250017280000009,-1.8749957120000005
8e-09,4.9999993088,-0.06250017280000009,-1.8749957120000005
8.5e-09,4.9999993088,-0.06250017280000009,-1.2499957760000058
9.000000000000001e-09,4.9999993088,-0.1250001664,4.0959999978440464e-06
9.5e-09,4.8749993216,-0.1250001664,-1.2499957760000058
1e-08,4.9374993152,-0.06250017280000009,-1.8749957120000005
1.0500000000000001e-08,4.9374993152,-0.1250001664,-2.4999956480000023
1.1000000000000001e-08,4.9374993152,-0.1250001664,-1.2499957760000058
1.15e-08,4.9374993152,-0.1250001664,-1.8749957120000005
1.2000000000000002e-08,4.9374993152,-0.1250001664,-1.8749957120000005
1.2500000000000001e-08,4.9374993152,-0.1250001664,-1.8749957120000005
1.3e-08,4.8124993279999995,-0.1250001664,-2.4999956480000023
1.35e-08,4.9374993152,-0.06250017280000009,-2.4999956480000023
1.4000000000000001e-08,4.8749993216,-0.06250017280000009,-1.8749957120000005
1.45e-08,4.8749993216,-0.18750016000000014,-1.8749957120000005
1.5000000000000002e-08,4.8749993216,-0.18750016000000014,-1.2499957760000058
1.55e-08,4.9374993152,-0.1250001664,-1.8749957120000005
1.6e-08,4.9999993088,-0.06250017280000009,-1.8749957120000005
1.6500000000000002e-08,4.9999993088,-0.06250017280000009,-1.8749957120000005
1.7e-08,4.9999993088,-0.1250001664,-1.2499957760000058
1.75e-08,4.9374993152,-0.1250001664,-1.8749957120000005
1.8000000000000002e-08,4.9374993152,-0.18750016000000014,-2.4999956480000023
1.85e-08,4.9374993152,-0.06250017280000009,-2.4999956480000023
1.9e-08,4.9374993152,-0.06250017280000009,-1.2499957760000058
1.9500000000000003e-08,4.9374993152,-0.1250001664,-1.8749957120000005
2e-08,4.9374993152,-0.1250001664,-1.8749957120000005
2.05e-08,4.9374993152,-0.18750016000000014,-2.4999956480000023
2.1000000000000003e-08,4.8749993216,-0.06250017280000009,-2.4999956480000023
2.15e-08,4.9999993088,-1.7920000017213056e-07,-2.4999956480000023
2.2000000000000002e-08,4.9374993152,-0.06250017280000009,-2.4999956480000023
2.2500000000000003e-08,4.9374993152,-0.18750016000000014,-2.4999956480000023
2.3e-08,4.8749993216,-0.18750016000000014,-1.2499957760000058
2.3500000000000002e-08,4.8749993216,-0.1250001664,-1.8749957120000005
2.4000000000000003e-08,4.8749993216,-0.06250017280000009,-3.124995584000004
2.45e-08,4.8749993216,-0.06250017280000009,-3.124995584000004
2.5000000000000002e-08,4.4999993599999994,-0.1250001664,-1.8749957120000005
2.55e-08,3.8124994304,-0.1250001664,-1.8749957120000005
2.6e-08,3.3124994815999997,-0.1250001664,-3.124995584000004
2.6500000000000002e-08,2.9999995135999997,-0.1250001664,-3.124995584000004
2.7e-08,2.6874995455999997,-0.06250017280000009,-1.8749957120000005
2.75e-08,2.1874995968,-0.1250001664,-1.8749957120000005
2.8000000000000003e-08,1.1874996992,-0.1250001664,-0.624995840000004
2.85e-08,0.18749980160000002,-0.18750016000000014,0.6250040319999997
2.9e-08,-0.8750000896000001,-0.1250001664,1.8750039039999962
2.9500000000000003e-08,-1.5000000256,-1.7920000017213056e-07,4.375003647999996
3.0000000000000004e-08,-1.8124999936,-0.06250017280000009,6.875003391999996
3.05e-08,-2.062499968,-0.1250001664,10.000003071999998
3.1e-08,-2.1249999616,-0.1250001664,13.750002687999999
3.1500000000000004e-08,-2.1249999616,-0.06250017280000009,13.125002752
3.2e-08,-2.062499968,-0.06250017280000009,11.250002943999998
3.25e-08,-1.8749999872,-0.1250001664,11.875002879999997
3.3000000000000004e-08,-1.3750000384,-0.1250001664,15.000002559999999
3.35e-08,-0.6250001152,-0.1250001664,20.625001984
3.4e-08,0.062499814399999964,-0.18750016000000014,26.250001408
3.4500000000000005e-08,0.49999976960000003,-0.1250001664,26.875001343999998
3.5e-08,0.6249997567999999,-0.1250001664,25.625001472
3.55e-08,0.5624997632,-0.1250001664,22.500001792
3.6000000000000005e-08,0.5624997632,-0.1250001664,24.375001599999997
3.65e-08,0.8124997376,-0.1250001664,29.375001087999998
3.7e-08,0.9999997183999998,-0.1250001664,36.250000384
3.7500000000000005e-08,1.1249997056,-1.7920000017213056e-07,40.0
3.8e-08,0.8124997376,-1.7920000017213056e-07,38.125000192
3.85e-08,0.4374997760000001,-0.18750016000000014,33.750000639999996
3.9000000000000005e-08,0.12499980799999988,-0.18750016000000014,33.125000704
3.95e-08,0.062499814399999964,-0.1250001664,36.87500032
4e-08,0.12499980799999988,-0.1250001664,42.499999744
4.0500000000000005e-08,0.062499814399999964,-0.1250001664,46.874999296
4.1e-08,-0.31250014719999997,-0.1250001664,45.624999424
4.15e-08,-0.7500001024,-0.18750016000000014,41.874999808
4.2000000000000006e-08,-0.7500001024,-0.25000015360000005,42.499999744
4.2500000000000003e-08,-0.4375001344,-0.25000015360000005,44.999999488
4.3e-08,-0.1250001664,-0.18750016000000014,49.999998976
4.3500000000000006e-08,-1.7920000017213056e-07,-0.18750016000000014,49.37499904
4.4000000000000004e-08,-0.25000015360000005,-0.25000015360000005,46.874999296
4.45e-08,-0.4375001344,-0.31250014719999997,45.624999424
4.5000000000000006e-08,-0.3750001408000001,-0.25000015360000005,48.749999104
4.5500000000000004e-08,-1.7920000017213056e-07,-0.18750016000000014,53.749998592
4.6e-08,0.24999979519999993,-0.18750016000000014,54.999998464
4.6500000000000006e-08,0.24999979519999993,-0.25000015360000005,51.874998784
4.7000000000000004e-08,0.062499814399999964,-0.31250014719999997,48.749999104
4.75e-08,-1.7920000017213056e-07,-0.4375001344,48.124999168
4.8000000000000006e-08,0.062499814399999964,-0.3750001408000001,51.874998784
4.8500000000000004e-08,0.24999979519999993,-0.4375001344,55.6249984
4.9e-08,0.24999979519999993,-0.4375001344,56.249998336000004
4.95e-08,-1.7920000017213056e-07,-0.5000001279999999,53.124998656
5.0000000000000004e-08,-0.18750016000000014,-0.4375001344,51.249998848000004
5.05e-08,-0.1250001664,-0.1250001664,51.249998848000004
5.1e-08,-1.7920000017213056e-07,0.31249978879999984,53.749998592
5.1500000000000005e-08,0.062499814399999964,0.8124997376,53.749998592
5.2e-08,-0.06250017280000009,1.3749996799999997,52.49999872
5.25e-08,-0.25000015360000005,1.9374996223999998,51.874998784
5.3000000000000005e-08,-0.3750001408000001,2.5624995584,51.874998784
5.35e-08,-0.25000015360000005,3.3749994752,53.124998656
5.4e-08,-0.06250017280000009,3.9999994112,53.749998592
5.4500000000000005e-08,-1.7920000017213056e-07,4.2499993856,51.874998784
5.5e-08,-0.06250017280000009,4.3749993728,50.624998912
5.55e-08,-0.1250001664,4.5624993536,49.999998976
5.6000000000000005e-08,-0.1250001664,4.7499993344,49.999998976
5.65e-08,-0.1250001664,5.1249992959999995,51.249998848000004
5.7e-08,-1.7920000017213056e-07,5.3124992768,51.874998784
5.7500000000000005e-08,-0.06250017280000009,5.3124992768,51.249998848000004
5.8e-08,-0.06250017280000009,5.3124992768,49.37499904
5.85e-08,-1.7920000017213056e-07,5.4374992639999995,48.124999168
5.9000000000000006e-08,-1.7920000017213056e-07,5.562499251199999,49.37499904
5.9500000000000003e-08,-1.7920000017213056e-07,5.6874992384,48.124999168
6.000000000000001e-08,-1.7920000017213056e-07,5.6249992448,48.749999104
6.05e-08,-0.06250017280000009,5.562499251199999,48.124999168
6.1e-08,-0.1250001664,5.562499251199999,47.499999232
6.15e-08,-0.06250017280000009,5.6249992448,47.499999232
6.2e-08,-1.7920000017213056e-07,5.6249992448,47.499999232
6.250000000000001e-08,-1.7920000017213056e-07,5.4374992639999995,47.499999232
6.300000000000001e-08,-1.7920000017213056e-07,5.3749992704,46.874999296
6.35e-08,-0.06250017280000009,5.249999283199999,44.999999488
