FREQ,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_GS_A_pp,V_GS_A_amp,V_GS_A_max,V_GS_A_top,V_GS_A_min,V_GS_A_bot,V_GS_B_pp,V_GS_B_amp,V_GS_B_max,V_GS_B_top,V_GS_B_min,V_GS_B_bot,V_DS_A_pp,V_DS_A_amp,V_DS_A_max,V_DS_A_top,V_DS_A_min,V_DS_A_bot,V_DS_B_pp
6000000.0,25.413229,1.42000764,36.08697933706956,42.21534,0.6775899,28.59417,9.9e+37,9.9e+37,9.9e+37,9.9e+37,-2.19,-0.06,9.9e+37,9.9e+37,9.9e+37,9.9e+37,-2.63,-0.13,61.3,61.3,53.8,53.8,-7.5,-7.5,66.3
6100000.0,26.311099,1.77836674,46.79078335444726,49.40047,0.7930849,39.16818,9.9e+37,9.9e+37,9.9e+37,9.9e+37,-2.38,-0.06,9.9e+37,9.9e+37,9.9e+37,9.9e+37,-2.69,-0.06,63.1,58.8,56.3,51.9,-6.9,-6.9,67.5
6200000.0,25.138045,1.93006218,48.517989933638106,51.18906,0.8295994,42.46764,9.9e+37,5.19,9.9e+37,5.13,-2.38,-0.06,9.9e+37,9.9e+37,9.9e+37,9.9e+37,-2.69,-0.06,63.1,63.1,58.1,51.3,-5.0,-2.5,63.1
6300000.0,25.112306,2.02127998,50.75900136943388,53.10803,0.8606175,45.70911,8.19,5.06,5.94,5.0,-2.25,-0.06,9.9e+37,5.19,9.9e+37,5.13,-2.81,-0.06,66.3,63.1,61.3,61.3,-5.0,-1.9,58.1
6400000.0,25.197571,2.01844914,50.86001551503894,53.59169,0.8684657,46.51936,8.0,5.0,5.81,4.94,-2.19,-0.06,8.63,5.0,5.88,4.88,-2.75,-0.13,65.0,63.1,61.3,61.3,-3.8,-1.9,51.9
6500000.0,25.037239,1.84534126,46.20225016318114,51.05197,0.827291,42.23706,7.81,5.0,5.75,4.88,-2.13,-0.06,8.44,5.0,5.75,4.88,-2.81,-0.13,65.0,52.5,60.6,50.6,-4.4,-1.9,56.3
6600000.0,25.007307,1.66660646,41.677339393403216,48.34033,0.7834218,37.86939,7.81,5.0,5.69,4.94,-2.13,-0.06,8.5,5.0,5.69,4.88,-2.81,-0.13,63.8,52.5,59.4,50.6,-5.0,-1.9,56.9
6700000.0,25.011777,1.49809684,37.47006408648468,45.72092,0.7409042,33.88227,7.69,5.0,5.56,4.94,-2.13,-0.06,8.38,5.06,5.56,4.94,-2.81,-0.13,63.8,60.0,58.1,58.1,-5.6,-1.9,55.6
6780000.0,25.013615,1.3853606,34.652876684569,43.90239,0.7112474,31.22286,7.75,5.0,5.56,4.94,-2.13,-0.06,8.44,5.0,5.63,4.88,-2.81,-0.13,61.3,58.1,56.3,56.3,-5.0,-1.9,56.3
6800000.0,25.016934,1.36039858,34.03300148955372,43.48079,0.7045583,30.63136,7.81,5.0,5.63,4.94,-2.19,-0.06,8.44,5.0,5.63,4.94,-2.81,-0.13,61.3,58.1,56.3,56.3,-5.0,-1.9,55.6
6900000.0,25.020397,1.25425237,31.381892235590886,41.64011,0.6749007,28.10096,7.81,4.94,5.69,4.88,-2.13,-0.06,8.56,5.0,5.75,4.88,-2.81,-0.13,61.3,58.1,56.3,56.3,-5.0,-1.9,56.9
7000000.0,25.015878,1.17051694,29.28150896797332,40.11439,0.6503429,26.08312,7.94,5.0,5.75,4.94,-2.19,-0.06,8.56,5.13,5.75,5.0,-2.81,-0.13,60.0,56.9,55.0,55.0,-5.0,-1.9,57.5
7100000.0,25.015247,1.10425888,27.623308635143356,38.83985,0.6293576,24.43505,7.81,5.0,5.69,4.88,-2.19,-0.06,8.44,5.06,5.69,4.94,-2.75,-0.13,61.3,58.1,56.3,56.3,-5.0,-1.9,58.1
7200000.0,25.015047,1.03105278,25.791833751180658,37.34866,0.6053243,22.6079,7.88,4.94,5.69,4.94,-2.19,-0.06,8.56,4.94,5.75,4.88,-2.81,-0.13,63.8,60.6,58.8,58.8,-5.0,-1.9,60.0
7300000.0,25.00734,0.926956075,23.1807057325905,35.11659,0.5693751,19.99572,7.81,5.0,5.69,4.94,-2.13,-0.06,8.56,4.94,5.75,4.81,-2.81,-0.13,66.3,62.5,60.6,60.6,-5.6,-1.9,62.5
7400000.0,25.002016,0.813907501,20.349328362522016,32.53466,0.5274451,17.15975,7.75,4.94,5.63,4.94,-2.19,-0.06,8.56,4.94,5.69,4.81,-2.88,-0.06,68.8,65.6,63.8,63.8,-5.0,-1.9,65.0
7500000.0,24.962094,0.670937904,16.748015027810975,28.98176,0.4695755,13.60852,7.88,5.06,5.69,4.94,-2.13,-0.06,8.56,5.06,5.63,4.88,-2.81,-0.13,70.6,68.1,65.6,65.0,-5.0,-1.9,67.5
