"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+5.00000000000E+004, +2.89973025069E+003, +0.00000000000E+000
+5.19950000000E+004, +2.99473876309E+003, +0.00000000000E+000
+5.39900000000E+004, +2.95492058900E+003, +0.00000000000E+000
+5.59850000000E+004, +2.83004051107E+003, +0.00000000000E+000
+5.79800000000E+004, +2.73503132344E+003, +0.00000000000E+000
+5.99750000000E+004, +2.62700798939E+003, +0.00000000000E+000
+6.19700000000E+004, +2.54327274401E+003, +0.00000000000E+000
+6.39650000000E+004, +2.45267085376E+003, +0.00000000000E+000
+6.59600000000E+004, +2.37551480126E+003, +0.00000000000E+000
+6.79550000000E+004, +2.29915638382E+003, +0.00000000000E+000
+6.99500000000E+004, +2.23017558014E+003, +0.00000000000E+000
+7.19450000000E+004, +2.14995880097E+003, +0.00000000000E+000
+7.39400000000E+004, +2.10369966630E+003, +0.00000000000E+000
+7.59350000000E+004, +2.04088975681E+003, +0.00000000000E+000
+7.79300000000E+004, +1.98741055211E+003, +0.00000000000E+000
+7.99250000000E+004, +1.94024982728E+003, +0.00000000000E+000
+8.19200000000E+004, +1.88647247336E+003, +0.00000000000E+000
+8.39150000000E+004, +1.83985971580E+003, +0.00000000000E+000
+8.59100000000E+004, +1.79460448446E+003, +0.00000000000E+000
+8.79050000000E+004, +1.75554388953E+003, +0.00000000000E+000
+8.99000000000E+004, +1.71583206671E+003, +0.00000000000E+000
+9.18950000000E+004, +1.67481323701E+003, +0.00000000000E+000
+9.38900000000E+004, +1.63827335041E+003, +0.00000000000E+000
+9.58850000000E+004, +1.60405519144E+003, +0.00000000000E+000
+9.78800000000E+004, +1.56705235775E+003, +0.00000000000E+000
+9.98750000000E+004, +1.53745826647E+003, +0.00000000000E+000
+1.01870000000E+005, +1.50913522704E+003, +0.00000000000E+000
+1.03865000000E+005, +1.47601822329E+003, +0.00000000000E+000
+1.05860000000E+005, +1.44576271592E+003, +0.00000000000E+000
+1.07855000000E+005, +1.42123785251E+003, +0.00000000000E+000
