"# Channel 1"
"# Trace 3"
Frequency, Formatted Data, Formatted Data
+5.00000000000E+004, -7.57254254597E+003, +0.00000000000E+000
+5.19950000000E+004, -2.17184744416E+004, +0.00000000000E+000
+5.39900000000E+004, -3.34386558435E+004, +0.00000000000E+000
+5.59850000000E+004, -4.22735270607E+004, +0.00000000000E+000
+5.79800000000E+004, -4.98497278906E+004, +0.00000000000E+000
+5.99750000000E+004, -5.76406757543E+004, +0.00000000000E+000
+6.19700000000E+004, -5.54261373247E+004, +0.00000000000E+000
+6.39650000000E+004, -6.33195734594E+004, +0.00000000000E+000
+6.59600000000E+004, -6.10324247896E+004, +0.00000000000E+000
+6.79550000000E+004, -3.87970747000E+004, +0.00000000000E+000
+6.99500000000E+004, -4.22632744488E+004, +0.00000000000E+000
+7.19450000000E+004, -4.44952645940E+004, +0.00000000000E+000
+7.39400000000E+004, -4.40567711862E+004, +0.00000000000E+000
+7.59350000000E+004, -4.93259253458E+004, +0.00000000000E+000
+7.79300000000E+004, -4.79500807435E+004, +0.00000000000E+000
+7.99250000000E+004, -5.24597663112E+004, +0.00000000000E+000
+8.19200000000E+004, -3.71506495126E+004, +0.00000000000E+000
+8.39150000000E+004, -4.19919211940E+004, +0.00000000000E+000
+8.59100000000E+004, -3.82660968634E+004, +0.00000000000E+000
+8.79050000000E+004, -4.07068352727E+004, +0.00000000000E+000
+8.99000000000E+004, -3.58781863842E+004, +0.00000000000E+000
+9.18950000000E+004, -2.99974334009E+004, +0.00000000000E+000
+9.38900000000E+004, -3.12977098757E+004, +0.00000000000E+000
+9.58850000000E+004, -3.36559923517E+004, +0.00000000000E+000
+9.78800000000E+004, -2.96097392006E+004, +0.00000000000E+000
+9.98750000000E+004, -3.23364438805E+004, +0.00000000000E+000
+1.01870000000E+005, -3.22584730982E+004, +0.00000000000E+000
+1.03865000000E+005, -3.00093589020E+004, +0.00000000000E+000
+1.05860000000E+005, -2.64988057589E+004, +0.00000000000E+000
+1.07855000000E+005, -2.89493694168E+004, +0.00000000000E+000
+1.09850000000E+005, -2.60259131389E+004, +0.00000000000E+000
+1.11845000000E+005, -2.23667182224E+004, +0.00000000000E+000
+1.13840000000E+005, -2.27961093730E+004, +0.00000000000E+000
+1.15835000000E+005, -2.44199986421E+004, +0.00000000000E+000
+1.17830000000E+005, -2.31982807829E+004, +0.00000000000E+000
+1.19825000000E+005, -2.02962078015E+004, +0.00000000000E+000
+1.21820000000E+005, -2.29479113841E+004, +0.00000000000E+000
+1.23815000000E+005, -2.14678143120E+004, +0.00000000000E+000
+1.25810000000E+005, -2.05644456068E+004, +0.00000000000E+000
+1.27805000000E+005, -1.99275807567E+004, +0.00000000000E+000
+1.29800000000E+005, -1.93471660594E+004, +0.00000000000E+000
+1.31795000000E+005, -1.83639847254E+004, +0.00000000000E+000
+1.33790000000E+005, -2.31144570166E+004, +0.00000000000E+000
+1.35785000000E+005, -1.91963532741E+004, +0.00000000000E+000
+1.37780000000E+005, -1.72298263688E+004, +0.00000000000E+000
+1.39775000000E+005, -1.86845334519E+004, +0.00000000000E+000
+1.41770000000E+005, -2.00033622329E+004, +0.00000000000E+000
+1.43765000000E+005, -1.76454360592E+004, +0.00000000000E+000
+1.45760000000E+005, -1.80735217982E+004, +0.00000000000E+000
+1.47755000000E+005, -1.50464408540E+004, +0.00000000000E+000
+1.49750000000E+005, -1.62742879673E+004, +0.00000000000E+000
+1.51745000000E+005, -1.40719212902E+004, +0.00000000000E+000
+1.53740000000E+005, -1.33412722322E+004, +0.00000000000E+000
+1.55735000000E+005, -1.20959857976E+004, +0.00000000000E+000
+1.57730000000E+005, -1.78716328875E+004, +0.00000000000E+000
+1.59725000000E+005, -1.60558391950E+004, +0.00000000000E+000
+1.61720000000E+005, -1.41062178592E+004, +0.00000000000E+000
+1.63715000000E+005, -1.44873081020E+004, +0.00000000000E+000
+1.65710000000E+005, -1.32739624237E+004, +0.00000000000E+000
+1.67705000000E+005, -1.50600162969E+004, +0.00000000000E+000
+1.69700000000E+005, -1.41096647767E+004, +0.00000000000E+000
+1.71695000000E+005, -1.52767302158E+004, +0.00000000000E+000
+1.73690000000E+005, -1.26314173057E+004, +0.00000000000E+000
+1.75685000000E+005, -1.35245475634E+004, +0.00000000000E+000
+1.77680000000E+005, -1.49675485178E+004, +0.00000000000E+000
+1.79675000000E+005, -1.21414725477E+004, +0.00000000000E+000
+1.81670000000E+005, -1.30404073175E+004, +0.00000000000E+000
+1.83665000000E+005, -1.36083950008E+004, +0.00000000000E+000
+1.85660000000E+005, -1.13813889001E+004, +0.00000000000E+000
+1.87655000000E+005, -1.31686577668E+004, +0.00000000000E+000
+1.89650000000E+005, -1.23521724109E+004, +0.00000000000E+000
+1.91645000000E+005, -1.12524148630E+004, +0.00000000000E+000
+1.93640000000E+005, -8.90173262120E+003, +0.00000000000E+000
+1.95635000000E+005, -1.00550080394E+004, +0.00000000000E+000
+1.97630000000E+005, -9.93599545634E+003, +0.00000000000E+000
+1.99625000000E+005, -1.16729931682E+004, +0.00000000000E+000
+2.01620000000E+005, -1.27157391997E+004, +0.00000000000E+000
+2.03615000000E+005, -1.17299338330E+004, +0.00000000000E+000
+2.05610000000E+005, -1.10252844813E+004, +0.00000000000E+000
+2.07605000000E+005, -1.15835441661E+004, +0.00000000000E+000
+2.09600000000E+005, -1.02682983296E+004, +0.00000000000E+000
+2.11595000000E+005, -1.03646491176E+004, +0.00000000000E+000
+2.13590000000E+005, -1.08741182611E+004, +0.00000000000E+000
+2.15585000000E+005, -1.02553245917E+004, +0.00000000000E+000
+2.17580000000E+005, -1.01926325412E+004, +0.00000000000E+000
+2.19575000000E+005, -1.00623348930E+004, +0.00000000000E+000
+2.21570000000E+005, -9.66406294339E+003, +0.00000000000E+000
+2.23565000000E+005, -8.70011918544E+003, +0.00000000000E+000
+2.25560000000E+005, -8.42768468514E+003, +0.00000000000E+000
+2.27555000000E+005, -8.95000364971E+003, +0.00000000000E+000
+2.29550000000E+005, -9.36084440912E+003, +0.00000000000E+000
+2.31545000000E+005, -1.08692411006E+004, +0.00000000000E+000
+2.33540000000E+005, -8.82052753227E+003, +0.00000000000E+000
+2.35535000000E+005, -8.56907143248E+003, +0.00000000000E+000
+2.37530000000E+005, -8.88130753233E+003, +0.00000000000E+000
+2.39525000000E+005, -8.10579868196E+003, +0.00000000000E+000
+2.41520000000E+005, -8.34139422844E+003, +0.00000000000E+000
+2.43515000000E+005, -8.60659983955E+003, +0.00000000000E+000
+2.45510000000E+005, -8.22211935038E+003, +0.00000000000E+000
+2.47505000000E+005, -7.72473396051E+003, +0.00000000000E+000
+2.49500000000E+005, -7.54369993240E+003, +0.00000000000E+000
+2.51495000000E+005, -7.42809341159E+003, +0.00000000000E+000
+2.53490000000E+005, -7.10503382492E+003, +0.00000000000E+000
+2.55485000000E+005, -7.42062501374E+003, +0.00000000000E+000
+2.57480000000E+005, -7.67900884660E+003, +0.00000000000E+000
+2.59475000000E+005, -6.48954092137E+003, +0.00000000000E+000
+2.61470000000E+005, -7.46439502596E+003, +0.00000000000E+000
+2.63465000000E+005, -6.44985782364E+003, +0.00000000000E+000
+2.65460000000E+005, -7.82994482364E+003, +0.00000000000E+000
+2.67455000000E+005, -7.87632610253E+003, +0.00000000000E+000
+2.69450000000E+005, -7.81325431866E+003, +0.00000000000E+000
+2.71445000000E+005, -7.94472332011E+003, +0.00000000000E+000
+2.73440000000E+005, -7.46315347891E+003, +0.00000000000E+000
+2.75435000000E+005, -7.21499904055E+003, +0.00000000000E+000
+2.77430000000E+005, -7.84795925317E+003, +0.00000000000E+000
+2.79425000000E+005, -7.30659507929E+003, +0.00000000000E+000
+2.81420000000E+005, -7.30220554695E+003, +0.00000000000E+000
+2.83415000000E+005, -6.86387433809E+003, +0.00000000000E+000
+2.85410000000E+005, -6.60868337082E+003, +0.00000000000E+000
+2.87405000000E+005, -6.63872304928E+003, +0.00000000000E+000
+2.89400000000E+005, -6.63321926019E+003, +0.00000000000E+000
+2.91395000000E+005, -5.83121141214E+003, +0.00000000000E+000
+2.93390000000E+005, -6.24535056843E+003, +0.00000000000E+000
+2.95385000000E+005, -5.68962662319E+003, +0.00000000000E+000
+2.97380000000E+005, -6.88804325932E+003, +0.00000000000E+000
+2.99375000000E+005, -4.48155711041E+003, +0.00000000000E+000
+3.01370000000E+005, -5.01185976750E+003, +0.00000000000E+000
+3.03365000000E+005, -5.58889976998E+003, +0.00000000000E+000
+3.05360000000E+005, -4.66758831106E+003, +0.00000000000E+000
+3.07355000000E+005, -5.90888816004E+003, +0.00000000000E+000
+3.09350000000E+005, -5.35380282614E+003, +0.00000000000E+000
+3.11345000000E+005, -5.79335310473E+003, +0.00000000000E+000
+3.13340000000E+005, -5.17508539399E+003, +0.00000000000E+000
