FREQ,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_IN_PP,I_IN_PP,V_OUT_PP,I_OUT_PP
6000000.0,26.846654,1.50736732,40.46776889094728,41.97915,0.7321281,33.14784,0.98,0.075,1.244,0.078
6100000.0,25.547899,1.65950499,42.39686587451602,46.68697,0.7585562,35.54145,1.14,0.059,1.256,0.069
6200000.0,25.319745,1.82811007,46.28728080433215,50.44751,0.8094025,40.43095,0.98,0.064,1.563,0.084
6300000.0,25.024001,1.88197758,47.094608843897575,51.17117,0.8289989,42.43083,0.58,0.117,1.019,0.045
6400000.0,24.976101,1.89196207,47.25383574848907,51.68661,0.8376177,43.29677,0.64,0.03,0.906,0.034
6500000.0,25.003452,1.78611898,44.65914018271896,50.25456,0.8144873,40.92268,0.64,0.025,0.831,0.036
6600000.0,25.017017,1.64269996,41.09545282521932,48.12634,0.779691,37.5303,0.52,0.019,0.7,0.038
6700000.0,25.020921,1.51371066,37.87443484071787,46.14122,0.7477326,34.50215,0.42,0.017,0.669,0.027
6780000.0,25.019564,1.41897379,35.50210555322756,44.58294,0.7222866,32.20523,0.45,0.017,0.7,0.034
6800000.0,25.017999,1.39625689,34.93155347776311,44.19641,0.7162,31.64988,0.48,0.016,0.663,0.034
6900000.0,25.016239,1.30610071,32.67372751942969,42.69275,0.6916811,29.50962,0.44,0.022,0.656,0.039
7000000.0,25.012694,1.24000601,31.015890886290943,41.53353,0.671936,27.90359,0.52,0.017,0.625,0.03
7100000.0,25.008871,1.17358682,29.350081388680216,40.25553,0.6520686,26.24544,0.45,0.019,0.669,0.031
7200000.0,25.007604,1.10020652,27.51352897037808,38.76754,0.6282309,24.35808,0.31,0.019,0.556,0.03
7300000.0,25.004617,1.01643777,25.41563714318409,37.00205,0.5997303,22.19483,0.42,0.019,0.525,0.027
7400000.0,25.000176,0.897176845,22.429579028124717,34.37908,0.5572008,19.15567,0.5,0.022,0.613,0.034
7500000.0,24.985014,0.773240176,19.31941662272246,31.39316,0.5082672,15.95659,0.59,0.033,0.588,0.044
