VIN,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_IN_PP,I_IN_PP,V_OUT_PP,I_OUT_PP
18.0,18.014575,1.00734813,18.14694843899475,31.81898,0.5157158,16.41253,0.25,0.017,0.231,0.022
18.5,18.515916,1.03764854,19.21301320416264,32.74626,0.5305399,17.36821,0.3,0.02,0.25,0.023
19.0,19.017796,1.06586489,20.270401041582442,33.66093,0.5453943,18.36193,0.28,0.019,0.272,0.025
19.5,19.51876,1.09367658,21.3472106826408,34.54903,0.55972,19.33887,0.34,0.017,0.284,0.025
20.0,20.019997,1.1220183,22.462802999945097,35.44384,0.574484,20.36139,0.34,0.019,0.303,0.028
20.5,20.519583,1.1497947,23.5933077796101,36.34381,0.5888377,21.40097,0.38,0.022,0.322,0.031
21.0,21.017779,1.17678585,24.733424925627148,37.2071,0.6030291,22.44122,0.42,0.022,0.294,0.033
21.5,21.519667,1.20649006,25.963264330010016,38.12821,0.6179775,23.56145,0.48,0.025,0.281,0.038
22.0,22.02336,1.23551252,27.210137012467197,39.01513,0.6326872,24.68332,0.55,0.023,0.278,0.034
22.5,22.530133,1.26684164,28.54211063913812,39.97284,0.6478941,25.90051,0.52,0.023,0.288,0.038
23.0,23.036184,1.29805631,29.90226399952104,40.92879,0.663233,27.14437,0.55,0.019,0.284,0.036
23.5,23.543454,1.32871788,31.28260828675752,41.88074,0.6785778,28.41686,0.56,0.022,0.303,0.036
24.0,24.044182,1.35786366,32.64872097222612,42.77398,0.6935198,29.65966,0.48,0.023,0.3,0.031
24.5,24.53983,1.38798421,34.060896556084295,43.69399,0.7078618,30.94147,0.63,0.02,0.341,0.034
25.0,25.042915,1.41782587,35.50649274721105,44.62127,0.7231359,32.2607,0.72,0.028,0.334,0.033
25.5,25.55102,1.4472901,36.979738290902006,45.53864,0.7382011,33.60839,0.72,0.025,0.35,0.031
26.0,26.054453,1.47744816,38.49410364465648,46.48746,0.753192,35.01227,0.69,0.023,0.359,0.033
26.5,26.557116,1.50593839,39.99338051208324,47.38184,0.7679116,36.39018,0.73,0.03,0.388,0.031
27.0,27.062134,1.53612503,41.57082140261402,48.30124,0.7824977,37.79884,0.5,0.033,0.428,0.03
27.5,27.584337,1.56414098,43.14579190783026,49.23906,0.7977691,39.29291,0.56,0.028,0.466,0.031
28.0,28.091475,1.592274,44.72932526415,50.11284,0.8129527,40.73613,0.61,0.028,0.466,0.034
