Time (s),V_TANK_IN,I_PRI,V_TANK_OUT
0.0,-49.999993856,-1.1250000896,35.937499136
5e-10,-49.999993856,-1.1250000896,34.37499904
1e-09,-48.43749376000001,-1.0000001024,34.37499904
1.5000000000000002e-09,-49.999993856,-1.0000001024,34.37499904
2e-09,-49.999993856,-1.1250000896,32.812498944
2.5e-09,-49.999993856,-1.1250000896,31.249998848
3.0000000000000004e-09,-49.999993856,-1.062500096,32.812498944
3.5000000000000003e-09,-49.999993856,-1.1250000896,31.249998848
4e-09,-51.562493952,-1.1875000832,29.687498752
4.500000000000001e-09,-49.999993856,-1.1250000896,28.124998656000002
5e-09,-51.562493952,-1.062500096,28.124998656000002
5.5000000000000004e-09,-49.999993856,-1.1250000896,28.124998656000002
6.000000000000001e-09,-51.562493952,-1.1250000896,24.999998464
6.5e-09,-51.562493952,-1.062500096,23.437498368
7.000000000000001e-09,-53.124994048000005,-1.062500096,24.999998464
7.500000000000001e-09,-53.124994048000005,-1.1250000896,23.437498368
8e-09,-51.562493952,-1.062500096,21.874998272
8.5e-09,-53.124994048000005,-1.062500096,21.874998272
9.000000000000001e-09,-49.999993856,-1.062500096,20.312498176000002
9.5e-09,-53.124994048000005,-1.0000001024,18.74999808
1e-08,-51.562493952,-1.062500096,18.74999808
1.0500000000000001e-08,-53.124994048000005,-1.062500096,17.187497984000004
1.1000000000000001e-08,-53.124994048000005,-1.0000001024,17.187497984000004
1.15e-08,-53.124994048000005,-1.062500096,15.624997888000003
1.2000000000000002e-08,-54.687494144,-1.0000001024,14.062497792000002
1.2500000000000001e-08,-53.124994048000005,-1.0000001024,12.499997696000001
1.3e-08,-54.687494144,-1.0000001024,12.499997696000001
1.35e-08,-54.687494144,-0.9375001088000001,10.9374976
1.4000000000000001e-08,-56.24999424000001,-1.0000001024,9.374997504
1.45e-08,-56.24999424000001,-0.9375001088000001,7.812497407999999
1.5000000000000002e-08,-54.687494144,-0.9375001088000001,9.374997504
1.55e-08,-56.24999424000001,-0.9375001088000001,6.249997312000005
1.6e-08,-56.24999424000001,-0.9375001088000001,7.812497407999999
1.6500000000000002e-08,-54.687494144,-0.8750001152,6.249997312000005
1.7e-08,-54.687494144,-0.8750001152,4.687497216000004
1.75e-08,-56.24999424000001,-0.8750001152,3.1249971200000033
1.8000000000000002e-08,-54.687494144,-0.9375001088000001,1.5624970240000025
1.85e-08,-56.24999424000001,-0.9375001088000001,-3.071999998383035e-06
1.9e-08,-54.687494144,-0.8750001152,1.5624970240000025
1.9500000000000003e-08,-56.24999424000001,-0.8750001152,-3.071999998383035e-06
2e-08,-54.687494144,-0.8125001216000001,-3.125003264
2.05e-08,-54.687494144,-0.8750001152,-3.125003264
2.1000000000000003e-08,-54.687494144,-0.8750001152,-3.125003264
2.15e-08,-54.687494144,-0.8125001216000001,-6.250003456000002
2.2000000000000002e-08,-53.124994048000005,-0.7500001279999999,-7.8125035519999955
2.2500000000000003e-08,-51.562493952,-0.7500001279999999,-9.375003647999996
2.3e-08,-53.124994048000005,-0.7500001279999999,-7.8125035519999955
2.3500000000000002e-08,-51.562493952,-0.6875001344,-12.500003839999998
2.4000000000000003e-08,-49.999993856,-0.7500001279999999,-10.937503743999997
2.45e-08,-49.999993856,-0.7500001279999999,-12.500003839999998
2.5000000000000002e-08,-45.31249356800001,-0.6875001344,-14.062503935999999
2.55e-08,-45.31249356800001,-0.6875001344,-14.062503935999999
2.6e-08,-42.187493376000006,-0.6875001344,-15.625004031999993
2.6500000000000002e-08,-43.749993472,-0.6875001344,-15.625004031999993
2.7e-08,-40.62499328,-0.6250001408000001,-15.625004031999993
2.75e-08,-40.62499328,-0.6250001408000001,-17.187504128
2.8000000000000003e-08,-39.062493184000004,-0.5625001472,-18.750004223999994
2.85e-08,-34.37499289600001,-0.5625001472,-20.312504320000002
2.9e-08,-31.249992704000007,-0.5625001472,-18.750004223999994
2.9500000000000003e-08,-29.687492608,-0.5000001536,-21.875004415999996
3.0000000000000004e-08,-29.687492608,-0.5625001472,-21.875004415999996
3.05e-08,-24.999992320000004,-0.5000001536,-25.000004607999998
3.1e-08,-23.43749222400001,-0.5000001536,-23.437504512000004
3.1500000000000004e-08,-21.874992128000002,-0.5000001536,-26.56250470399999
3.2e-08,-20.312492031999994,-0.43750016000000014,-25.000004607999998
3.25e-08,-17.187491840000007,-0.43750016000000014,-28.1250048
3.3000000000000004e-08,-14.062491647999991,-0.3750001664,-28.1250048
3.35e-08,-12.499991552000012,-0.3750001664,-28.1250048
3.4e-08,-9.374991359999996,-0.43750016000000014,-28.1250048
3.4500000000000005e-08,-7.812491264000016,-0.3750001664,-32.812505087999995
3.5e-08,-4.687491072,-0.3750001664,-29.687504895999993
3.55e-08,-4.687491072,-0.3125001728000001,-31.250004992
3.6000000000000005e-08,9.215999995149105e-06,-0.25000017920000017,-32.812505087999995
3.65e-08,1.562509312000003,-0.3125001728000001,-32.812505087999995
3.7e-08,4.687509503999991,-0.25000017920000017,-31.250004992
3.7500000000000005e-08,6.2500095999999985,-0.18750018560000004,-34.375005184
3.8e-08,7.812509696000006,-0.18750018560000004,-35.937505279999996
3.85e-08,10.937509887999994,-0.18750018560000004,-37.50000537599999
3.9000000000000005e-08,12.500009984000002,-0.18750018560000004,-35.937505279999996
3.95e-08,14.062510079999981,-0.18750018560000004,-37.50000537599999
4e-08,17.187510271999997,-0.06250019839999998,-37.50000537599999
