Time (s),V_TANK_IN,I_PRI,V_TANK_OUT
0.0,-46.874996736,-0.8124999168,39.062496256
5e-10,-48.437496832,-0.8124999168,40.624996352000004
1e-09,-48.437496832,-0.7812499199999999,37.49999616
1.5000000000000002e-09,-45.31249664,-0.8437499136,39.062496256
2e-09,-48.437496832,-0.8437499136,37.49999616
2.5e-09,-46.874996736,-0.8124999168,37.49999616
3.0000000000000004e-09,-48.437496832,-0.8749999103999999,37.49999616
3.5000000000000003e-09,-46.874996736,-0.8437499136,35.937496064
4e-09,-48.437496832,-0.8437499136,35.937496064
4.500000000000001e-09,-46.874996736,-0.8437499136,35.937496064
5e-09,-46.874996736,-0.8749999103999999,34.37499596800001
5.5000000000000004e-09,-48.437496832,-0.8749999103999999,34.37499596800001
6.000000000000001e-09,-48.437496832,-0.8749999103999999,32.812495872
6.5e-09,-49.999996928,-0.8749999103999999,32.812495872
7.000000000000001e-09,-48.437496832,-0.8437499136,31.249995776000006
7.500000000000001e-09,-48.437496832,-0.8437499136,29.687495679999998
8e-09,-48.437496832,-0.9062499072,28.124995584000004
8.5e-09,-48.437496832,-0.8749999103999999,31.249995776000006
9.000000000000001e-09,-48.437496832,-0.8749999103999999,28.124995584000004
9.5e-09,-48.437496832,-0.8749999103999999,29.687495679999998
1e-08,-49.999996928,-0.9062499072,28.124995584000004
1.0500000000000001e-08,-48.437496832,-0.8437499136,26.562495487999996
1.1000000000000001e-08,-48.437496832,-0.8749999103999999,24.999995392000002
1.15e-08,-48.437496832,-0.9062499072,24.999995392000002
1.2000000000000002e-08,-48.437496832,-0.8749999103999999,23.43749529600001
1.2500000000000001e-08,-48.437496832,-0.8437499136,24.999995392000002
1.3e-08,-49.999996928,-0.8749999103999999,21.8749952
1.35e-08,-49.999996928,-0.8749999103999999,20.312495104000007
1.4000000000000001e-08,-49.999996928,-0.8437499136,20.312495104000007
1.45e-08,-51.562497024,-0.8437499136,21.8749952
1.5000000000000002e-08,-48.437496832,-0.8437499136,18.749995008
1.55e-08,-49.999996928,-0.8437499136,17.187494912000005
1.6e-08,-49.999996928,-0.8749999103999999,15.624994815999997
1.6500000000000002e-08,-49.999996928,-0.8437499136,17.187494912000005
1.7e-08,-49.999996928,-0.8124999168,12.49999462400001
1.75e-08,-49.999996928,-0.8437499136,15.624994815999997
1.8000000000000002e-08,-51.562497024,-0.8437499136,12.49999462400001
1.85e-08,-49.999996928,-0.8124999168,12.49999462400001
1.9e-08,-49.999996928,-0.8437499136,10.937494528000002
1.9500000000000003e-08,-49.999996928,-0.7812499199999999,9.374994432000008
2e-08,-48.437496832,-0.7812499199999999,9.374994432000008
2.05e-08,-48.437496832,-0.7812499199999999,9.374994432000008
2.1000000000000003e-08,-48.437496832,-0.7812499199999999,7.812494336
2.15e-08,-49.999996928,-0.7812499199999999,6.249994240000007
2.2000000000000002e-08,-49.999996928,-0.7499999232,4.687494143999999
2.2500000000000003e-08,-49.999996928,-0.7499999232,6.249994240000007
2.3e-08,-49.999996928,-0.7812499199999999,3.124994048000005
2.3500000000000002e-08,-51.562497024,-0.7499999232,1.562493951999997
2.4000000000000003e-08,-49.999996928,-0.7499999232,-6.14399999676607e-06
2.45e-08,-51.562497024,-0.7187499264,1.562493951999997
2.5000000000000002e-08,-49.999996928,-0.7187499264,-1.5625062399999905
2.55e-08,-48.437496832,-0.7187499264,-6.14399999676607e-06
2.6e-08,-49.999996928,-0.6874999296,-1.5625062399999905
2.6500000000000002e-08,-49.999996928,-0.624999936,-4.687506431999992
2.7e-08,-49.999996928,-0.6874999296,-4.687506431999992
2.75e-08,-48.437496832,-0.6874999296,-6.250006528
2.8000000000000003e-08,-49.999996928,-0.6562499328,-6.250006528
2.85e-08,-48.437496832,-0.624999936,-6.250006528
2.9e-08,-48.437496832,-0.5937499392,-7.812506623999994
2.9500000000000003e-08,-48.437496832,-0.624999936,-10.937506815999996
3.0000000000000004e-08,-48.437496832,-0.624999936,-10.937506815999996
3.05e-08,-48.437496832,-0.5937499392,-10.937506815999996
3.1e-08,-46.874996736,-0.5624999424,-12.500006912000003
3.1500000000000004e-08,-48.437496832,-0.5624999424,-12.500006912000003
3.2e-08,-48.437496832,-0.5624999424,-15.625007103999991
3.25e-08,-46.874996736,-0.5624999424,-14.062507007999997
3.3000000000000004e-08,-46.874996736,-0.5312499455999999,-17.1875072
3.35e-08,-45.31249664,-0.5312499455999999,-15.625007103999991
3.4e-08,-46.874996736,-0.5312499455999999,-18.750007295999993
3.4500000000000005e-08,-43.749996544,-0.4999999488,-18.750007295999993
3.5e-08,-45.31249664,-0.46874995199999997,-18.750007295999993
3.55e-08,-43.749996544,-0.46874995199999997,-18.750007295999993
3.6000000000000005e-08,-43.749996544,-0.43749995519999996,-21.875007487999994
3.65e-08,-42.187496448000005,-0.4062499584,-20.312507392
3.7e-08,-43.749996544,-0.4062499584,-21.875007487999994
3.7500000000000005e-08,-42.187496448000005,-0.4062499584,-23.437507584000002
3.8e-08,-42.187496448000005,-0.3749999616,-25.000007679999996
3.85e-08,-39.062496256,-0.3749999616,-25.000007679999996
3.9000000000000005e-08,-37.49999616,-0.3437499648,-26.56250777599999
3.95e-08,-37.49999616,-0.312499968,-26.56250777599999
4e-08,-35.937496064,-0.312499968,-28.125007871999998
4.0500000000000005e-08,-35.937496064,-0.312499968,-25.000007679999996
4.1e-08,-32.812495872,-0.2812499712,-29.687507968000006
4.15e-08,-31.249995776000006,-0.2499999744,-29.687507968000006
4.2000000000000006e-08,-32.812495872,-0.2499999744,-31.250008063999985
4.2500000000000003e-08,-29.687495679999998,-0.1874999808,-29.687507968000006
4.3e-08,-28.124995584000004,-0.21874997759999998,-32.81250815999999
4.3500000000000006e-08,-26.562495487999996,-0.1874999808,-32.81250815999999
4.4000000000000004e-08,-23.43749529600001,-0.156249984,-34.375008256
4.45e-08,-21.8749952,-0.156249984,-32.81250815999999
4.5000000000000006e-08,-20.312495104000007,-0.156249984,-34.375008256
4.5500000000000004e-08,-20.312495104000007,-0.156249984,-35.93750835200001
4.6e-08,-18.749995008,-0.1249999872,-35.93750835200001
4.6500000000000006e-08,-17.187494912000005,-0.0624999936,-34.375008256
4.7000000000000004e-08,-14.062494720000004,-0.0624999936,-35.93750835200001
4.75e-08,-14.062494720000004,-0.0624999936,-37.50000844799999
4.8000000000000006e-08,-12.49999462400001,-0.0312499968,-39.062508543999996
4.8500000000000004e-08,-9.374994432000008,-0.0312499968,-37.50000844799999
4.9e-08,-7.812494336,0.0,-40.625008640000004
4.95e-08,-4.687494143999999,0.0,-37.50000844799999
5.0000000000000004e-08,-4.687494143999999,0.0312499968,-40.625008640000004
5.05e-08,-3.124994048000005,0.0624999936,-40.625008640000004
5.1e-08,-1.562493951999997,0.0624999936,-40.625008640000004
5.1500000000000005e-08,6.14399999676607e-06,0.0937499904,-42.187508735999984
5.2e-08,3.1250063359999984,0.1249999872,-43.75000883199999
5.25e-08,3.1250063359999984,0.156249984,-42.187508735999984
5.3000000000000005e-08,6.250006528,0.156249984,-43.75000883199999
5.35e-08,7.812506623999994,0.156249984,-45.312508928
5.4e-08,7.812506623999994,0.21874997759999998,-42.187508735999984
5.4500000000000005e-08,9.375006720000002,0.21874997759999998,-42.187508735999984
5.5e-08,10.937506815999996,0.2499999744,-42.187508735999984
5.55e-08,10.937506815999996,0.2499999744,-45.312508928
5.6000000000000005e-08,12.500006912000003,0.2499999744,-46.87500902400001
5.65e-08,14.062507007999997,0.2812499712,-43.75000883199999
5.7e-08,15.625007103999991,0.2812499712,-46.87500902400001
5.7500000000000005e-08,18.750007295999993,0.312499968,-45.312508928
5.8e-08,18.750007295999993,0.3437499648,-46.87500902400001
5.85e-08,20.312507392,0.3749999616,-46.87500902400001
5.9000000000000006e-08,21.875007487999994,0.3749999616,-46.87500902400001
5.9500000000000003e-08,21.875007487999994,0.3749999616,-46.87500902400001
6.000000000000001e-08,21.875007487999994,0.43749995519999996,-48.43750911999999
6.05e-08,23.437507584000002,0.43749995519999996,-45.312508928
6.1e-08,26.56250777599999,0.43749995519999996,-46.87500902400001
6.15e-08,26.56250777599999,0.46874995199999997,-46.87500902400001
6.2e-08,28.125007871999998,0.46874995199999997,-46.87500902400001
6.250000000000001e-08,28.125007871999998,0.4999999488,-45.312508928
6.300000000000001e-08,31.250008063999985,0.46874995199999997,-48.43750911999999
6.35e-08,31.250008063999985,0.5312499455999999,-48.43750911999999
6.4e-08,31.250008063999985,0.4999999488,-46.87500902400001
6.45e-08,31.250008063999985,0.5624999424,-43.75000883199999
6.5e-08,32.81250815999999,0.5624999424,-48.43750911999999
6.55e-08,35.93750835200001,0.5937499392,-45.312508928
6.600000000000001e-08,34.375008256,0.5624999424,-45.312508928
6.65e-08,35.93750835200001,0.624999936,-45.312508928
6.7e-08,35.93750835200001,0.5937499392,-45.312508928
6.75e-08,37.50000844799999,0.5937499392,-45.312508928
6.8e-08,39.062508543999996,0.6562499328,-48.43750911999999
6.85e-08,37.50000844799999,0.6562499328,-45.312508928
6.900000000000001e-08,39.062508543999996,0.6874999296,-45.312508928
6.950000000000001e-08,39.062508543999996,0.6562499328,-45.312508928
7e-08,39.062508543999996,0.7187499264,-45.312508928
7.05e-08,39.062508543999996,0.7187499264,-43.75000883199999
7.1e-08,42.187508735999984,0.6874999296,-43.75000883199999
7.15e-08,40.625008640000004,0.6874999296,-42.187508735999984
7.200000000000001e-08,40.625008640000004,0.7187499264,-43.75000883199999
7.250000000000001e-08,40.625008640000004,0.7187499264,-42.187508735999984
7.3e-08,40.625008640000004,0.7499999232,-43.75000883199999
7.35e-08,42.187508735999984,0.7499999232,-42.187508735999984
7.4e-08,42.187508735999984,0.7187499264,-42.187508735999984
7.45e-08,42.187508735999984,0.7499999232,-42.187508735999984
7.500000000000001e-08,40.625008640000004,0.7812499199999999,-42.187508735999984
7.550000000000001e-08,42.187508735999984,0.7812499199999999,-40.625008640000004
7.6e-08,42.187508735999984,0.8124999168,-42.187508735999984
7.65e-08,43.75000883199999,0.8124999168,-39.062508543999996
7.7e-08,42.187508735999984,0.8124999168,-37.50000844799999
7.75e-08,43.75000883199999,0.7812499199999999,-37.50000844799999
7.800000000000001e-08,43.75000883199999,0.8124999168,-37.50000844799999
7.850000000000001e-08,42.187508735999984,0.8124999168,-37.50000844799999
7.9e-08,43.75000883199999,0.8437499136,-35.93750835200001
7.95e-08,43.75000883199999,0.8437499136,-37.50000844799999
8e-08,42.187508735999984,0.8124999168,-37.50000844799999
8.05e-08,43.75000883199999,0.8124999168,-31.250008063999985
8.100000000000001e-08,42.187508735999984,0.8437499136,-34.375008256
8.150000000000001e-08,45.312508928,0.8437499136,-31.250008063999985
8.2e-08,42.187508735999984,0.8749999103999999,-32.81250815999999
8.25e-08,43.75000883199999,0.8749999103999999,-32.81250815999999
8.3e-08,43.75000883199999,0.8437499136,-29.687507968000006
8.35e-08,43.75000883199999,0.8124999168,-31.250008063999985
8.400000000000001e-08,43.75000883199999,0.8437499136,-29.687507968000006
8.450000000000001e-08,43.75000883199999,0.8749999103999999,-26.56250777599999
8.500000000000001e-08,45.312508928,0.8437499136,-26.56250777599999
8.55e-08,43.75000883199999,0.8437499136,-26.56250777599999
8.6e-08,43.75000883199999,0.8124999168,-26.56250777599999
8.65e-08,42.187508735999984,0.8437499136,-25.000007679999996
8.700000000000001e-08,43.75000883199999,0.8124999168,-25.000007679999996
8.750000000000001e-08,45.312508928,0.8124999168,-21.875007487999994
8.800000000000001e-08,43.75000883199999,0.8124999168,-23.437507584000002
8.85e-08,43.75000883199999,0.8124999168,-20.312507392
8.9e-08,43.75000883199999,0.8437499136,-20.312507392
8.95e-08,46.87500902400001,0.8437499136,-18.750007295999993
9.000000000000001e-08,43.75000883199999,0.8124999168,-18.750007295999993
9.050000000000001e-08,45.312508928,0.8437499136,-17.1875072
9.100000000000001e-08,43.75000883199999,0.7812499199999999,-17.1875072
9.15e-08,43.75000883199999,0.7812499199999999,-15.625007103999991
9.2e-08,43.75000883199999,0.7812499199999999,-15.625007103999991
9.25e-08,45.312508928,0.8124999168,-12.500006912000003
9.300000000000001e-08,46.87500902400001,0.7499999232,-10.937506815999996
9.350000000000001e-08,45.312508928,0.7812499199999999,-12.500006912000003
9.400000000000001e-08,45.312508928,0.7499999232,-10.937506815999996
9.45e-08,45.312508928,0.7499999232,-9.375006720000002
9.5e-08,45.312508928,0.7499999232,-10.937506815999996
9.55e-08,45.312508928,0.7499999232,-7.812506623999994
9.600000000000001e-08,43.75000883199999,0.7187499264,-7.812506623999994
9.650000000000001e-08,43.75000883199999,0.7187499264,-3.1250063359999984
