Frequency in Hz;Power in dBm
0.0;3.24
25380.7;-55.14
50761.4;-63.41
76142.1;-66.55
101522.8;-69.36
126903.6;-71.18
152284.3;-72.78
177665.0;-75.14
203045.7;-76.71
228426.4;-75.62
253807.1;-77.15
279187.8;-78.34
304568.5;-78.86
329949.2;-78.80
355329.9;-79.50
380710.7;-83.91
406091.4;-81.12
431472.1;-82.22
456852.8;-84.67
482233.5;-85.44
507614.2;-84.33
532994.9;-84.54
558375.6;-84.54
583756.3;-84.67
609137.1;-85.27
634517.8;-85.60
659898.5;-85.08
685279.2;-88.12
710659.9;-84.72
736040.6;-87.46
761421.3;-87.71
786802.0;-88.81
812182.7;-87.30
837563.5;-86.78
862944.2;-88.79
888324.9;-87.13
913705.6;-89.84
939086.3;-88.47
964467.0;-87.57
989847.7;-81.13
1015228.4;-89.74
1040609.1;-89.09
1065989.8;-89.64
1091370.6;-90.09
1116751.3;-91.11
1142132.0;-89.89
1167512.7;-89.38
1192893.4;-92.66
1218274.1;-89.84
1243654.8;-90.99
1269035.5;-91.46
1294416.2;-92.46
1319797.0;-90.38
1345177.7;-93.74
1370558.4;-92.46
1395939.1;-93.33
1421319.8;-91.32
1446700.5;-92.62
1472081.2;-92.33
1497461.9;-93.20
1522842.6;-93.15
1548223.4;-90.81
1573604.1;-93.56
1598984.8;-92.58
1624365.5;-92.95
1649746.2;-92.75
1675126.9;-93.92
1700507.6;-95.30
1725888.3;-93.31
1751269.0;-95.24
1776649.7;-94.34
1802030.5;-95.08
1827411.2;-95.88
1852791.9;-93.98
1878172.6;-93.72
1903553.3;-95.94
1928934.0;-94.46
1954314.7;-93.96
1979695.4;-94.03
2005076.1;-94.82
2030456.9;-95.68
2055837.6;-96.16
2081218.3;-96.76
2106599.0;-96.90
2131979.7;-94.86
2157360.4;-95.22
2182741.1;-97.07
2208121.8;-96.42
2233502.5;-98.15
2258883.2;-95.96
2284264.0;-95.64
2309644.7;-95.41
2335025.4;-97.89
2360406.1;-97.22
2385786.8;-96.47
2411167.5;-95.82
2436548.2;-96.03
2461928.9;-94.72
2487309.6;-96.98
2512690.4;-96.19
2538071.1;-96.43
2563451.8;-96.45
2588832.5;-95.80
2614213.2;-96.01
2639593.9;-96.48
2664974.6;-94.70
2690355.3;-96.18
2715736.0;-95.99
2741116.8;-95.68
2766497.5;-97.24
2791878.2;-97.94
2817258.9;-97.46
2842639.6;-96.36
2868020.3;-96.22
2893401.0;-96.74
2918781.7;-98.84
2944162.4;-95.84
2969543.1;-96.72
2994923.9;-95.50
3020304.6;-96.53
3045685.3;-96.28
3071066.0;-96.42
3096446.7;-97.50
3121827.4;-97.33
3147208.1;-97.38
3172588.8;-95.70
3197969.5;-96.04
3223350.3;-97.53
3248731.0;-97.61
3274111.7;-98.54
3299492.4;-97.00
3324873.1;-99.69
3350253.8;-98.18
3375634.5;-98.28
3401015.2;-97.09
3426395.9;-97.26
3451776.6;-97.63
3477157.4;-97.55
3502538.1;-98.81
3527918.8;-98.75
3553299.5;-97.00
3578680.2;-99.70
3604060.9;-99.73
3629441.6;-99.19
3654822.3;-100.24
3680203.0;-99.09
3705583.8;-99.89
3730964.5;-97.53
3756345.2;-98.66
3781725.9;-99.75
3807106.6;-99.91
3832487.3;-99.76
3857868.0;-98.64
3883248.7;-98.06
3908629.4;-98.70
3934010.2;-99.63
3959390.9;-100.72
3984771.6;-101.91
4010152.3;-98.51
4035533.0;-100.13
4060913.7;-98.89
4086294.4;-99.96
4111675.1;-99.54
4137055.8;-100.95
4162436.5;-100.42
4187817.3;-100.21
4213198.0;-100.99
4238578.7;-99.28
4263959.4;-99.83
4289340.1;-98.74
4314720.8;-99.70
4340101.5;-98.90
4365482.2;-98.85
4390862.9;-100.93
4416243.7;-100.27
4441624.4;-99.47
4467005.1;-98.61
4492385.8;-100.66
4517766.5;-100.75
4543147.2;-101.26
4568527.9;-99.43
4593908.6;-98.72
4619289.3;-99.92
4644670.1;-100.18
4670050.8;-99.17
4695431.5;-99.13
4720812.2;-101.30
4746192.9;-99.99
4771573.6;-98.19
4796954.3;-99.33
4822335.0;-99.51
4847715.7;-99.04
4873096.4;-100.98
4898477.2;-99.96
4923857.9;-99.78
4949238.6;-100.24
4974619.3;-100.00
5000000.0;-100.03
5025380.7;-100.48
5050761.4;-99.45
5076142.1;-99.07
5101522.8;-100.09
5126903.6;-99.44
5152284.3;-100.49
5177665.0;-99.68
5203045.7;-99.23
5228426.4;-100.32
5253807.1;-99.31
5279187.8;-98.41
5304568.5;-99.14
5329949.2;-100.90
5355329.9;-99.66
5380710.7;-99.68
5406091.4;-99.54
5431472.1;-100.87
5456852.8;-99.32
5482233.5;-100.73
5507614.2;-99.15
5532994.9;-100.82
5558375.6;-100.28
5583756.3;-102.11
5609137.1;-101.41
5634517.8;-100.03
5659898.5;-99.69
5685279.2;-100.11
5710659.9;-99.67
5736040.6;-98.58
5761421.3;-100.28
5786802.0;-101.02
5812182.7;-99.12
