ROUT,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_GS_A_pp,V_GS_A_amp,V_GS_A_max,V_GS_A_top,V_GS_A_min,V_GS_A_bot,V_GS_B_pp,V_GS_B_amp,V_GS_B_max,V_GS_B_top,V_GS_B_min,V_GS_B_bot,V_DS_A_pp,V_DS_A_amp,V_DS_A_max,V_DS_A_top,V_DS_A_min,V_DS_A_bot,V_DS_B_pp
50.0,25.109378,1.40751781,35.34189673302218,39.95305,0.7992439,31.92656,7.31,5.06,5.44,4.88,-1.88,-0.06,8.38,5.0,5.69,4.88,-2.75,-0.13,59.4,55.6,53.8,53.1,-4.4,-1.9,55.6
50.5,25.109017,1.42175459,35.69886017013803,40.38183,0.7993394,32.27443,7.38,5.06,5.44,4.94,-1.88,-0.13,8.38,5.0,5.69,4.88,-2.69,-0.13,57.5,55.0,53.8,53.1,-3.8,-1.9,55.6
51.0,25.104848,1.43394991,35.99909453016368,40.75097,0.7992939,32.57016,7.31,5.06,5.44,4.94,-1.88,-0.06,8.38,5.0,5.69,4.88,-2.69,-0.13,57.5,55.6,53.8,54.4,-5.0,-1.9,55.6
51.5,25.10712,1.4470418,36.331052117616,41.15054,0.7991394,32.88798,7.31,5.0,5.5,4.88,-1.81,-0.06,8.44,5.0,5.69,4.88,-2.75,-0.13,58.1,55.6,53.8,53.8,-3.8,-1.9,55.6
52.0,25.109413,1.46097198,36.68414882724774,41.5736,0.7991211,33.23303,7.38,5.0,5.5,4.94,-1.94,-0.13,8.44,5.0,5.69,4.88,-2.69,-0.13,56.9,55.6,53.8,53.8,-4.4,-1.9,55.6
52.5,25.105663,1.47305769,36.98208994469847,41.95005,0.7988487,33.51326,7.31,5.06,5.44,4.94,-1.94,-0.13,8.44,5.0,5.69,4.88,-2.75,-0.13,58.1,55.6,53.8,53.8,-3.8,-1.9,55.0
53.0,25.102934,1.48609839,37.30542980167626,42.35241,0.7992426,33.84742,7.38,5.0,5.44,4.94,-1.88,-0.06,8.38,5.0,5.69,4.88,-2.75,-0.13,57.5,55.6,54.4,54.4,-3.8,-1.9,55.6
53.5,25.113804,1.5004722,37.68256473824879,42.78408,0.7995743,34.22729,7.38,5.0,5.5,4.88,-1.88,-0.13,8.38,5.0,5.63,4.88,-2.69,-0.13,57.5,55.0,53.8,53.8,-3.8,-1.9,55.0
54.0,25.125747,1.51387506,38.03724174716982,43.20676,0.7997747,34.56019,7.38,5.0,5.5,4.94,-1.88,-0.06,8.38,5.0,5.63,4.88,-2.69,-0.13,57.5,55.6,53.8,53.8,-4.4,-1.9,55.0
54.5,25.127209,1.52601965,38.34461468365685,43.58989,0.7996877,34.85672,7.44,5.06,5.38,4.94,-1.94,-0.06,8.44,5.0,5.69,4.88,-2.75,-0.13,57.5,55.6,53.8,53.8,-3.8,-1.9,55.6
55.0,25.129167,1.53852259,38.661791097382526,43.98392,0.7995129,35.16909,7.38,5.0,5.5,4.94,-1.94,-0.06,8.44,5.0,5.69,4.88,-2.75,-0.13,57.5,55.6,53.8,53.1,-4.4,-1.9,55.6
55.5,25.131758,1.55102882,38.980080955265564,44.38398,0.799443,35.46856,7.38,5.0,5.44,4.88,-1.94,-0.13,8.38,5.0,5.69,4.88,-2.69,-0.13,57.5,55.6,53.8,53.8,-4.4,-1.9,55.0
56.0,25.129392,1.56361577,39.29271362171184,44.77864,0.799299,35.79663,7.38,4.94,5.38,4.94,-1.94,-0.13,8.38,5.0,5.63,4.88,-2.69,-0.13,56.9,55.0,53.1,53.1,-3.8,-1.9,55.6
56.5,25.135445,1.57480953,39.58353832679085,45.14149,0.7991197,36.07754,7.31,5.06,5.38,4.94,-1.94,-0.06,8.31,5.0,5.63,4.88,-2.75,-0.13,56.9,55.6,53.8,53.8,-3.8,-1.9,53.1
57.0,25.130537,1.58724377,39.88828829000449,45.53875,0.7990677,36.38768,7.38,5.06,5.38,4.88,-2.0,-0.06,8.31,5.0,5.63,4.88,-2.69,-0.13,57.5,55.6,53.8,53.8,-3.8,-1.9,55.0
57.5,25.132522,1.59968794,40.20419234518468,45.93887,0.798835,36.70151,7.31,4.94,5.38,4.94,-1.94,-0.06,8.38,5.0,5.69,4.88,-2.75,-0.13,57.5,55.6,53.8,53.8,-3.8,-1.9,55.0
58.0,25.130747,1.61109852,40.488109298194445,46.30793,0.7983875,36.96966,7.38,5.0,5.38,4.88,-2.0,-0.06,8.38,5.0,5.63,4.94,-2.69,-0.13,56.9,55.0,53.8,53.1,-4.4,-1.9,55.6
58.5,25.130637,1.62319815,40.79200348672155,46.70002,0.7979222,37.27136,7.38,5.0,5.38,4.88,-1.94,-0.13,8.44,5.0,5.69,4.88,-2.75,-0.13,56.9,55.0,53.1,53.1,-4.4,-1.9,53.1
59.0,25.133982,1.63472158,41.087062766731556,47.07545,0.7977369,37.55529,7.31,4.94,5.38,4.88,-1.94,-0.06,8.44,5.0,5.63,4.88,-2.69,-0.13,56.9,56.3,53.8,53.8,-3.1,-1.9,55.0
59.5,25.132876,1.64591106,41.36647857800856,47.44419,0.7972938,37.8235,7.31,4.94,5.38,4.88,-1.94,-0.06,8.38,5.0,5.63,4.88,-2.75,-0.13,58.1,55.0,53.1,53.1,-3.1,-1.9,55.0
60.0,25.121398,1.65689007,41.62339489071786,47.79891,0.7965524,38.07249,7.31,4.94,5.38,4.88,-1.94,-0.13,8.31,5.0,5.63,4.88,-2.75,-0.13,56.9,55.0,53.1,53.8,-3.8,-1.9,53.1
