"# Channel 1"
"# Trace 4"
Frequency, Formatted Data, Formatted Data
+5.00000000000E+004, +8.25226889065E-002, +0.00000000000E+000
+5.19950000000E+004, +7.40183651888E-002, +0.00000000000E+000
+5.39900000000E+004, +7.26991308889E-002, +0.00000000000E+000
+5.59850000000E+004, +6.79441775812E-002, +0.00000000000E+000
+5.79800000000E+004, +6.60833985992E-002, +0.00000000000E+000
+5.99750000000E+004, +6.58399279223E-002, +0.00000000000E+000
+6.19700000000E+004, +6.40600006603E-002, +0.00000000000E+000
+6.39650000000E+004, +6.24711057365E-002, +0.00000000000E+000
+6.59600000000E+004, +6.17853572019E-002, +0.00000000000E+000
+6.79550000000E+004, +6.06798111473E-002, +0.00000000000E+000
+6.99500000000E+004, +5.98854322748E-002, +0.00000000000E+000
+7.19450000000E+004, +5.96069583931E-002, +0.00000000000E+000
+7.39400000000E+004, +5.90428140137E-002, +0.00000000000E+000
+7.59350000000E+004, +5.84891163694E-002, +0.00000000000E+000
+7.79300000000E+004, +5.82879891900E-002, +0.00000000000E+000
+7.99250000000E+004, +5.71786024824E-002, +0.00000000000E+000
+8.19200000000E+004, +5.67442083108E-002, +0.00000000000E+000
+8.39150000000E+004, +5.60205161313E-002, +0.00000000000E+000
+8.59100000000E+004, +5.52484610817E-002, +0.00000000000E+000
+8.79050000000E+004, +5.49652026439E-002, +0.00000000000E+000
+8.99000000000E+004, +5.43383287613E-002, +0.00000000000E+000
+9.18950000000E+004, +5.42837527665E-002, +0.00000000000E+000
+9.38900000000E+004, +5.40065790217E-002, +0.00000000000E+000
+9.58850000000E+004, +5.35354057656E-002, +0.00000000000E+000
+9.78800000000E+004, +5.32898610263E-002, +0.00000000000E+000
+9.98750000000E+004, +5.30258321538E-002, +0.00000000000E+000
+1.01870000000E+005, +5.29168748966E-002, +0.00000000000E+000
+1.03865000000E+005, +5.28483121580E-002, +0.00000000000E+000
+1.05860000000E+005, +5.24424951786E-002, +0.00000000000E+000
+1.07855000000E+005, +5.23747437959E-002, +0.00000000000E+000
+1.09850000000E+005, +5.26041940964E-002, +0.00000000000E+000
+1.11845000000E+005, +5.24972378247E-002, +0.00000000000E+000
+1.13840000000E+005, +5.23048307805E-002, +0.00000000000E+000
+1.15835000000E+005, +5.23506490278E-002, +0.00000000000E+000
+1.17830000000E+005, +5.23626313644E-002, +0.00000000000E+000
+1.19825000000E+005, +5.24550937560E-002, +0.00000000000E+000
+1.21820000000E+005, +5.26407106445E-002, +0.00000000000E+000
+1.23815000000E+005, +5.25882413458E-002, +0.00000000000E+000
+1.25810000000E+005, +5.26353765593E-002, +0.00000000000E+000
+1.27805000000E+005, +5.27537179691E-002, +0.00000000000E+000
+1.29800000000E+005, +5.29673849870E-002, +0.00000000000E+000
+1.31795000000E+005, +5.31366975381E-002, +0.00000000000E+000
+1.33790000000E+005, +5.31259453296E-002, +0.00000000000E+000
+1.35785000000E+005, +5.32609131661E-002, +0.00000000000E+000
+1.37780000000E+005, +5.32812310548E-002, +0.00000000000E+000
+1.39775000000E+005, +5.33748763378E-002, +0.00000000000E+000
+1.41770000000E+005, +5.36992913205E-002, +0.00000000000E+000
+1.43765000000E+005, +5.37985490702E-002, +0.00000000000E+000
+1.45760000000E+005, +5.38279056262E-002, +0.00000000000E+000
+1.47755000000E+005, +5.40325764162E-002, +0.00000000000E+000
+1.49750000000E+005, +5.40768077346E-002, +0.00000000000E+000
+1.51745000000E+005, +5.41713874174E-002, +0.00000000000E+000
+1.53740000000E+005, +5.43997899496E-002, +0.00000000000E+000
+1.55735000000E+005, +5.44562231583E-002, +0.00000000000E+000
+1.57730000000E+005, +5.46255852224E-002, +0.00000000000E+000
+1.59725000000E+005, +5.46605131293E-002, +0.00000000000E+000
+1.61720000000E+005, +5.50228305840E-002, +0.00000000000E+000
+1.63715000000E+005, +5.52148255306E-002, +0.00000000000E+000
+1.65710000000E+005, +5.53137188732E-002, +0.00000000000E+000
+1.67705000000E+005, +5.54642580733E-002, +0.00000000000E+000
+1.69700000000E+005, +5.56026613384E-002, +0.00000000000E+000
+1.71695000000E+005, +5.57902033288E-002, +0.00000000000E+000
+1.73690000000E+005, +5.60261485723E-002, +0.00000000000E+000
+1.75685000000E+005, +5.62671226258E-002, +0.00000000000E+000
+1.77680000000E+005, +5.64092935276E-002, +0.00000000000E+000
+1.79675000000E+005, +5.65043578149E-002, +0.00000000000E+000
+1.81670000000E+005, +5.66474954445E-002, +0.00000000000E+000
+1.83665000000E+005, +5.67962304225E-002, +0.00000000000E+000
+1.85660000000E+005, +5.71035087168E-002, +0.00000000000E+000
+1.87655000000E+005, +5.73215284003E-002, +0.00000000000E+000
+1.89650000000E+005, +5.75284480716E-002, +0.00000000000E+000
