"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.00000000000E+004, -7.57254254597E+003, -1.99612507969E+002
+5.19950000000E+004, -2.17184744416E+004, -3.17489973056E+003
+5.39900000000E+004, -3.34386558435E+004, +3.62729315939E+002
+5.59850000000E+004, -4.22735270607E+004, -4.21911819876E+003
+5.79800000000E+004, -4.98497278906E+004, -1.11364478208E+004
+5.99750000000E+004, -5.76406757543E+004, -1.43990581563E+004
+6.19700000000E+004, -5.54261373247E+004, -1.99956719121E+004
+6.39650000000E+004, -6.33195734594E+004, -1.81893195506E+004
+6.59600000000E+004, -6.10324247896E+004, -3.81102395255E+004
+6.79550000000E+004, -3.87970747000E+004, -1.18749522978E+004
+6.99500000000E+004, -4.22632744488E+004, -1.60290552412E+004
+7.19450000000E+004, -4.44952645940E+004, -3.02897119209E+004
+7.39400000000E+004, -4.40567711862E+004, -2.50580807973E+004
+7.59350000000E+004, -4.93259253458E+004, -3.31997665311E+004
+7.79300000000E+004, -4.79500807435E+004, -2.83310230454E+004
+7.99250000000E+004, -5.24597663112E+004, -4.82222078826E+004
+8.19200000000E+004, -3.71506495126E+004, -5.38466344922E+004
+8.39150000000E+004, -4.19919211940E+004, -3.43292584487E+004
+8.59100000000E+004, -3.82660968634E+004, -3.43309997474E+004
+8.79050000000E+004, -4.07068352727E+004, -4.11278205436E+004
+8.99000000000E+004, -3.58781863842E+004, -3.25003709383E+004
+9.18950000000E+004, -2.99974334009E+004, -3.87956263204E+004
+9.38900000000E+004, -3.12977098757E+004, -3.55379697188E+004
+9.58850000000E+004, -3.36559923517E+004, -3.17341971716E+004
+9.78800000000E+004, -2.96097392006E+004, -3.76715532474E+004
+9.98750000000E+004, -3.23364438805E+004, -3.07950067652E+004
+1.01870000000E+005, -3.22584730982E+004, -3.19893666524E+004
+1.03865000000E+005, -3.00093589020E+004, -3.30706448561E+004
+1.05860000000E+005, -2.64988057589E+004, -3.00804774023E+004
+1.07855000000E+005, -2.89493694168E+004, -2.88881470955E+004
+1.09850000000E+005, -2.60259131389E+004, -3.65744424450E+004
+1.11845000000E+005, -2.23667182224E+004, -3.50235790803E+004
+1.13840000000E+005, -2.27961093730E+004, -3.01156735506E+004
+1.15835000000E+005, -2.44199986421E+004, -3.41787674193E+004
+1.17830000000E+005, -2.31982807829E+004, -3.66527119165E+004
+1.19825000000E+005, -2.02962078015E+004, -3.17678449701E+004
+1.21820000000E+005, -2.29479113841E+004, -3.12961873046E+004
+1.23815000000E+005, -2.14678143120E+004, -3.47325172676E+004
+1.25810000000E+005, -2.05644456068E+004, -3.58325549187E+004
+1.27805000000E+005, -1.99275807567E+004, -3.38879073046E+004
+1.29800000000E+005, -1.93471660594E+004, -3.14920116706E+004
+1.31795000000E+005, -1.83639847254E+004, -3.16655360810E+004
+1.33790000000E+005, -2.31144570166E+004, -2.82730956186E+004
+1.35785000000E+005, -1.91963532741E+004, -2.70198233475E+004
+1.37780000000E+005, -1.72298263688E+004, -2.56252300889E+004
+1.39775000000E+005, -1.86845334519E+004, -2.87140547518E+004
+1.41770000000E+005, -2.00033622329E+004, -3.01609928938E+004
+1.43765000000E+005, -1.76454360592E+004, -2.65422669013E+004
+1.45760000000E+005, -1.80735217982E+004, -3.03956794312E+004
+1.47755000000E+005, -1.50464408540E+004, -2.94493241991E+004
+1.49750000000E+005, -1.62742879673E+004, -2.91514525964E+004
+1.51745000000E+005, -1.40719212902E+004, -3.08859425160E+004
+1.53740000000E+005, -1.33412722322E+004, -3.26119920992E+004
+1.55735000000E+005, -1.20959857976E+004, -3.19133824650E+004
+1.57730000000E+005, -1.78716328875E+004, -3.27784969859E+004
+1.59725000000E+005, -1.60558391950E+004, -3.02374346591E+004
+1.61720000000E+005, -1.41062178592E+004, -3.04611663578E+004
+1.63715000000E+005, -1.44873081020E+004, -2.90975715264E+004
+1.65710000000E+005, -1.32739624237E+004, -2.68929455738E+004
+1.67705000000E+005, -1.50600162969E+004, -2.88757373407E+004
+1.69700000000E+005, -1.41096647767E+004, -2.77331758976E+004
+1.71695000000E+005, -1.52767302158E+004, -2.99433063094E+004
+1.73690000000E+005, -1.26314173057E+004, -2.81950449467E+004
+1.75685000000E+005, -1.35245475634E+004, -2.94143345169E+004
+1.77680000000E+005, -1.49675485178E+004, -2.87473195276E+004
+1.79675000000E+005, -1.21414725477E+004, -2.74054458770E+004
+1.81670000000E+005, -1.30404073175E+004, -2.82268113439E+004
+1.83665000000E+005, -1.36083950008E+004, -2.84705093861E+004
+1.85660000000E+005, -1.13813889001E+004, -2.77210172246E+004
+1.87655000000E+005, -1.31686577668E+004, -2.78469862873E+004
+1.89650000000E+005, -1.23521724109E+004, -2.70398318404E+004
+1.91645000000E+005, -1.12524148630E+004, -3.00093389132E+004
+1.93640000000E+005, -8.90173262120E+003, -2.75881172679E+004
+1.95635000000E+005, -1.00550080394E+004, -2.74814088781E+004
+1.97630000000E+005, -9.93599545634E+003, -2.85044894282E+004
+1.99625000000E+005, -1.16729931682E+004, -2.69013970370E+004
+2.01620000000E+005, -1.27157391997E+004, -2.37589579133E+004
+2.03615000000E+005, -1.17299338330E+004, -2.47674143454E+004
+2.05610000000E+005, -1.10252844813E+004, -2.38094753697E+004
+2.07605000000E+005, -1.15835441661E+004, -2.66073701111E+004
+2.09600000000E+005, -1.02682983296E+004, -2.72541685387E+004
+2.11595000000E+005, -1.03646491176E+004, -2.51815949251E+004
+2.13590000000E+005, -1.08741182611E+004, -2.59580873379E+004
+2.15585000000E+005, -1.02553245917E+004, -2.44456700549E+004
+2.17580000000E+005, -1.01926325412E+004, -2.50565520506E+004
+2.19575000000E+005, -1.00623348930E+004, -2.51072129868E+004
+2.21570000000E+005, -9.66406294339E+003, -2.39403576794E+004
+2.23565000000E+005, -8.70011918544E+003, -2.63267982574E+004
+2.25560000000E+005, -8.42768468514E+003, -2.45703891495E+004
+2.27555000000E+005, -8.95000364971E+003, -2.59251533281E+004
+2.29550000000E+005, -9.36084440912E+003, -2.61613498183E+004
+2.31545000000E+005, -1.08692411006E+004, -2.51549346390E+004
+2.33540000000E+005, -8.82052753227E+003, -2.51709464179E+004
+2.35535000000E+005, -8.56907143248E+003, -2.49917159278E+004
+2.37530000000E+005, -8.88130753233E+003, -2.49886364554E+004
+2.39525000000E+005, -8.10579868196E+003, -2.45296868215E+004
+2.41520000000E+005, -8.34139422844E+003, -2.45707314881E+004
+2.43515000000E+005, -8.60659983955E+003, -2.37948738371E+004
+2.45510000000E+005, -8.22211935038E+003, -2.44457334347E+004
+2.47505000000E+005, -7.72473396051E+003, -2.40251061978E+004
+2.49500000000E+005, -7.54369993240E+003, -2.40505722517E+004
+2.51495000000E+005, -7.42809341159E+003, -2.37274135665E+004
+2.53490000000E+005, -7.10503382492E+003, -2.43943322078E+004
+2.55485000000E+005, -7.42062501374E+003, -2.31693475409E+004
+2.57480000000E+005, -7.67900884660E+003, -2.49362702542E+004
+2.59475000000E+005, -6.48954092137E+003, -2.41790731456E+004
+2.61470000000E+005, -7.46439502596E+003, -2.30924936288E+004
+2.63465000000E+005, -6.44985782364E+003, -2.27571163341E+004
+2.65460000000E+005, -7.82994482364E+003, -2.23414668280E+004
+2.67455000000E+005, -7.87632610253E+003, -2.22647085842E+004
+2.69450000000E+005, -7.81325431866E+003, -2.18934986568E+004
+2.71445000000E+005, -7.94472332011E+003, -2.17905754093E+004
+2.73440000000E+005, -7.46315347891E+003, -2.25951171324E+004
+2.75435000000E+005, -7.21499904055E+003, -2.19145874299E+004
+2.77430000000E+005, -7.84795925317E+003, -2.15740587426E+004
+2.79425000000E+005, -7.30659507929E+003, -2.17397277384E+004
+2.81420000000E+005, -7.30220554695E+003, -2.20732061570E+004
+2.83415000000E+005, -6.86387433809E+003, -2.19699088252E+004
+2.85410000000E+005, -6.60868337082E+003, -2.17036274318E+004
+2.87405000000E+005, -6.63872304928E+003, -2.15272282982E+004
+2.89400000000E+005, -6.63321926019E+003, -2.08746428099E+004
+2.91395000000E+005, -5.83121141214E+003, -2.13713729212E+004
+2.93390000000E+005, -6.24535056843E+003, -2.09006100920E+004
+2.95385000000E+005, -5.68962662319E+003, -2.07357543469E+004
+2.97380000000E+005, -6.88804325932E+003, -2.12336153524E+004
+2.99375000000E+005, -4.48155711041E+003, -2.08727846068E+004
+3.01370000000E+005, -5.01185976750E+003, -2.06786603267E+004
+3.03365000000E+005, -5.58889976998E+003, -2.10669224156E+004
+3.05360000000E+005, -4.66758831106E+003, -2.05183087218E+004
+3.07355000000E+005, -5.90888816004E+003, -1.99155996239E+004
+3.09350000000E+005, -5.35380282614E+003, -2.01185020665E+004
+3.11345000000E+005, -5.79335310473E+003, -2.05648865686E+004
+3.13340000000E+005, -5.17508539399E+003, -2.04245391834E+004
+3.15335000000E+005, -5.58048352954E+003, -2.09275768174E+004
