"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+5.00000000000E+004, +6.14635378787E+003, +0.00000000000E+000
+5.19950000000E+004, +8.78678950015E+003, +0.00000000000E+000
+5.39900000000E+004, +9.69871644113E+003, +0.00000000000E+000
+5.59850000000E+004, +9.35173334061E+003, +0.00000000000E+000
+5.79800000000E+004, +9.23705442638E+003, +0.00000000000E+000
+5.99750000000E+004, +8.80134811943E+003, +0.00000000000E+000
+6.19700000000E+004, +8.47017880444E+003, +0.00000000000E+000
+6.39650000000E+004, +8.26724698276E+003, +0.00000000000E+000
+6.59600000000E+004, +7.95710735331E+003, +0.00000000000E+000
+6.79550000000E+004, +7.43335560792E+003, +0.00000000000E+000
+6.99500000000E+004, +7.35103090854E+003, +0.00000000000E+000
+7.19450000000E+004, +7.05030536159E+003, +0.00000000000E+000
+7.39400000000E+004, +6.84896499574E+003, +0.00000000000E+000
+7.59350000000E+004, +6.59525393834E+003, +0.00000000000E+000
+7.79300000000E+004, +6.46653413640E+003, +0.00000000000E+000
+7.99250000000E+004, +6.33001099716E+003, +0.00000000000E+000
+8.19200000000E+004, +6.08928937357E+003, +0.00000000000E+000
+8.39150000000E+004, +6.00774142657E+003, +0.00000000000E+000
+8.59100000000E+004, +5.87818049598E+003, +0.00000000000E+000
+8.79050000000E+004, +5.76557008735E+003, +0.00000000000E+000
+8.99000000000E+004, +5.54483094880E+003, +0.00000000000E+000
+9.18950000000E+004, +5.37406582779E+003, +0.00000000000E+000
+9.38900000000E+004, +5.32977657146E+003, +0.00000000000E+000
+9.58850000000E+004, +5.18564481984E+003, +0.00000000000E+000
+9.78800000000E+004, +5.05830214055E+003, +0.00000000000E+000
+9.98750000000E+004, +5.01835473865E+003, +0.00000000000E+000
+1.01870000000E+005, +4.85346209805E+003, +0.00000000000E+000
+1.03865000000E+005, +4.78164394119E+003, +0.00000000000E+000
+1.05860000000E+005, +4.66578729670E+003, +0.00000000000E+000
+1.07855000000E+005, +4.61714477468E+003, +0.00000000000E+000
+1.09850000000E+005, +4.51303374912E+003, +0.00000000000E+000
+1.11845000000E+005, +4.39253123256E+003, +0.00000000000E+000
+1.13840000000E+005, +4.34208092034E+003, +0.00000000000E+000
+1.15835000000E+005, +4.25256689890E+003, +0.00000000000E+000
+1.17830000000E+005, +4.21241114956E+003, +0.00000000000E+000
+1.19825000000E+005, +4.11694389019E+003, +0.00000000000E+000
