FREQ,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_IN_PP,I_IN_PP,V_OUT_PP,I_OUT_PP
6000000.0,0.74834857,0.0456095603,0.03413184922883377,0.6467271,0.01047931,0.006707866,0.13,0.016,0.09,0.014
6100000.0,0.7439274,0.0593088543,0.04412148177637782,0.8665173,0.01407633,0.01214895,0.16,0.013,0.11,0.014
6200000.0,25.306126,1.53270679,38.78687114879554,46.77254,0.7587666,35.44852,2.0,9.9e+37,9.9e+37,0.064
6300000.0,22.990568,1.68941239,38.84055043233752,45.32497,0.7358276,33.46745,1.66,9.9e+37,0.66,0.059
6400000.0,24.611041,1.90063828,46.776686635249476,50.44006,0.8174155,41.17999,1.38,0.044,0.52,0.047
6500000.0,24.847544,1.87861478,46.67896340510032,50.87991,0.8243245,41.94118,0.97,0.045,0.56,0.034
6600000.0,24.905278,1.831178,45.605997157484,50.50483,0.8182827,41.32877,0.89,0.039,0.55,0.028
6700000.0,24.918515,1.75414983,43.71080885110245,49.43864,0.8013521,39.6181,0.72,0.036,0.48,0.025
6780000.0,24.944373,1.6784906,41.868895603393796,48.34025,0.7831595,37.85921,0.61,0.038,0.45,0.023
6800000.0,24.928867,1.6592668,41.3636413747156,48.05635,0.7785012,37.39894,0.63,0.041,0.5,0.027
6900000.0,24.964836,1.57011511,39.197666222271955,46.67401,0.7564346,35.30605,0.61,0.044,0.45,0.025
7000000.0,24.967428,1.48445799,37.06309798434972,45.25457,0.7329606,33.17125,0.61,0.038,0.34,0.023
7100000.0,24.964815,1.41499214,35.3250170015541,44.01502,0.7128326,31.37596,0.75,0.042,0.39,0.025
7200000.0,24.940627,1.33682736,33.34131254915472,42.54924,0.6894232,29.32628,0.81,0.047,0.5,0.027
7300000.0,24.798061,1.20181766,29.802747643557257,39.78689,0.6446066,25.65005,0.67,0.047,0.41,0.023
7400000.0,24.767066,0.995256883,24.64959290821528,35.54303,0.575668,20.45956,0.55,0.042,0.34,0.022
7500000.0,24.886371,0.771704267,19.20491869084506,30.51251,0.4945285,15.0921,0.61,0.039,0.36,0.023
