FET,LOAD,V_IN,I_IN,V_OUT,I_OUT,P_OUT,V_IN_PP,V_IN_AVG,I_PRI_AVG,I_PRI_PP,I_PRI_RMS,V_OUT_PP,V_OUT_AVG,I_SEC_PP,I_SEC_AVG,I_SEC_RMS,V_PRI_PP,V_SEC_PP,V_TANK_IN_PP,V_TANK_OUT_PP
IGB110S101,50Ω Load,18.00946,0.944133712,0.003418316,0.001525103,2.927524e-07,0.25,18.1667,-0.038,1.72,0.592,0.013,-0.0059,1.88,-0.036,0.619,331.0,325.0,84.0,94.0
IGB110S101,50Ω Load,18.509284,0.972120693,0.003330261,0.001613708,5.568042e-07,0.256,18.6743,-0.067,1.88,0.619,0.013,-0.0058,1.94,-0.033,0.639,338.0,338.0,88.0,103.0
IGB110S101,50Ω Load,19.009839,1.00042832,0.003382372,0.001511383,3.065972e-07,0.269,19.177,-0.037,1.84,0.626,0.013,-0.0058,2.0,-0.041,0.651,344.0,344.0,88.0,103.0
IGB110S101,50Ω Load,19.509453,1.02893159,0.003370513,0.00149889,1.232464e-07,0.256,19.6732,-0.068,1.94,0.647,0.013,-0.0059,2.06,-0.032,0.668,363.0,350.0,91.0,100.0
IGB110S101,50Ω Load,20.009374,1.05732335,0.003529559,0.001480686,4.349081e-07,0.263,20.1833,-0.069,2.0,0.663,0.013,-0.0061,2.06,-0.036,0.683,363.0,356.0,94.0,106.0
IGB110S101,50Ω Load,20.510183,1.08551395,0.003486552,0.001566192,6.074526e-07,0.269,20.686,-0.069,2.0,0.68,0.013,-0.006,2.19,-0.033,0.703,375.0,363.0,97.0,109.0
IGB110S101,50Ω Load,21.009846,1.1131899,0.003432094,0.001455532,7.799984e-08,0.281,21.1831,-0.072,2.13,0.699,0.013,-0.0058,2.19,-0.036,0.717,381.0,375.0,100.0,113.0
IGB110S101,50Ω Load,21.510467,1.14064176,0.003436881,0.001602605,9.619982e-07,0.275,21.6844,-0.065,2.13,0.713,0.013,-0.006,2.31,-0.033,0.737,388.0,381.0,100.0,116.0
IGB110S101,50Ω Load,22.009765,1.16798209,0.003580065,0.001522795,3.950638e-07,0.294,22.1897,-0.069,2.13,0.731,0.013,-0.0058,2.25,-0.034,0.753,400.0,394.0,100.0,119.0
IGB110S101,50Ω Load,22.509389,1.19520572,0.003416958,0.001495412,3.842587e-07,0.313,22.6956,-0.066,2.19,0.748,0.013,-0.006,2.38,-0.036,0.776,406.0,400.0,106.0,119.0
IGB110S101,50Ω Load,23.007634,1.22247308,0.003699102,0.001467932,5.368816e-07,0.313,23.1921,-0.071,2.25,0.763,0.013,-0.0061,2.38,-0.035,0.793,419.0,413.0,106.0,119.0
IGB110S101,50Ω Load,23.507532,1.25011517,0.003574763,0.00148242,4.916352e-07,0.338,23.694,-0.069,2.38,0.778,0.013,-0.006,2.44,-0.037,0.807,425.0,419.0,113.0,125.0
IGB110S101,50Ω Load,24.00574,1.27761341,0.003573349,0.001511919,6.976085e-07,0.331,24.1923,-0.071,2.31,0.798,0.013,-0.0059,2.44,-0.033,0.828,438.0,431.0,113.0,128.0
IGB110S101,50Ω Load,24.505081,1.30540555,0.003367514,0.001626441,6.841019e-07,0.344,24.7014,-0.065,2.44,0.808,0.013,-0.0058,2.56,-0.032,0.842,450.0,438.0,113.0,128.0
IGB110S101,50Ω Load,25.005334,1.33325477,0.003315931,0.001512859,5.368819e-08,0.344,25.1944,-0.072,2.44,0.823,0.013,-0.0061,2.56,-0.04,0.863,456.0,444.0,119.0,131.0
IGB110S101,50Ω Load,25.505012,1.36137523,0.003482559,0.001564766,8.178167e-07,0.356,25.7024,-0.072,2.5,0.847,0.013,-0.006,2.63,-0.032,0.881,469.0,456.0,119.0,134.0
IGB110S101,50Ω Load,26.005982,1.38972752,0.003422996,0.001528868,3.896617e-07,0.369,26.207,-0.067,2.56,0.868,0.013,-0.0059,2.69,-0.029,0.895,500.0,469.0,125.0,138.0
IGB110S101,50Ω Load,26.50576,1.41802127,0.003544216,0.001481873,1.188568e-07,0.369,26.7093,-0.075,2.63,0.879,0.013,-0.006,2.75,-0.029,0.914,500.0,475.0,125.0,138.0
IGB110S101,50Ω Load,27.005075,1.44631954,0.003374139,0.001440726,1.69506e-07,0.369,27.2042,-0.066,2.63,0.896,0.013,-0.006,2.81,-0.032,0.926,520.0,488.0,128.0,144.0
IGB110S101,50Ω Load,27.503736,1.47459783,0.003612993,0.00142092,2.508825e-07,0.375,27.7145,-0.069,2.63,0.913,0.013,-0.0058,2.81,-0.033,0.95,530.0,520.0,128.0,144.0
IGB110S101,50Ω Load,28.003013,1.50273076,0.003423858,0.001462716,1.222335e-07,0.394,28.2141,-0.07,2.75,0.928,0.013,-0.006,2.88,-0.03,0.962,530.0,550.0,131.0,147.0
