FET,LOAD,V_IN,I_IN,V_OUT,I_OUT,P_OUT,V_IN_PP,V_IN_AVG,I_PRI_AVG,I_PRI_PP,I_PRI_RMS,V_OUT_PP,V_OUT_AVG,I_SEC_PP,I_SEC_AVG,I_SEC_RMS,V_PRI_PP,V_SEC_PP,V_TANK_IN_PP,V_TANK_OUT_PP
IGB110S101,RB058LAM100TF,24.391491,1.87926772,49.56049,0.8030261,39.79537,0.59,24.5844,-0.073,3.06,1.03,0.238,49.7576,3.06,-0.027,1.03,580.0,630.0,138.0,125.0
IGB110S101,RB058LAM100TF,24.785947,1.76324815,48.37004,0.7836239,37.91478,0.52,25.0873,-0.069,2.81,0.957,0.194,48.5411,2.94,-0.032,1.002,560.0,630.0,141.0,122.0
IGB110S101,RB058LAM100TF,24.980615,1.62573385,46.59693,0.754816,35.16804,0.58,25.249,-0.064,2.63,0.89,0.209,46.7675,2.88,-0.027,0.964,550.0,610.0,141.0,122.0
IGB110S101,RB058LAM100TF,24.96997,1.48761216,44.58212,0.7213138,32.15962,0.44,25.1318,-0.066,2.44,0.83,0.163,44.7519,2.69,-0.033,0.921,500.0,580.0,134.0,119.0
IGB110S101,RB058LAM100TF,24.905696,1.38438021,42.91534,0.6951425,29.83146,0.41,25.1707,-0.065,2.31,0.79,0.147,43.0749,2.63,-0.027,0.89,470.0,550.0,131.0,113.0
IGB110S101,RB058LAM100TF,24.847099,1.33307748,42.06466,0.6816002,28.66706,0.38,25.0477,-0.071,2.38,0.784,0.144,42.2241,2.63,-0.029,0.871,450.0,530.0,125.0,116.0
IGB110S101,RB058LAM100TF,24.798074,1.32327421,41.92392,0.6787363,28.45435,0.38,25.0074,-0.075,2.44,0.802,0.106,42.0823,2.63,-0.027,0.875,450.0,520.0,119.0,116.0
IGB110S101,RB058LAM100TF,24.64002,1.3293456,41.92353,0.6779502,28.41488,0.34,24.8575,-0.071,2.44,0.814,0.15,42.0825,2.63,-0.022,0.874,470.0,530.0,116.0,113.0
IGB110S101,RB058LAM100TF,24.487072,1.34082556,41.92384,0.6784628,28.43965,0.38,24.6737,-0.077,2.5,0.844,0.2,42.0841,2.63,-0.029,0.874,470.0,530.0,116.0,116.0
IGB110S101,RB058LAM100TF,24.447846,1.34456366,41.92427,0.6788638,28.45962,0.34,24.65,-0.071,2.5,0.846,0.209,42.0835,2.63,-0.026,0.881,470.0,520.0,116.0,113.0
IGB110S101,RB058LAM100TF,24.409608,1.37474369,42.24794,0.6846973,28.92974,0.38,24.619,-0.074,2.63,0.887,0.181,42.4211,2.63,-0.032,0.886,480.0,530.0,113.0,113.0
IGB110S101,RB058LAM100TF,24.571763,1.39180824,42.45826,0.688116,29.2141,0.41,24.7898,-0.075,2.75,0.927,0.178,42.6247,2.69,-0.027,0.892,520.0,520.0,122.0,113.0
IGB110S101,RB058LAM100TF,24.475097,1.33397118,41.0903,0.6656858,27.35566,0.41,24.6819,-0.077,2.75,0.934,0.197,41.2477,2.56,-0.027,0.865,530.0,500.0,125.0,109.0
IGB110S101,RB058LAM100TF,24.534717,1.18643952,38.17902,0.6186213,23.61759,0.47,24.7426,-0.082,2.63,0.899,0.203,38.3198,2.44,-0.033,0.805,520.0,480.0,131.0,106.0
IGB110S101,RB058LAM100TF,24.78746,0.978550748,33.87139,0.5494783,18.6032,0.58,25.0189,-0.076,2.38,0.824,0.175,34.0174,2.19,-0.027,0.7124,480.0,410.0,141.0,89.0
IGB110S101,RB058LAM100TF,25.12696,0.749267413,28.63829,0.4641761,13.29255,0.67,25.3103,-0.078,2.19,0.727,0.134,28.7374,1.88,-0.029,0.6123,440.0,331.0,144.0,77.0
IGB110S101,RB058LAM100TF,25.377369,0.531600123,22.80369,0.3694224,8.42408,0.77,25.6121,-0.042,1.72,0.5976,0.156,22.8889,1.44,-0.003,0.4888,338.0,263.0,131.0,63.0
