Time (s),V_PRI,V_SEC,V_IN,V_OUT
0.0,-20.750059519999922,-178.00000512,18.9657500128,31.627375007359998
5e-10,-20.750059519999922,-196.7500032,18.97200001216,31.62425000768
1e-09,-8.250060799999915,-190.50000384,18.98450001088,31.61800000832
1.5000000000000002e-09,-14.500060159999975,-196.7500032,18.98450001088,31.61487500864
2e-09,-8.250060799999915,-190.50000384,18.98450001088,31.621125008
2.5e-09,-8.250060799999915,-196.7500032,18.98450001088,31.62425000768
3.0000000000000004e-09,-2.0000614399999677,-196.7500032,18.97825001152,31.62425000768
3.5000000000000003e-09,-14.500060159999975,-196.7500032,18.9657500128,31.621125008
4e-09,-2.0000614399999677,-196.7500032,18.9657500128,31.62425000768
4.500000000000001e-09,-2.0000614399999677,-209.25000192,18.95950001344,31.62425000768
5e-09,-8.250060799999915,-203.00000255999998,18.94700001472,31.63362500672
5.5000000000000004e-09,10.49993728000004,-203.00000255999998,18.94075001536,31.63362500672
6.000000000000001e-09,10.49993728000004,-196.7500032,18.934500016,31.627375007359998
6.5e-09,10.49993728000004,-196.7500032,18.92825001664,31.627375007359998
7.000000000000001e-09,16.749936639999987,-196.7500032,18.934500016,31.61800000832
7.500000000000001e-09,10.49993728000004,-215.50000128,18.92200001728,31.61487500864
8e-09,22.999936000000048,-196.7500032,18.92825001664,31.61487500864
8.5e-09,22.999936000000048,-209.25000192,18.91575001792,31.61487500864
9.000000000000001e-09,35.499934720000056,-209.25000192,18.92200001728,31.60862500928
9.5e-09,29.249935359999995,-203.00000255999998,18.91575001792,31.611750008959998
1e-08,29.249935359999995,-203.00000255999998,18.9032500192,31.61487500864
1.0500000000000001e-08,41.74993408,-196.7500032,18.89075002048,31.62425000768
1.1000000000000001e-08,35.499934720000056,-196.7500032,18.88450002112,31.63050000704
1.15e-08,35.499934720000056,-196.7500032,18.872000022399998,31.63987500608
1.2000000000000002e-08,41.74993408,-190.50000384,18.87825002176,31.64925000512
1.2500000000000001e-08,41.74993408,-196.7500032,18.88450002112,31.6523750048
1.3e-08,47.99993344000006,-190.50000384,18.89700001984,31.65862500416
1.35e-08,47.99993344000006,-190.50000384,18.90950001856,31.65550000448
1.4000000000000001e-08,54.24993280000001,-184.25000448,18.90950001856,31.65550000448
1.45e-08,60.49993216000007,-178.00000512,18.91575001792,31.65550000448
1.5000000000000002e-08,54.24993280000001,-178.00000512,18.92825001664,31.6523750048
1.55e-08,47.99993344000006,-184.25000448,18.92825001664,31.64925000512
1.6e-08,60.49993216000007,-165.5000064,18.92200001728,31.64925000512
1.6500000000000002e-08,60.49993216000007,-178.00000512,18.92200001728,31.65550000448
1.7e-08,72.99993088000008,-171.75000576,18.92825001664,31.65862500416
1.75e-08,60.49993216000007,-171.75000576,18.92825001664,31.661750003839998
1.8000000000000002e-08,66.74993152000002,-171.75000576,18.92825001664,31.66487500352
1.85e-08,72.99993088000008,-159.25000704,18.92825001664,31.65550000448
1.9e-08,72.99993088000008,-159.25000704,18.92825001664,31.64612500544
1.9500000000000003e-08,72.99993088000008,-153.00000768,18.92825001664,31.64925000512
2e-08,79.24993024000003,-146.75000832,18.953250014079998,31.6523750048
2.05e-08,72.99993088000008,-153.00000768,18.9657500128,31.64925000512
2.1000000000000003e-08,72.99993088000008,-140.50000896,18.97825001152,31.6523750048
2.15e-08,79.24993024000003,-140.50000896,18.98450001088,31.643000005759998
2.2000000000000002e-08,91.74992896000003,-134.2500096,18.95950001344,31.6367500064
2.2500000000000003e-08,85.49992960000009,-128.00001024,18.95950001344,31.63362500672
2.3e-08,85.49992960000009,-121.75001087999999,18.9657500128,31.63050000704
2.3500000000000002e-08,91.74992896000003,-128.00001024,18.953250014079998,31.62425000768
2.4000000000000003e-08,91.74992896000003,-109.25001216,18.953250014079998,31.621125008
2.45e-08,91.74992896000003,-115.50001151999999,18.94075001536,31.61800000832
2.5000000000000002e-08,97.99992831999998,-121.75001087999999,18.94075001536,31.60862500928
2.55e-08,91.74992896000003,-115.50001151999999,18.953250014079998,31.611750008959998
2.6e-08,97.99992831999998,-115.50001151999999,18.95950001344,31.61487500864
2.6500000000000002e-08,104.24992768000004,-109.25001216,18.9657500128,31.611750008959998
2.7e-08,97.99992831999998,-109.25001216,18.97825001152,31.60862500928
2.75e-08,97.99992831999998,-115.50001151999999,18.98450001088,31.60237500992
2.8000000000000003e-08,110.49992703999999,-103.0000128,19.00325000896,31.60237500992
2.85e-08,104.24992768000004,-109.25001216,19.00325000896,31.596125010559998
2.9e-08,110.49992703999999,-103.0000128,19.00325000896,31.596125010559998
2.9500000000000003e-08,116.74992640000005,-103.0000128,19.01575000768,31.59300001088
3.0000000000000004e-08,122.99992576,-103.0000128,18.9970000096,31.5898750112
3.05e-08,116.74992640000005,-96.75001344,18.98450001088,31.59925001024
3.1e-08,116.74992640000005,-90.50001408,18.98450001088,31.6055000096
3.1500000000000004e-08,122.99992576,-96.75001344,18.95950001344,31.61800000832
3.2e-08,116.74992640000005,-84.25001472,18.953250014079998,31.627375007359998
3.25e-08,122.99992576,-96.75001344,18.94075001536,31.63362500672
3.3000000000000004e-08,135.49992448,-96.75001344,18.94075001536,31.63362500672
3.35e-08,129.24992512000006,-90.50001408,18.94075001536,31.6367500064
3.4e-08,135.49992448,-90.50001408,18.94075001536,31.63987500608
3.4500000000000005e-08,141.74992384000006,-84.25001472,18.934500016,31.64925000512
3.5e-08,135.49992448,-78.00001535999999,18.934500016,31.64612500544
3.55e-08,129.24992512000006,-78.00001535999999,18.91575001792,31.643000005759998
3.6000000000000005e-08,147.9999232,-71.75001599999999,18.92200001728,31.6367500064
3.65e-08,141.74992384000006,-71.75001599999999,18.92825001664,31.621125008
3.7e-08,141.74992384000006,-71.75001599999999,18.92825001664,31.61800000832
3.7500000000000005e-08,147.9999232,-65.50001663999998,18.934500016,31.61800000832
3.8e-08,154.24992256000007,-59.25001727999998,18.91575001792,31.61800000832
3.85e-08,154.24992256000007,-59.25001727999998,18.91575001792,31.621125008
3.9000000000000005e-08,154.24992256000007,-53.000017920000005,18.92200001728,31.61487500864
3.95e-08,147.9999232,-59.25001727999998,18.92200001728,31.611750008959998
4e-08,154.24992256000007,-40.5000192,18.934500016,31.60862500928
4.0500000000000005e-08,160.49992192000002,-46.75001856,18.934500016,31.611750008959998
4.1e-08,166.74992128000008,-46.75001856,18.94700001472,31.60862500928
4.15e-08,154.24992256000007,-40.5000192,18.94700001472,31.61800000832
4.2000000000000006e-08,160.49992192000002,-28.00002047999999,18.94700001472,31.621125008
4.2500000000000003e-08,160.49992192000002,-28.00002047999999,18.94075001536,31.621125008
4.3e-08,160.49992192000002,-21.750021119999985,18.934500016,31.621125008
4.3500000000000006e-08,154.24992256000007,-21.750021119999985,18.92200001728,31.621125008
4.4000000000000004e-08,154.24992256000007,-15.500021759999981,18.90950001856,31.62425000768
4.45e-08,154.24992256000007,-15.500021759999981,18.89700001984,31.621125008
4.5000000000000006e-08,147.9999232,-9.250022399999978,18.872000022399998,31.621125008
4.5500000000000004e-08,154.24992256000007,-3.0000230399999737,18.86575002304,31.60862500928
4.6e-08,160.49992192000002,-3.0000230399999737,18.8407500256,31.596125010559998
4.6500000000000006e-08,154.24992256000007,-3.0000230399999737,18.83450002624,31.596125010559998
4.7000000000000004e-08,154.24992256000007,3.249976320000002,18.82825002688,31.59300001088
4.75e-08,147.9999232,3.249976320000002,18.81575002816,31.5898750112
4.8000000000000006e-08,154.24992256000007,15.74997504000001,18.8095000288,31.59300001088
4.8500000000000004e-08,154.24992256000007,9.499975680000006,18.8095000288,31.6055000096
4.9e-08,166.74992128000008,3.249976320000002,18.82825002688,31.60862500928
4.95e-08,154.24992256000007,3.249976320000002,18.8407500256,31.621125008
5.0000000000000004e-08,160.49992192000002,15.74997504000001,18.84700002496,31.63050000704
5.05e-08,154.24992256000007,21.999974400000013,18.8407500256,31.63050000704
5.1e-08,147.9999232,15.74997504000001,18.8407500256,31.627375007359998
5.1500000000000005e-08,141.74992384000006,21.999974400000013,18.82825002688,31.62425000768
5.2e-08,147.9999232,21.999974400000013,18.84700002496,31.63050000704
5.25e-08,141.74992384000006,28.24997375999999,18.85950002368,31.63050000704
5.3000000000000005e-08,129.24992512000006,28.24997375999999,18.872000022399998,31.63987500608
5.35e-08,135.49992448,40.74997248,18.872000022399998,31.627375007359998
5.4e-08,141.74992384000006,40.74997248,18.85325002432,31.61800000832
5.4500000000000005e-08,135.49992448,40.74997248,18.84700002496,31.61487500864
5.5e-08,135.49992448,46.99997184,18.85325002432,31.611750008959998
5.55e-08,129.24992512000006,46.99997184,18.8407500256,31.60862500928
5.6000000000000005e-08,129.24992512000006,59.49997056000001,18.82825002688,31.61487500864
5.65e-08,129.24992512000006,53.249971200000005,18.81575002816,31.611750008959998
5.7e-08,129.24992512000006,53.249971200000005,18.80325002944,31.60237500992
5.7500000000000005e-08,116.74992640000005,53.249971200000005,18.79700003008,31.60237500992
5.8e-08,122.99992576,65.74996992000001,18.79700003008,31.60862500928
5.85e-08,116.74992640000005,71.99996928000002,18.80325002944,31.61800000832
5.9000000000000006e-08,116.74992640000005,78.24996864000002,18.81575002816,31.627375007359998
5.9500000000000003e-08,110.49992703999999,71.99996928000002,18.8095000288,31.63362500672
6.000000000000001e-08,110.49992703999999,84.49996800000002,18.82825002688,31.63362500672
6.05e-08,104.24992768000004,78.24996864000002,18.84700002496,31.62425000768
6.1e-08,97.99992831999998,90.74996736000003,18.86575002304,31.63050000704
6.15e-08,104.24992768000004,90.74996736000003,18.89075002048,31.627375007359998
6.2e-08,97.99992831999998,90.74996736000003,18.87825002176,31.621125008
6.250000000000001e-08,91.74992896000003,103.24996608000004,18.86575002304,31.621125008
6.300000000000001e-08,91.74992896000003,109.49996544000004,18.86575002304,31.611750008959998
6.35e-08,85.49992960000009,96.99996672000003,18.84700002496,31.596125010559998
6.4e-08,85.49992960000009,109.49996544000004,18.84700002496,31.59300001088
6.45e-08,79.24993024000003,103.24996608000004,18.84700002496,31.59300001088
6.5e-08,85.49992960000009,103.24996608000004,18.85950002368,31.58362501184
6.55e-08,66.74993152000002,103.24996608000004,18.87825002176,31.58675001152
6.600000000000001e-08,66.74993152000002,109.49996544000004,18.88450002112,31.58362501184
6.65e-08,66.74993152000002,115.74996480000004,18.9032500192,31.58362501184
6.7e-08,66.74993152000002,115.74996480000004,18.92200001728,31.58675001152
6.75e-08,60.49993216000007,115.74996480000004,18.92200001728,31.59300001088
6.8e-08,60.49993216000007,121.99996415999999,18.92825001664,31.60237500992
6.85e-08,54.24993280000001,121.99996415999999,18.91575001792,31.6055000096
6.900000000000001e-08,47.99993344000006,121.99996415999999,18.9032500192,31.611750008959998
6.950000000000001e-08,47.99993344000006,128.24996352,18.89700001984,31.6055000096
7e-08,47.99993344000006,128.24996352,18.86575002304,31.6055000096
7.05e-08,41.74993408,128.24996352,18.85325002432,31.611750008959998
7.1e-08,41.74993408,134.49996288,18.85325002432,31.611750008959998
7.15e-08,35.499934720000056,128.24996352,18.85325002432,31.6055000096
7.200000000000001e-08,35.499934720000056,134.49996288,18.85950002368,31.60862500928
7.250000000000001e-08,29.249935359999995,134.49996288,18.88450002112,31.611750008959998
7.3e-08,35.499934720000056,128.24996352,18.9032500192,31.61487500864
7.35e-08,22.999936000000048,128.24996352,18.9032500192,31.62425000768
7.4e-08,29.249935359999995,140.74996224,18.90950001856,31.627375007359998
7.45e-08,29.249935359999995,140.74996224,18.91575001792,31.63050000704
7.500000000000001e-08,16.749936639999987,140.74996224,18.91575001792,31.63362500672
7.550000000000001e-08,10.49993728000004,146.9999616,18.9032500192,31.6367500064
7.6e-08,16.749936639999987,146.9999616,18.89700001984,31.643000005759998
7.65e-08,10.49993728000004,146.9999616,18.89700001984,31.643000005759998
7.7e-08,4.249937919999979,146.9999616,18.88450002112,31.64612500544
7.75e-08,4.249937919999979,153.24996096,18.88450002112,31.6367500064
7.800000000000001e-08,4.249937919999979,153.24996096,18.86575002304,31.62425000768
7.850000000000001e-08,-2.0000614399999677,153.24996096,18.87825002176,31.61800000832
7.9e-08,-2.0000614399999677,153.24996096,18.89075002048,31.60862500928
7.95e-08,-8.250060799999915,153.24996096,18.88450002112,31.59925001024
8e-08,-8.250060799999915,159.49996032,18.87825002176,31.59300001088
8.05e-08,-14.500060159999975,153.24996096,18.86575002304,31.596125010559998
8.100000000000001e-08,-8.250060799999915,146.9999616,18.86575002304,31.596125010559998
8.150000000000001e-08,-20.750059519999922,146.9999616,18.85950002368,31.6055000096
8.2e-08,-20.750059519999922,153.24996096,18.85950002368,31.61487500864
8.25e-08,-20.750059519999922,153.24996096,18.8407500256,31.627375007359998
8.3e-08,-33.25005823999993,146.9999616,18.82825002688,31.63362500672
8.35e-08,-33.25005823999993,146.9999616,18.8095000288,31.63987500608
8.400000000000001e-08,-27.000058879999983,153.24996096,18.81575002816,31.64612500544
8.450000000000001e-08,-39.50005759999999,146.9999616,18.82825002688,31.643000005759998
8.500000000000001e-08,-39.50005759999999,146.9999616,18.83450002624,31.64612500544
8.55e-08,-39.50005759999999,153.24996096,18.84700002496,31.63362500672
8.6e-08,-39.50005759999999,146.9999616,18.82200002752,31.62425000768
8.65e-08,-45.75005695999994,146.9999616,18.82825002688,31.61800000832
8.700000000000001e-08,-52.00005632,146.9999616,18.83450002624,31.61487500864
8.750000000000001e-08,-52.00005632,128.24996352,18.8407500256,31.621125008
8.800000000000001e-08,-52.00005632,140.74996224,18.8407500256,31.627375007359998
8.85e-08,-52.00005632,128.24996352,18.8407500256,31.63987500608
8.9e-08,-58.250055679999946,121.99996415999999,18.8407500256,31.643000005759998
8.95e-08,-64.50005504,115.74996480000004,18.8407500256,31.65862500416
9.000000000000001e-08,-64.50005504,121.99996415999999,18.85325002432,31.67112500288
9.050000000000001e-08,-64.50005504,121.99996415999999,18.85325002432,31.6836250016
9.100000000000001e-08,-64.50005504,115.74996480000004,18.86575002304,31.68987500096
9.15e-08,-77.00005376000001,115.74996480000004,18.85325002432,31.68675000128
9.2e-08,-70.75005439999995,115.74996480000004,18.85325002432,31.68050000192
9.25e-08,-70.75005439999995,103.24996608000004,18.85325002432,31.661750003839998
9.300000000000001e-08,-77.00005376000001,109.49996544000004,18.84700002496,31.65550000448
9.350000000000001e-08,-77.00005376000001,109.49996544000004,18.85325002432,31.63987500608
9.400000000000001e-08,-77.00005376000001,96.99996672000003,18.82825002688,31.63050000704
9.45e-08,-77.00005376000001,96.99996672000003,18.82825002688,31.627375007359998
9.5e-08,-83.25005311999996,103.24996608000004,18.8407500256,31.621125008
9.55e-08,-89.50005248000002,84.49996800000002,18.83450002624,31.621125008
9.600000000000001e-08,-83.25005311999996,90.74996736000003,18.8407500256,31.62425000768
9.650000000000001e-08,-89.50005248000002,78.24996864000002,18.8407500256,31.627375007359998
9.700000000000001e-08,-77.00005376000001,71.99996928000002,18.83450002624,31.627375007359998
9.75e-08,-89.50005248000002,65.74996992000001,18.82825002688,31.627375007359998
9.8e-08,-89.50005248000002,71.99996928000002,18.83450002624,31.627375007359998
9.85e-08,-89.50005248000002,71.99996928000002,18.8407500256,31.62425000768
9.9e-08,-95.75005183999997,71.99996928000002,18.85950002368,31.621125008
9.950000000000001e-08,-102.00005119999997,65.74996992000001,18.86575002304,31.62425000768
1.0000000000000001e-07,-102.00005119999997,65.74996992000001,18.88450002112,31.627375007359998
1.005e-07,-102.00005119999997,59.49997056000001,18.9032500192,31.62425000768
1.01e-07,-108.25005055999998,59.49997056000001,18.92200001728,31.627375007359998
1.015e-07,-108.25005055999998,65.74996992000001,18.953250014079998,31.61800000832
1.02e-07,-108.25005055999998,59.49997056000001,18.94700001472,31.60862500928
1.0250000000000001e-07,-108.25005055999998,59.49997056000001,18.953250014079998,31.60237500992
1.0300000000000001e-07,-120.75004927999998,59.49997056000001,18.953250014079998,31.59300001088
1.0350000000000001e-07,-120.75004927999998,46.99997184,18.934500016,31.58362501184
1.04e-07,-120.75004927999998,53.249971200000005,18.91575001792,31.580500012159998
1.045e-07,-120.75004927999998,46.99997184,18.89700001984,31.580500012159998
1.05e-07,-114.50004991999998,40.74997248,18.88450002112,31.580500012159998
1.0550000000000001e-07,-127.00004863999999,40.74997248,18.88450002112,31.59300001088
