Time (s),V_TANK_IN,I_PRI,V_TANK_OUT,I_SEC
0.0,-56.25002495999999,-1.062500096,35.937499136,-0.7499993087999997
5e-10,-59.37502463999999,-1.062500096,34.37499904,-0.6874993152000002
1e-09,-56.25002495999999,-1.062500096,37.499999232,-0.6874993152000002
1.5000000000000002e-09,-56.25002495999999,-1.0000001024,35.937499136,-0.6249993215999998
2e-09,-56.25002495999999,-1.062500096,35.937499136,-0.6249993215999998
2.5e-09,-56.25002495999999,-1.0000001024,34.37499904,-0.5624993279999995
3.0000000000000004e-09,-59.37502463999999,-1.0000001024,34.37499904,-0.4999993344
3.5000000000000003e-09,-59.37502463999999,-1.062500096,34.37499904,-0.5624993279999995
4e-09,-62.500024319999994,-1.062500096,32.812498944,-0.4999993344
4.500000000000001e-09,-59.37502463999999,-0.9375001088000001,32.812498944,-0.4999993344
5e-09,-59.37502463999999,-1.0000001024,34.37499904,-0.4999993344
5.5000000000000004e-09,-56.25002495999999,-1.062500096,34.37499904,-0.43749934079999964
6.000000000000001e-09,-56.25002495999999,-1.062500096,32.812498944,-0.37499934720000017
6.5e-09,-53.12502527999999,-1.0000001024,34.37499904,-0.37499934720000017
7.000000000000001e-09,-56.25002495999999,-1.0000001024,34.37499904,-0.37499934720000017
7.500000000000001e-09,-56.25002495999999,-1.062500096,32.812498944,-0.37499934720000017
8e-09,-56.25002495999999,-1.0000001024,32.812498944,-0.3124993535999998
8.5e-09,-56.25002495999999,-1.0000001024,31.249998848,-0.3124993535999998
9.000000000000001e-09,-56.25002495999999,-1.062500096,34.37499904,-0.3124993535999998
9.5e-09,-56.25002495999999,-0.9375001088000001,32.812498944,-0.3124993535999998
1e-08,-56.25002495999999,-1.0000001024,31.249998848,-0.3124993535999998
1.0500000000000001e-08,-56.25002495999999,-0.9375001088000001,29.687498752,-0.24999935999999945
1.1000000000000001e-08,-56.25002495999999,-1.0000001024,29.687498752,-0.12499937279999962
1.15e-08,-53.12502527999999,-1.0000001024,28.124998656000002,-0.18749936639999998
1.2000000000000002e-08,-56.25002495999999,-0.9375001088000001,26.56249856,-0.12499937279999962
1.2500000000000001e-08,-59.37502463999999,-0.9375001088000001,23.437498368,-0.18749936639999998
1.3e-08,-59.37502463999999,-0.9375001088000001,24.999998464,-0.12499937279999962
1.35e-08,-56.25002495999999,-0.9375001088000001,21.874998272,-0.12499937279999962
1.4000000000000001e-08,-56.25002495999999,-0.9375001088000001,18.74999808,-0.06249937920000015
1.45e-08,-56.25002495999999,-0.8750001152,20.312498176000002,-0.06249937920000015
1.5000000000000002e-08,-56.25002495999999,-0.9375001088000001,17.187497984000004,-0.06249937920000015
1.55e-08,-56.25002495999999,-0.8750001152,14.062497792000002,-0.06249937920000015
1.6e-08,-56.25002495999999,-0.8750001152,12.499997696000001,0.06250060800000057
1.6500000000000002e-08,-56.25002495999999,-0.9375001088000001,7.812497407999999,0.06250060800000057
1.7e-08,-56.25002495999999,-0.9375001088000001,9.374997504,0.06250060800000057
1.75e-08,-56.25002495999999,-0.8750001152,4.687497216000004,0.12500060160000004
1.8000000000000002e-08,-56.25002495999999,-0.9375001088000001,3.1249971200000033,0.12500060160000004
1.85e-08,-53.12502527999999,-0.8125001216000001,-1.5625031679999992,0.1875005952000004
1.9e-08,-56.25002495999999,-0.7500001279999999,-3.125003264,0.12500060160000004
1.9500000000000003e-08,-50.00002559999999,-0.8750001152,-6.250003456000002,0.1875005952000004
2e-08,-53.12502527999999,-0.8125001216000001,-9.375003647999996,0.25000058879999987
2.05e-08,-53.12502527999999,-0.7500001279999999,-10.937503743999997,0.25000058879999987
2.1000000000000003e-08,-50.00002559999999,-0.7500001279999999,-12.500003839999998,0.25000058879999987
2.15e-08,-50.00002559999999,-0.7500001279999999,-15.625004031999993,0.1875005952000004
2.2000000000000002e-08,-50.00002559999999,-0.7500001279999999,-20.312504320000002,0.25000058879999987
2.2500000000000003e-08,-50.00002559999999,-0.7500001279999999,-23.437504512000004,0.3750005760000006
2.3e-08,-46.875025919999985,-0.6875001344,-23.437504512000004,0.3750005760000006
2.3500000000000002e-08,-46.875025919999985,-0.7500001279999999,-28.1250048,0.25000058879999987
2.4000000000000003e-08,-43.75002624000001,-0.6875001344,-28.1250048,0.3750005760000006
2.45e-08,-43.75002624000001,-0.6875001344,-31.250004992,0.3125005824000002
2.5000000000000002e-08,-43.75002624000001,-0.6250001408000001,-31.250004992,0.3750005760000006
2.55e-08,-40.62502655999998,-0.6250001408000001,-35.937505279999996,0.43750056960000006
2.6e-08,-40.62502655999998,-0.6250001408000001,-37.50000537599999,0.43750056960000006
2.6500000000000002e-08,-34.37502719999998,-0.6250001408000001,-39.062505472,0.43750056960000006
2.7e-08,-34.37502719999998,-0.5625001472,-40.62500556799999,0.5000005632000004
2.75e-08,-31.250027520000003,-0.6250001408000001,-40.62500556799999,0.5000005632000004
2.8000000000000003e-08,-31.250027520000003,-0.6250001408000001,-40.62500556799999,0.5625005567999999
2.85e-08,-25.00002816,-0.5000001536,-43.75000575999999,0.5625005567999999
2.9e-08,-25.00002816,-0.43750016000000014,-40.62500556799999,0.5625005567999999
2.9500000000000003e-08,-18.750028799999995,-0.5000001536,-39.062505472,0.5625005567999999
3.0000000000000004e-08,-15.625029119999965,-0.5625001472,-42.187505664,0.5625005567999999
3.05e-08,-15.625029119999965,-0.5000001536,-42.187505664,0.6250005504000002
3.1e-08,-12.500029439999992,-0.43750016000000014,-39.062505472,0.5625005567999999
3.1500000000000004e-08,-12.500029439999992,-0.5000001536,-40.62500556799999,0.6250005504000002
3.2e-08,-6.250030079999988,-0.3750001664,-40.62500556799999,0.6250005504000002
3.25e-08,-6.250030079999988,-0.43750016000000014,-40.62500556799999,0.6250005504000002
3.3000000000000004e-08,-6.250030079999988,-0.3750001664,-37.50000537599999,0.6250005504000002
3.35e-08,-3.071999998383035e-05,-0.3125001728000001,-40.62500556799999,0.7500005376000001
3.4e-08,3.1249689599999897,-0.43750016000000014,-39.062505472,0.6875005440000006
3.4500000000000005e-08,6.24996864000002,-0.3750001664,-39.062505472,0.6875005440000006
3.5e-08,3.1249689599999897,-0.25000017920000017,-39.062505472,0.6875005440000006
3.55e-08,6.24996864000002,-0.3125001728000001,-40.62500556799999,0.7500005376000001
3.6000000000000005e-08,9.374968319999994,-0.3125001728000001,-40.62500556799999,0.7500005376000001
3.65e-08,12.499968000000024,-0.25000017920000017,-42.187505664,0.8125005312000004
3.7e-08,12.499968000000024,-0.25000017920000017,-39.062505472,0.7500005376000001
3.7500000000000005e-08,12.499968000000024,-0.18750018560000004,-42.187505664,0.7500005376000001
3.8e-08,15.624967679999997,-0.25000017920000017,-42.187505664,0.8125005312000004
3.85e-08,15.624967679999997,-0.18750018560000004,-42.187505664,0.8125005312000004
3.9000000000000005e-08,18.749967360000028,-0.18750018560000004,-42.187505664,0.8125005312000004
3.95e-08,18.749967360000028,-0.18750018560000004,-43.75000575999999,0.8125005312000004
4e-08,21.87496704,-0.12500019200000012,-43.75000575999999,0.8750005247999999
4.0500000000000005e-08,18.749967360000028,-0.12500019200000012,-45.312505856,0.8125005312000004
4.1e-08,21.87496704,-0.06250019839999998,-43.75000575999999,0.8750005247999999
4.15e-08,21.87496704,-0.06250019839999998,-46.875005951999995,0.8750005247999999
4.2000000000000006e-08,21.87496704,-0.06250019839999998,-45.312505856,0.8750005247999999
4.2500000000000003e-08,28.124966400000005,-2.04800000069838e-07,-43.75000575999999,0.8750005247999999
4.3e-08,24.99996672000003,-2.04800000069838e-07,-43.75000575999999,0.9375005184000003
4.3500000000000006e-08,28.124966400000005,0.062499788799999845,-43.75000575999999,1.0000005119999997
4.4000000000000004e-08,28.124966400000005,0.062499788799999845,-43.75000575999999,0.9375005184000003
4.45e-08,28.124966400000005,0.12499978239999976,-43.75000575999999,0.9375005184000003
4.5000000000000006e-08,31.249966080000036,0.062499788799999845,-42.187505664,0.9375005184000003
4.5500000000000004e-08,28.124966400000005,0.12499978239999976,-40.62500556799999,0.9375005184000003
4.6e-08,31.249966080000036,0.12499978239999976,-42.187505664,1.0000005119999997
4.6500000000000006e-08,28.124966400000005,0.18749977600000012,-42.187505664,1.0000005119999997
4.7000000000000004e-08,34.37496576000001,0.18749977600000012,-39.062505472,0.9375005184000003
4.75e-08,28.124966400000005,0.12499978239999976,-40.62500556799999,0.9375005184000003
4.8000000000000006e-08,31.249966080000036,0.24999976960000003,-40.62500556799999,1.0000005119999997
4.8500000000000004e-08,31.249966080000036,0.18749977600000012,-42.187505664,0.9375005184000003
4.9e-08,28.124966400000005,0.31249976319999995,-35.937505279999996,0.9375005184000003
4.95e-08,31.249966080000036,0.31249976319999995,-39.062505472,1.0625005056
5.0000000000000004e-08,34.37496576000001,0.24999976960000003,-37.50000537599999,1.0000005119999997
5.05e-08,34.37496576000001,0.31249976319999995,-37.50000537599999,1.0000005119999997
5.1e-08,31.249966080000036,0.37499975679999986,-37.50000537599999,0.9375005184000003
5.1500000000000005e-08,34.37496576000001,0.37499975679999986,-37.50000537599999,1.0625005056
5.2e-08,34.37496576000001,0.37499975679999986,-39.062505472,1.0625005056
5.25e-08,34.37496576000001,0.4374997503999998,-40.62500556799999,1.0000005119999997
5.3000000000000005e-08,31.249966080000036,0.4374997503999998,-39.062505472,1.0000005119999997
5.35e-08,31.249966080000036,0.4374997503999998,-40.62500556799999,1.0000005119999997
5.4e-08,31.249966080000036,0.4374997503999998,-42.187505664,1.0625005056
5.4500000000000005e-08,31.249966080000036,0.49999974400000013,-42.187505664,1.0625005056
5.5e-08,31.249966080000036,0.4374997503999998,-40.62500556799999,1.0000005119999997
5.55e-08,31.249966080000036,0.5624997376,-42.187505664,1.0000005119999997
5.6000000000000005e-08,34.37496576000001,0.5624997376,-42.187505664,1.0000005119999997
5.65e-08,31.249966080000036,0.6249997312,-42.187505664,0.9375005184000003
5.7e-08,31.249966080000036,0.6249997312,-40.62500556799999,0.9375005184000003
5.7500000000000005e-08,31.249966080000036,0.5624997376,-43.75000575999999,1.0000005119999997
5.8e-08,31.249966080000036,0.6249997312,-40.62500556799999,0.9375005184000003
5.85e-08,31.249966080000036,0.6249997312,-40.62500556799999,0.9375005184000003
5.9000000000000006e-08,28.124966400000005,0.6874997247999999,-40.62500556799999,1.0000005119999997
5.9500000000000003e-08,28.124966400000005,0.6874997247999999,-40.62500556799999,1.0000005119999997
6.000000000000001e-08,28.124966400000005,0.6874997247999999,-40.62500556799999,0.9375005184000003
6.05e-08,28.124966400000005,0.6874997247999999,-40.62500556799999,1.0000005119999997
6.1e-08,28.124966400000005,0.6874997247999999,-37.50000537599999,0.9375005184000003
6.15e-08,31.249966080000036,0.6874997247999999,-37.50000537599999,0.9375005184000003
6.2e-08,31.249966080000036,0.7499997183999998,-37.50000537599999,0.9375005184000003
6.250000000000001e-08,28.124966400000005,0.7499997183999998,-37.50000537599999,1.0000005119999997
6.300000000000001e-08,31.249966080000036,0.8124997119999997,-35.937505279999996,0.8750005247999999
6.35e-08,28.124966400000005,0.7499997183999998,-37.50000537599999,0.9375005184000003
6.4e-08,31.249966080000036,0.8124997119999997,-37.50000537599999,0.8750005247999999
6.45e-08,28.124966400000005,0.8124997119999997,-37.50000537599999,0.8125005312000004
6.5e-08,28.124966400000005,0.7499997183999998,-35.937505279999996,0.8125005312000004
6.55e-08,31.249966080000036,0.8749997056000001,-37.50000537599999,0.8750005247999999
6.600000000000001e-08,31.249966080000036,0.8124997119999997,-35.937505279999996,0.9375005184000003
6.65e-08,31.249966080000036,0.8124997119999997,-37.50000537599999,0.8125005312000004
6.7e-08,28.124966400000005,0.8749997056000001,-37.50000537599999,0.8125005312000004
6.75e-08,34.37496576000001,0.8124997119999997,-39.062505472,0.8750005247999999
6.8e-08,31.249966080000036,0.8124997119999997,-39.062505472,0.8125005312000004
6.85e-08,34.37496576000001,0.8749997056000001,-40.62500556799999,0.8750005247999999
6.900000000000001e-08,31.249966080000036,0.8749997056000001,-37.50000537599999,0.7500005376000001
