Frequency in Hz;Power in dBm
600000.0;-85.24
650253.8;-87.63
700507.6;-87.19
750761.4;-88.55
801015.2;-87.49
851269.0;-88.63
901522.8;-88.13
951776.6;-87.38
1002030.5;-90.22
1052284.3;-90.94
1102538.1;-88.94
1152791.9;-91.02
1203045.7;-90.97
1253299.5;-91.58
1303553.3;-93.03
1353807.1;-91.28
1404060.9;-92.51
1454314.7;-91.57
1504568.5;-92.39
1554822.3;-93.54
1605076.1;-94.54
1655329.9;-94.38
1705583.8;-95.53
1755837.6;-95.01
1806091.4;-95.50
1856345.2;-94.09
1906599.0;-95.24
1956852.8;-93.90
2007106.6;-94.16
2057360.4;-94.48
2107614.2;-94.27
2157868.0;-95.63
2208121.8;-95.18
2258375.6;-95.62
2308629.4;-95.56
2358883.2;-97.14
2409137.1;-96.39
2459390.9;-95.70
2509644.7;-97.05
2559898.5;-95.29
2610152.3;-96.17
2660406.1;-96.19
2710659.9;-97.18
2760913.7;-97.03
2811167.5;-96.66
2861421.3;-96.55
2911675.1;-97.69
2961928.9;-97.33
3012182.7;-98.35
3062436.5;-95.96
3112690.4;-97.29
3162944.2;-97.25
3213198.0;-97.33
3263451.8;-97.08
3313705.6;-96.87
3363959.4;-95.91
3414213.2;-97.87
3464467.0;-98.37
3514720.8;-97.12
3564974.6;-97.49
3615228.4;-98.47
3665482.2;-98.24
3715736.0;-99.04
3765989.8;-98.54
3816243.7;-99.71
3866497.5;-98.96
3916751.3;-98.48
3967005.1;-98.70
4017258.9;-99.13
4067512.7;-98.26
4117766.5;-99.16
4168020.3;-99.21
4218274.1;-99.20
4268527.9;-99.82
4318781.7;-99.75
4369035.5;-97.96
4419289.3;-99.59
4469543.1;-100.36
4519797.0;-100.38
4570050.8;-99.27
4620304.6;-99.19
4670558.4;-99.71
4720812.2;-99.94
4771066.0;-100.13
4821319.8;-100.46
4871573.6;-99.89
4921827.4;-100.23
4972081.2;-99.92
5022335.0;-100.20
5072588.8;-100.00
5122842.6;-100.37
5173096.4;-99.53
5223350.3;-100.20
5273604.1;-99.74
5323857.9;-101.19
5374111.7;-99.96
5424365.5;-99.92
5474619.3;-99.52
5524873.1;-100.17
5575126.9;-100.16
5625380.7;-99.62
5675634.5;-99.27
5725888.3;-100.36
5776142.1;-100.24
5826395.9;-101.37
5876649.7;-102.12
5926903.6;-100.89
5977157.4;-100.67
6027411.2;-100.96
6077665.0;-100.20
6127918.8;-100.20
6178172.6;-100.22
6228426.4;-100.77
6278680.2;-99.33
6328934.0;-100.89
6379187.8;-99.54
6429441.6;-100.66
6479695.4;-100.72
6529949.2;-99.05
6580203.0;-99.82
6630456.9;-98.87
6680710.7;-95.08
6730964.5;-61.39
6781218.3;-55.70
6831472.1;-98.36
6881725.9;-100.97
6931979.7;-98.89
6982233.5;-101.52
7032487.3;-100.99
7082741.1;-100.39
7132994.9;-100.17
7183248.7;-100.86
7233502.5;-101.73
7283756.3;-101.17
7334010.2;-100.96
7384264.0;-101.49
7434517.8;-101.28
7484771.6;-101.97
7535025.4;-102.92
7585279.2;-102.62
7635533.0;-102.36
7685786.8;-101.20
7736040.6;-101.73
7786294.4;-101.27
7836548.2;-101.68
7886802.0;-102.56
7937055.8;-100.91
7987309.6;-102.52
8037563.5;-102.42
8087817.3;-102.52
8138071.1;-101.60
8188324.9;-101.53
8238578.7;-101.29
8288832.5;-102.42
8339086.3;-102.77
8389340.1;-102.50
8439593.9;-101.80
8489847.7;-101.46
8540101.5;-103.16
8590355.3;-102.70
8640609.1;-102.40
8690862.9;-103.30
8741116.8;-103.38
8791370.6;-103.27
8841624.4;-103.26
8891878.2;-102.99
8942132.0;-103.69
8992385.8;-104.16
9042639.6;-102.87
9092893.4;-102.94
9143147.2;-102.83
9193401.0;-103.29
9243654.8;-102.35
9293908.6;-102.56
9344162.4;-102.95
9394416.2;-102.52
9444670.1;-102.85
9494923.9;-103.22
9545177.7;-102.30
