Frequency in Hz;Power in dBm
600000.0;-85.73
650253.8;-86.56
700507.6;-87.10
750761.4;-87.13
801015.2;-89.06
851269.0;-88.75
901522.8;-89.26
951776.6;-86.00
1002030.5;-90.26
1052284.3;-89.97
1102538.1;-89.81
1152791.9;-90.98
1203045.7;-91.73
1253299.5;-91.97
1303553.3;-92.41
1353807.1;-91.65
1404060.9;-92.18
1454314.7;-92.82
1504568.5;-92.45
1554822.3;-93.13
1605076.1;-95.37
1655329.9;-94.15
1705583.8;-92.65
1755837.6;-93.29
1806091.4;-95.71
1856345.2;-93.63
1906599.0;-94.16
1956852.8;-95.41
2007106.6;-95.18
2057360.4;-95.06
2107614.2;-95.31
2157868.0;-95.79
2208121.8;-95.36
2258375.6;-95.37
2308629.4;-96.27
2358883.2;-95.33
2409137.1;-94.57
2459390.9;-95.84
2509644.7;-96.56
2559898.5;-95.42
2610152.3;-95.94
2660406.1;-96.97
2710659.9;-96.54
2760913.7;-95.85
2811167.5;-96.82
2861421.3;-95.73
2911675.1;-95.42
2961928.9;-95.93
3012182.7;-98.44
3062436.5;-96.89
3112690.4;-96.16
3162944.2;-96.56
3213198.0;-96.28
3263451.8;-97.44
3313705.6;-95.87
3363959.4;-96.87
3414213.2;-97.42
3464467.0;-98.17
3514720.8;-97.48
3564974.6;-98.05
3615228.4;-99.42
3665482.2;-97.94
3715736.0;-98.27
3765989.8;-99.56
3816243.7;-98.05
3866497.5;-98.06
3916751.3;-97.30
3967005.1;-99.10
4017258.9;-99.22
4067512.7;-98.31
4117766.5;-97.76
4168020.3;-97.03
4218274.1;-98.89
4268527.9;-98.97
4318781.7;-97.21
4369035.5;-99.14
4419289.3;-97.99
4469543.1;-98.35
4519797.0;-99.32
4570050.8;-98.16
4620304.6;-98.77
4670558.4;-98.60
4720812.2;-98.14
4771066.0;-98.95
4821319.8;-98.81
4871573.6;-98.16
4921827.4;-98.66
4972081.2;-100.01
5022335.0;-98.08
5072588.8;-98.53
5122842.6;-98.49
5173096.4;-97.47
5223350.3;-98.64
5273604.1;-98.42
5323857.9;-98.22
5374111.7;-98.24
5424365.5;-97.93
5474619.3;-96.68
5524873.1;-97.95
5575126.9;-97.13
5625380.7;-97.37
5675634.5;-96.14
5725888.3;-95.83
5776142.1;-96.15
5826395.9;-96.46
5876649.7;-97.36
5926903.6;-96.00
5977157.4;-95.45
6027411.2;-95.91
6077665.0;-94.63
6127918.8;-94.35
6178172.6;-93.24
6228426.4;-92.86
6278680.2;-91.59
6328934.0;-91.41
6379187.8;-90.51
6429441.6;-89.92
6479695.4;-87.82
6529949.2;-85.57
6580203.0;-82.45
6630456.9;-79.86
6680710.7;-70.12
6730964.5;-34.40
6781218.3;-29.03
6831472.1;-74.76
6881725.9;-80.91
6931979.7;-83.46
6982233.5;-84.23
7032487.3;-87.38
7082741.1;-89.19
7132994.9;-89.82
7183248.7;-91.20
7233502.5;-91.69
7283756.3;-92.35
7334010.2;-92.61
7384264.0;-93.05
7434517.8;-93.72
7484771.6;-95.21
7535025.4;-94.75
7585279.2;-96.29
7635533.0;-97.17
7685786.8;-96.83
7736040.6;-97.77
7786294.4;-97.79
7836548.2;-98.68
7886802.0;-97.37
7937055.8;-98.28
7987309.6;-98.02
8037563.5;-98.21
8087817.3;-99.02
8138071.1;-98.17
8188324.9;-98.92
8238578.7;-98.90
8288832.5;-99.82
8339086.3;-99.54
8389340.1;-98.91
8439593.9;-100.54
8489847.7;-101.00
8540101.5;-99.73
8590355.3;-99.90
8640609.1;-100.07
8690862.9;-100.19
8741116.8;-100.05
8791370.6;-100.65
8841624.4;-99.76
8891878.2;-99.93
8942132.0;-100.35
8992385.8;-100.16
9042639.6;-99.04
9092893.4;-99.95
9143147.2;-100.32
9193401.0;-100.34
9243654.8;-100.32
9293908.6;-100.70
9344162.4;-100.77
9394416.2;-101.65
9444670.1;-101.24
9494923.9;-100.37
9545177.7;-102.63
9595431.5;-101.69
9645685.3;-102.15
9695939.1;-101.76
9746192.9;-101.34
9796446.7;-101.23
9846700.5;-99.84
9896954.3;-100.74
9947208.1;-101.48
9997461.9;-102.18
10047715.7;-102.24
10097969.5;-101.72
10148223.4;-101.69
10198477.2;-102.23
10248731.0;-101.80
10298984.8;-102.32
10349238.6;-102.57
10399492.4;-102.70
10449746.2;-101.40
10500000.0;-101.66
10550253.8;-102.19
10600507.6;-102.74
10650761.4;-102.66
10701015.2;-102.97
10751269.0;-103.26
10801522.8;-101.76
10851776.6;-103.76
10902030.5;-102.93
10952284.3;-103.99
11002538.1;-102.79
11052791.9;-102.83
11103045.7;-102.73
11153299.5;-102.06
11203553.3;-102.22
11253807.1;-102.99
11304060.9;-103.33
11354314.7;-101.92
11404568.5;-102.63
11454822.3;-102.47
11505076.1;-103.16
11555329.9;-103.40
11605583.8;-103.36
11655837.6;-103.04
11706091.4;-103.03
11756345.2;-102.58
11806599.0;-102.15
11856852.8;-102.02
11907106.6;-102.20
11957360.4;-103.69
12007614.2;-104.06
12057868.0;-104.44
12108121.8;-103.31
12158375.6;-103.25
12208629.4;-104.17
12258883.2;-103.44
12309137.1;-103.44
12359390.9;-103.29
12409644.7;-102.75
12459898.5;-102.57
12510152.3;-102.65
12560406.1;-102.85
12610659.9;-102.82
12660913.7;-103.01
12711167.5;-101.72
12761421.3;-102.83
12811675.1;-102.82
12861928.9;-103.61
12912182.7;-103.98
12962436.5;-102.89
13012690.4;-102.03
13062944.2;-101.87
13113198.0;-102.38
13163451.8;-102.70
13213705.6;-103.42
13263959.4;-103.59
13314213.2;-104.60
13364467.0;-103.90
13414720.8;-103.60
13464974.6;-98.19
13515228.4;-79.79
13565482.2;-75.57
13615736.0;-102.92
13665989.8;-103.12
13716243.7;-103.85
13766497.5;-104.46
13816751.3;-103.53
13867005.1;-102.76
13917258.9;-102.73
13967512.7;-103.87
14017766.5;-103.73
14068020.3;-103.92
14118274.1;-103.15
14168527.9;-103.68
14218781.7;-103.32
14269035.5;-103.35
14319289.3;-103.88
14369543.1;-104.48
14419797.0;-104.44
14470050.8;-103.68
14520304.6;-104.18
14570558.4;-104.53
14620812.2;-103.23
14671066.0;-101.69
14721319.8;-103.79
14771573.6;-103.39
14821827.4;-103.63
14872081.2;-104.00
14922335.0;-104.18
14972588.8;-104.36
15022842.6;-104.79
15073096.4;-104.47
15123350.3;-104.62
15173604.1;-104.76
15223857.9;-104.93
15274111.7;-105.04
15324365.5;-104.06
15374619.3;-103.66
15424873.1;-103.52
