Frequency in Hz;Power in dBm
600000.0;-86.87
650253.8;-86.14
700507.6;-86.06
750761.4;-88.28
801015.2;-87.34
851269.0;-88.20
901522.8;-87.35
951776.6;-85.09
1002030.5;-91.16
1052284.3;-89.62
1102538.1;-90.22
1152791.9;-90.52
1203045.7;-91.58
1253299.5;-91.80
1303553.3;-92.51
1353807.1;-92.46
1404060.9;-91.73
1454314.7;-92.75
1504568.5;-93.06
1554822.3;-92.90
1605076.1;-93.47
1655329.9;-94.87
1705583.8;-94.73
1755837.6;-94.60
1806091.4;-94.86
1856345.2;-94.13
1906599.0;-95.11
1956852.8;-94.12
2007106.6;-94.17
2057360.4;-94.54
2107614.2;-95.34
2157868.0;-93.94
2208121.8;-94.59
2258375.6;-94.40
2308629.4;-96.73
2358883.2;-95.93
2409137.1;-95.97
2459390.9;-95.19
2509644.7;-96.37
2559898.5;-95.69
2610152.3;-95.76
2660406.1;-96.67
2710659.9;-96.45
2760913.7;-95.95
2811167.5;-95.43
2861421.3;-96.03
2911675.1;-96.88
2961928.9;-97.77
3012182.7;-96.48
3062436.5;-97.57
3112690.4;-97.22
3162944.2;-96.76
3213198.0;-97.03
3263451.8;-96.70
3313705.6;-97.46
3363959.4;-97.80
3414213.2;-97.68
3464467.0;-97.10
3514720.8;-98.73
3564974.6;-98.57
3615228.4;-98.22
3665482.2;-98.30
3715736.0;-97.67
3765989.8;-97.64
3816243.7;-97.79
3866497.5;-98.45
3916751.3;-99.03
3967005.1;-97.98
4017258.9;-98.23
4067512.7;-100.21
4117766.5;-100.10
4168020.3;-98.47
4218274.1;-99.40
4268527.9;-99.18
4318781.7;-98.08
4369035.5;-97.52
4419289.3;-97.76
4469543.1;-98.88
4519797.0;-99.66
4570050.8;-98.14
4620304.6;-98.94
4670558.4;-98.36
4720812.2;-98.35
4771066.0;-99.15
4821319.8;-98.71
4871573.6;-98.60
4921827.4;-97.28
4972081.2;-97.13
5022335.0;-97.68
5072588.8;-96.28
5122842.6;-98.53
5173096.4;-97.27
5223350.3;-96.90
5273604.1;-96.86
5323857.9;-95.47
5374111.7;-96.05
5424365.5;-95.62
5474619.3;-95.50
5524873.1;-94.47
5575126.9;-95.13
5625380.7;-94.44
5675634.5;-93.81
5725888.3;-93.03
5776142.1;-91.15
5826395.9;-90.68
5876649.7;-89.49
5926903.6;-87.92
5977157.4;-85.81
6027411.2;-83.97
6077665.0;-78.98
6127918.8;-67.70
6178172.6;-29.39
6228426.4;-71.18
6278680.2;-79.15
6328934.0;-83.09
6379187.8;-85.74
6429441.6;-88.51
6479695.4;-89.71
6529949.2;-91.01
6580203.0;-92.05
6630456.9;-93.24
6680710.7;-93.39
6730964.5;-94.87
6781218.3;-95.47
6831472.1;-95.85
6881725.9;-95.27
6931979.7;-95.93
6982233.5;-96.98
7032487.3;-97.92
7082741.1;-96.98
7132994.9;-98.22
7183248.7;-98.49
7233502.5;-96.77
7283756.3;-93.70
7334010.2;-98.54
7384264.0;-98.04
7434517.8;-99.42
7484771.6;-99.16
7535025.4;-98.38
7585279.2;-98.78
7635533.0;-99.24
7685786.8;-98.65
7736040.6;-99.70
7786294.4;-99.28
7836548.2;-99.30
7886802.0;-100.22
7937055.8;-101.08
7987309.6;-100.17
8037563.5;-99.63
8087817.3;-100.14
8138071.1;-99.11
8188324.9;-97.54
8238578.7;-99.60
8288832.5;-99.89
8339086.3;-100.83
8389340.1;-100.61
8439593.9;-101.31
8489847.7;-101.65
8540101.5;-101.07
8590355.3;-101.86
8640609.1;-100.35
8690862.9;-101.18
8741116.8;-101.01
8791370.6;-101.88
8841624.4;-101.87
8891878.2;-100.54
8942132.0;-102.02
8992385.8;-102.02
9042639.6;-100.86
