Frequency in Hz;Power in dBm
600000.0;-84.74
650253.8;-85.82
700507.6;-87.87
750761.4;-87.01
801015.2;-87.56
851269.0;-87.80
901522.8;-87.61
951776.6;-87.25
1002030.5;-90.71
1052284.3;-90.46
1102538.1;-89.43
1152791.9;-90.40
1203045.7;-91.49
1253299.5;-90.70
1303553.3;-91.97
1353807.1;-93.22
1404060.9;-92.06
1454314.7;-92.30
1504568.5;-91.59
1554822.3;-91.69
1605076.1;-94.35
1655329.9;-93.87
1705583.8;-93.34
1755837.6;-94.07
1806091.4;-95.71
1856345.2;-96.24
1906599.0;-95.23
1956852.8;-93.43
2007106.6;-94.46
2057360.4;-96.68
2107614.2;-95.98
2157868.0;-95.95
2208121.8;-95.82
2258375.6;-97.39
2308629.4;-95.49
2358883.2;-94.65
2409137.1;-95.82
2459390.9;-96.86
2509644.7;-95.82
2559898.5;-94.99
2610152.3;-95.73
2660406.1;-95.59
2710659.9;-96.23
2760913.7;-98.22
2811167.5;-96.52
2861421.3;-95.76
2911675.1;-98.43
2961928.9;-97.61
3012182.7;-97.79
3062436.5;-96.88
3112690.4;-96.00
3162944.2;-96.75
3213198.0;-98.02
3263451.8;-97.20
3313705.6;-98.31
3363959.4;-98.73
3414213.2;-97.45
3464467.0;-97.13
3514720.8;-96.95
3564974.6;-98.14
3615228.4;-98.43
3665482.2;-98.62
3715736.0;-98.44
3765989.8;-99.38
3816243.7;-98.68
3866497.5;-98.30
3916751.3;-99.11
3967005.1;-99.04
4017258.9;-99.68
4067512.7;-100.10
4117766.5;-99.37
4168020.3;-99.36
4218274.1;-99.33
4268527.9;-99.43
4318781.7;-99.08
4369035.5;-99.82
4419289.3;-99.21
4469543.1;-100.32
4519797.0;-99.46
4570050.8;-99.83
4620304.6;-99.43
4670558.4;-99.32
4720812.2;-99.66
4771066.0;-100.76
4821319.8;-100.37
4871573.6;-100.57
4921827.4;-100.19
4972081.2;-99.40
5022335.0;-100.32
5072588.8;-100.27
5122842.6;-99.47
5173096.4;-100.01
5223350.3;-99.73
5273604.1;-99.47
5323857.9;-99.09
5374111.7;-101.32
5424365.5;-100.43
5474619.3;-100.52
5524873.1;-100.32
5575126.9;-98.58
5625380.7;-99.85
5675634.5;-100.59
5725888.3;-99.48
5776142.1;-100.03
5826395.9;-100.96
5876649.7;-100.34
5926903.6;-99.33
5977157.4;-99.80
6027411.2;-100.85
6077665.0;-99.90
6127918.8;-99.93
6178172.6;-100.12
6228426.4;-100.30
6278680.2;-100.74
6328934.0;-100.90
6379187.8;-99.94
6429441.6;-99.95
6479695.4;-101.26
6529949.2;-99.52
6580203.0;-100.83
