Frequency in Hz;Power in dBm
600000.0;-84.51
650253.8;-85.95
700507.6;-87.36
750761.4;-87.45
801015.2;-88.63
851269.0;-88.12
901522.8;-88.74
951776.6;-86.41
1002030.5;-89.98
1052284.3;-90.49
1102538.1;-89.88
1152791.9;-90.99
1203045.7;-91.74
1253299.5;-92.53
1303553.3;-90.77
1353807.1;-90.93
1404060.9;-93.05
1454314.7;-92.72
1504568.5;-92.88
1554822.3;-92.64
1605076.1;-93.38
1655329.9;-93.26
1705583.8;-93.90
1755837.6;-93.58
1806091.4;-94.66
1856345.2;-94.29
1906599.0;-94.58
1956852.8;-96.00
2007106.6;-94.94
2057360.4;-96.84
2107614.2;-95.01
2157868.0;-94.80
2208121.8;-95.57
2258375.6;-96.11
2308629.4;-95.25
2358883.2;-94.91
2409137.1;-96.40
2459390.9;-95.71
2509644.7;-96.33
2559898.5;-95.73
2610152.3;-97.86
2660406.1;-96.46
2710659.9;-97.15
2760913.7;-97.43
2811167.5;-96.82
2861421.3;-98.37
2911675.1;-97.25
2961928.9;-97.70
3012182.7;-97.24
3062436.5;-97.62
3112690.4;-95.45
3162944.2;-96.79
3213198.0;-97.93
3263451.8;-97.80
3313705.6;-97.38
3363959.4;-97.83
3414213.2;-98.91
3464467.0;-97.17
3514720.8;-97.73
3564974.6;-99.50
3615228.4;-98.38
3665482.2;-98.64
3715736.0;-98.85
3765989.8;-97.91
3816243.7;-98.38
3866497.5;-97.59
3916751.3;-99.27
3967005.1;-100.95
4017258.9;-99.05
4067512.7;-99.85
4117766.5;-98.95
4168020.3;-99.40
4218274.1;-99.13
4268527.9;-99.39
4318781.7;-99.59
4369035.5;-99.35
4419289.3;-99.20
4469543.1;-99.93
4519797.0;-99.28
4570050.8;-99.80
4620304.6;-99.99
4670558.4;-98.98
4720812.2;-98.37
4771066.0;-100.99
4821319.8;-99.28
4871573.6;-99.08
4921827.4;-98.95
4972081.2;-99.55
5022335.0;-99.84
5072588.8;-100.34
5122842.6;-100.35
5173096.4;-99.94
5223350.3;-99.79
5273604.1;-98.68
5323857.9;-99.96
5374111.7;-99.54
5424365.5;-100.51
5474619.3;-99.89
5524873.1;-101.06
5575126.9;-100.58
5625380.7;-100.51
5675634.5;-101.32
5725888.3;-97.77
5776142.1;-100.51
5826395.9;-98.98
5876649.7;-99.63
5926903.6;-100.07
5977157.4;-101.03
6027411.2;-100.14
6077665.0;-99.03
6127918.8;-101.67
6178172.6;-99.23
6228426.4;-101.42
6278680.2;-99.96
6328934.0;-99.31
6379187.8;-101.09
6429441.6;-99.38
6479695.4;-99.53
6529949.2;-100.04
6580203.0;-100.10
6630456.9;-100.85
6680710.7;-100.23
6730964.5;-100.14
6781218.3;-99.86
