Frequency in Hz;Power in dBm
600000.0;-85.40
650253.8;-85.16
700507.6;-86.41
750761.4;-88.06
801015.2;-87.91
851269.0;-87.43
901522.8;-88.87
951776.6;-86.97
1002030.5;-89.20
1052284.3;-90.50
1102538.1;-91.38
1152791.9;-89.84
1203045.7;-90.48
1253299.5;-91.75
1303553.3;-91.77
1353807.1;-92.83
1404060.9;-91.48
1454314.7;-92.40
1504568.5;-91.97
1554822.3;-92.48
1605076.1;-93.63
1655329.9;-93.95
1705583.8;-93.60
1755837.6;-94.44
1806091.4;-94.51
1856345.2;-94.43
1906599.0;-94.11
1956852.8;-94.80
2007106.6;-95.28
2057360.4;-95.63
2107614.2;-96.12
2157868.0;-94.59
2208121.8;-95.98
2258375.6;-94.95
2308629.4;-95.49
2358883.2;-95.01
2409137.1;-96.74
2459390.9;-96.40
2509644.7;-96.01
2559898.5;-95.77
2610152.3;-95.58
2660406.1;-95.35
2710659.9;-97.98
2760913.7;-96.05
2811167.5;-96.31
2861421.3;-96.26
2911675.1;-97.32
2961928.9;-97.65
3012182.7;-96.83
3062436.5;-97.25
3112690.4;-97.86
3162944.2;-96.66
3213198.0;-96.52
3263451.8;-97.20
3313705.6;-96.98
3363959.4;-98.98
3414213.2;-98.06
3464467.0;-97.18
3514720.8;-98.14
3564974.6;-97.87
3615228.4;-98.80
3665482.2;-99.16
3715736.0;-98.09
3765989.8;-99.18
3816243.7;-99.66
3866497.5;-99.17
3916751.3;-98.86
3967005.1;-99.81
4017258.9;-98.22
4067512.7;-99.57
4117766.5;-99.07
4168020.3;-99.71
4218274.1;-99.31
4268527.9;-99.01
4318781.7;-98.73
4369035.5;-99.80
4419289.3;-99.18
4469543.1;-98.89
4519797.0;-98.33
4570050.8;-99.91
4620304.6;-99.68
4670558.4;-99.83
4720812.2;-99.66
4771066.0;-99.92
4821319.8;-99.65
4871573.6;-98.88
4921827.4;-99.37
4972081.2;-99.77
5022335.0;-102.06
5072588.8;-99.76
5122842.6;-99.89
5173096.4;-100.00
5223350.3;-100.35
5273604.1;-100.09
5323857.9;-100.02
5374111.7;-100.40
5424365.5;-99.72
5474619.3;-100.31
5524873.1;-99.01
5575126.9;-99.34
5625380.7;-101.24
5675634.5;-100.26
5725888.3;-99.67
5776142.1;-101.57
5826395.9;-101.09
5876649.7;-100.42
5926903.6;-100.22
5977157.4;-100.20
6027411.2;-100.15
6077665.0;-100.06
6127918.8;-100.19
6178172.6;-100.08
6228426.4;-99.89
6278680.2;-100.22
6328934.0;-100.57
6379187.8;-100.09
6429441.6;-99.83
6479695.4;-100.53
6529949.2;-98.36
6580203.0;-98.72
6630456.9;-99.30
6680710.7;-92.49
6730964.5;-57.75
6781218.3;-52.17
6831472.1;-95.90
6881725.9;-99.52
6931979.7;-99.78
6982233.5;-101.37
7032487.3;-100.21
7082741.1;-101.68
7132994.9;-101.30
7183248.7;-99.65
7233502.5;-99.98
7283756.3;-101.67
7334010.2;-100.78
7384264.0;-100.38
7434517.8;-101.09
7484771.6;-100.24
7535025.4;-100.65
7585279.2;-100.20
7635533.0;-101.08
7685786.8;-102.08
7736040.6;-101.60
7786294.4;-101.18
7836548.2;-102.52
7886802.0;-101.62
7937055.8;-100.25
7987309.6;-101.31
8037563.5;-101.08
8087817.3;-101.85
8138071.1;-102.26
8188324.9;-101.57
8238578.7;-101.47
8288832.5;-102.57
8339086.3;-102.54
8389340.1;-102.83
8439593.9;-102.51
8489847.7;-102.83
8540101.5;-102.05
8590355.3;-102.23
8640609.1;-102.18
8690862.9;-101.83
8741116.8;-102.78
8791370.6;-103.57
8841624.4;-103.11
8891878.2;-102.47
8942132.0;-102.46
8992385.8;-103.21
9042639.6;-102.61
9092893.4;-102.22
9143147.2;-103.69
9193401.0;-103.28
9243654.8;-102.98
9293908.6;-103.24
9344162.4;-102.64
9394416.2;-103.74
9444670.1;-103.00
9494923.9;-103.80
9545177.7;-103.26
9595431.5;-103.77
9645685.3;-103.04
9695939.1;-103.12
9746192.9;-103.22
9796446.7;-102.10
9846700.5;-103.67
9896954.3;-103.26
9947208.1;-103.57
9997461.9;-102.51
10047715.7;-103.22
10097969.5;-102.97
10148223.4;-103.13
10198477.2;-102.55
10248731.0;-102.97
10298984.8;-102.67
10349238.6;-103.91
10399492.4;-104.82
10449746.2;-103.64
10500000.0;-104.49
10550253.8;-103.87
10600507.6;-103.75
10650761.4;-104.52
10701015.2;-103.30
10751269.0;-103.61
10801522.8;-103.89
10851776.6;-105.08
10902030.5;-103.21
10952284.3;-103.20
11002538.1;-102.89
11052791.9;-104.27
11103045.7;-104.84
11153299.5;-104.24
11203553.3;-104.68
11253807.1;-104.65
11304060.9;-104.28
11354314.7;-103.99
11404568.5;-104.69
11454822.3;-103.82
11505076.1;-103.94
11555329.9;-104.06
11605583.8;-104.67
11655837.6;-104.67
11706091.4;-103.84
11756345.2;-103.56
11806599.0;-103.30
11856852.8;-104.52
11907106.6;-103.49
11957360.4;-103.70
12007614.2;-104.20
12057868.0;-104.76
12108121.8;-104.95
12158375.6;-104.38
12208629.4;-104.16
12258883.2;-104.28
12309137.1;-103.60
12359390.9;-104.99
12409644.7;-105.12
12459898.5;-104.22
12510152.3;-105.16
12560406.1;-104.99
12610659.9;-105.01
12660913.7;-104.11
12711167.5;-103.71
12761421.3;-104.20
12811675.1;-104.33
12861928.9;-104.19
12912182.7;-104.10
12962436.5;-103.75
13012690.4;-103.82
13062944.2;-103.50
13113198.0;-104.42
13163451.8;-105.28
13213705.6;-104.69
13263959.4;-104.81
13314213.2;-104.99
13364467.0;-104.24
13414720.8;-103.49
13464974.6;-99.82
13515228.4;-79.81
13565482.2;-76.08
13615736.0;-104.94
13665989.8;-104.56
13716243.7;-104.87
13766497.5;-104.10
13816751.3;-104.85
13867005.1;-104.93
13917258.9;-104.41
13967512.7;-105.28
14017766.5;-105.17
14068020.3;-105.71
14118274.1;-104.66
14168527.9;-105.21
14218781.7;-105.59
14269035.5;-105.09
14319289.3;-105.69
14369543.1;-105.15
14419797.0;-104.09
14470050.8;-105.38
14520304.6;-104.80
14570558.4;-103.91
14620812.2;-103.32
14671066.0;-101.59
14721319.8;-104.97
14771573.6;-104.57
14821827.4;-104.80
14872081.2;-105.41
14922335.0;-105.38
14972588.8;-104.94
15022842.6;-104.83
15073096.4;-105.43
15123350.3;-105.47
15173604.1;-104.64
15223857.9;-104.17
15274111.7;-104.35
15324365.5;-104.23
15374619.3;-104.97
15424873.1;-105.30
15475126.9;-105.24
15525380.7;-105.11
15575634.5;-103.84
15625888.3;-104.68
15676142.1;-104.29
15726395.9;-103.82
15776649.7;-103.17
15826903.6;-103.88
15877157.4;-105.11
15927411.2;-104.70
15977665.0;-104.38
16027918.8;-105.13
16078172.6;-105.72
16128426.4;-105.12
16178680.2;-105.09
16228934.0;-105.25
16279187.8;-104.84
16329441.6;-104.58
16379695.4;-105.09
16429949.2;-104.93
16480203.0;-104.51
16530456.9;-104.52
