Frequency in Hz;Power in dBm
600000.0;-84.60
650253.8;-86.44
700507.6;-85.22
750761.4;-87.05
801015.2;-86.94
851269.0;-87.32
901522.8;-88.41
951776.6;-83.62
1002030.5;-90.38
1052284.3;-89.48
1102538.1;-90.14
1152791.9;-91.00
1203045.7;-90.22
1253299.5;-92.93
1303553.3;-91.36
1353807.1;-92.50
1404060.9;-91.75
1454314.7;-93.92
1504568.5;-92.81
1554822.3;-93.89
1605076.1;-93.23
1655329.9;-93.20
1705583.8;-95.40
1755837.6;-93.87
1806091.4;-94.16
1856345.2;-94.50
1906599.0;-93.98
1956852.8;-95.12
2007106.6;-95.25
2057360.4;-95.22
2107614.2;-95.91
2157868.0;-94.91
2208121.8;-93.48
2258375.6;-96.90
2308629.4;-95.44
2358883.2;-96.28
2409137.1;-96.39
2459390.9;-96.84
2509644.7;-96.40
2559898.5;-95.26
2610152.3;-97.24
2660406.1;-96.39
2710659.9;-96.14
2760913.7;-97.31
2811167.5;-96.25
2861421.3;-96.25
2911675.1;-97.77
2961928.9;-97.50
3012182.7;-97.50
3062436.5;-96.04
3112690.4;-98.04
3162944.2;-98.06
3213198.0;-98.49
3263451.8;-98.13
3313705.6;-98.00
3363959.4;-98.14
3414213.2;-97.46
3464467.0;-97.98
3514720.8;-97.97
3564974.6;-98.56
3615228.4;-99.25
3665482.2;-98.82
3715736.0;-98.54
3765989.8;-98.51
3816243.7;-98.30
3866497.5;-98.61
3916751.3;-99.67
3967005.1;-100.12
4017258.9;-98.88
4067512.7;-99.88
4117766.5;-98.41
4168020.3;-98.79
4218274.1;-99.48
4268527.9;-99.24
4318781.7;-99.14
4369035.5;-99.40
4419289.3;-100.04
4469543.1;-100.61
4519797.0;-99.17
4570050.8;-100.78
4620304.6;-100.70
4670558.4;-99.98
4720812.2;-100.73
4771066.0;-99.39
4821319.8;-100.10
4871573.6;-98.10
4921827.4;-100.67
4972081.2;-100.07
5022335.0;-100.56
5072588.8;-99.80
5122842.6;-99.72
5173096.4;-100.08
5223350.3;-100.38
5273604.1;-100.24
5323857.9;-101.12
5374111.7;-101.12
5424365.5;-100.40
5474619.3;-99.96
5524873.1;-100.41
