Time (s),V_TANK_IN,I_PRI,V_TANK_OUT
0.0,-37.49999616,-0.4999999488,-68.750010368
5e-10,-35.937496064,-0.4999999488,-70.31251046399998
1e-09,-35.937496064,-0.4999999488,-68.750010368
1.5000000000000002e-09,-35.937496064,-0.43749995519999996,-70.31251046399998
2e-09,-34.37499596800001,-0.43749995519999996,-68.750010368
2.5e-09,-34.37499596800001,-0.3749999616,-68.750010368
3.0000000000000004e-09,-31.249995776000006,-0.312499968,-67.187510272
3.5000000000000003e-09,-32.812495872,-0.312499968,-67.187510272
4e-09,-31.249995776000006,-0.3749999616,-68.750010368
4.500000000000001e-09,-29.687495679999998,-0.312499968,-68.750010368
5e-09,-29.687495679999998,-0.2499999744,-67.187510272
5.5000000000000004e-09,-28.124995584000004,-0.1874999808,-68.750010368
6.000000000000001e-09,-26.562495487999996,-0.1874999808,-67.187510272
6.5e-09,-26.562495487999996,-0.1249999872,-68.750010368
7.000000000000001e-09,-24.999995392000002,-0.1249999872,-64.06251007999998
7.500000000000001e-09,-21.8749952,-0.1249999872,-67.187510272
8e-09,-21.8749952,-0.0624999936,-67.187510272
8.5e-09,-18.749995008,-0.0624999936,-65.62501017599999
9.000000000000001e-09,-18.749995008,0.0,-65.62501017599999
9.5e-09,-17.187494912000005,0.0,-65.62501017599999
1e-08,-15.624994815999997,0.0,-64.06251007999998
1.0500000000000001e-08,-12.49999462400001,0.1249999872,-65.62501017599999
1.1000000000000001e-08,-9.374994432000008,0.1249999872,-62.500009984
1.15e-08,-10.937494528000002,0.1249999872,-64.06251007999998
1.2000000000000002e-08,-7.812494336,0.1874999808,-64.06251007999998
1.2500000000000001e-08,-7.812494336,0.1874999808,-60.937509887999994
1.3e-08,-4.687494143999999,0.1874999808,-60.937509887999994
1.35e-08,-3.124994048000005,0.1874999808,-62.500009984
1.4000000000000001e-08,6.14399999676607e-06,0.2499999744,-59.375009791999986
1.45e-08,-1.562493951999997,0.312499968,-60.937509887999994
1.5000000000000002e-08,1.5625062399999905,0.312499968,-56.2500096
1.55e-08,3.1250063359999984,0.3749999616,-59.375009791999986
1.6e-08,4.687506431999992,0.43749995519999996,-57.812509696000006
1.6500000000000002e-08,6.250006528,0.43749995519999996,-56.2500096
1.7e-08,7.812506623999994,0.4999999488,-54.68750950399999
1.75e-08,10.937506815999996,0.43749995519999996,-54.68750950399999
1.8000000000000002e-08,12.500006912000003,0.43749995519999996,-54.68750950399999
1.85e-08,14.062507007999997,0.5624999424,-54.68750950399999
1.9e-08,15.625007103999991,0.624999936,-51.562509312
1.9500000000000003e-08,17.1875072,0.5624999424,-51.562509312
2e-08,18.750007295999993,0.5624999424,-51.562509312
2.05e-08,20.312507392,0.624999936,-50.000009215999995
2.1000000000000003e-08,21.875007487999994,0.6874999296,-48.43750911999999
2.15e-08,23.437507584000002,0.624999936,-48.43750911999999
2.2000000000000002e-08,26.56250777599999,0.7499999232,-46.87500902400001
2.2500000000000003e-08,26.56250777599999,0.7499999232,-46.87500902400001
2.3e-08,26.56250777599999,0.8124999168,-43.75000883199999
2.3500000000000002e-08,29.687507968000006,0.8749999103999999,-45.312508928
2.4000000000000003e-08,29.687507968000006,0.8749999103999999,-43.75000883199999
2.45e-08,34.375008256,0.8749999103999999,-43.75000883199999
2.5000000000000002e-08,32.81250815999999,0.9374999039999999,-40.625008640000004
2.55e-08,34.375008256,0.9374999039999999,-39.062508543999996
2.6e-08,35.93750835200001,0.9374999039999999,-39.062508543999996
2.6500000000000002e-08,37.50000844799999,0.9374999039999999,-37.50000844799999
2.7e-08,37.50000844799999,0.9999998976,-35.93750835200001
2.75e-08,39.062508543999996,0.9999998976,-34.375008256
2.8000000000000003e-08,40.625008640000004,1.0624998911999999,-34.375008256
2.85e-08,42.187508735999984,1.0624998911999999,-32.81250815999999
2.9e-08,42.187508735999984,1.0624998911999999,-31.250008063999985
2.9500000000000003e-08,43.75000883199999,1.0624998911999999,-31.250008063999985
3.0000000000000004e-08,46.87500902400001,1.1249998848,-31.250008063999985
3.05e-08,46.87500902400001,1.0624998911999999,-31.250008063999985
3.1e-08,45.312508928,1.1249998848,-26.56250777599999
3.1500000000000004e-08,48.43750911999999,1.1249998848,-26.56250777599999
3.2e-08,48.43750911999999,1.249999872,-25.000007679999996
3.25e-08,50.000009215999995,1.249999872,-23.437507584000002
3.3000000000000004e-08,50.000009215999995,1.249999872,-23.437507584000002
