VIN,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_GS_A_pp,V_GS_A_amp,V_GS_A_max,V_GS_A_top,V_GS_A_min,V_GS_A_bot,V_GS_B_pp,V_GS_B_amp,V_GS_B_max,V_GS_B_top,V_GS_B_min,V_GS_B_bot,V_DS_A_pp,V_DS_A_amp,V_DS_A_max,V_DS_A_top,V_DS_A_min,V_DS_A_bot,V_DS_B_pp
18.0,18.031869,0.984109715,17.745337462507337,31.32942,0.5078431,15.91232,7.94,5.0,5.69,4.94,-2.25,-0.06,8.5,5.0,5.75,4.88,-2.81,-0.13,45.6,43.1,40.6,40.6,-4.4,-1.9,40.0
18.5,18.540514,1.01427117,18.80510882718138,32.28032,0.5227675,16.83743,7.88,5.0,5.69,4.94,-2.25,-0.06,8.44,5.0,5.69,4.88,-2.81,-0.13,46.3,44.4,42.5,42.5,-4.4,-1.9,40.6
19.0,19.012854,1.04039298,19.780839831364922,33.1242,0.5365967,17.7814,7.94,5.0,5.69,4.94,-2.25,-0.06,8.5,5.0,5.75,4.88,-2.75,-0.13,47.5,45.0,43.1,43.1,-4.4,-1.9,41.9
19.5,19.512714,1.06877337,20.85466909962618,34.01722,0.5508342,18.7392,7.94,5.0,5.69,4.94,-2.19,-0.06,8.44,5.0,5.69,4.94,-2.75,-0.13,48.8,46.3,44.4,43.8,-4.4,-1.9,43.1
20.0,20.012741,1.09495443,21.913039414392628,34.83223,0.5653276,19.69247,7.94,4.94,5.69,4.88,-2.25,-0.06,8.56,5.0,5.75,4.88,-2.81,-0.13,50.6,47.5,45.6,45.6,-5.0,-1.9,44.4
20.5,20.512963,1.12546935,23.086711134184046,35.79802,0.5799446,20.76518,7.88,5.0,5.63,4.94,-2.19,-0.06,8.44,5.0,5.69,4.88,-2.81,-0.13,50.6,48.1,46.3,46.3,-4.4,-1.9,45.6
21.0,21.012509,1.15470004,24.263144982800362,36.70839,0.5948296,21.83038,7.81,5.0,5.63,4.88,-2.19,-0.06,8.44,5.06,5.69,4.88,-2.75,-0.13,51.9,48.8,47.5,47.5,-4.4,-1.3,46.9
21.5,21.51296,1.18416252,25.4748409262592,37.63263,0.6094185,22.93591,7.81,5.0,5.63,4.94,-2.19,-0.06,8.44,5.06,5.69,4.94,-2.75,-0.13,53.1,50.6,48.8,48.8,-4.4,-1.9,47.5
22.0,22.012419,1.21165044,26.671357166814364,38.49255,0.6239243,24.02624,7.75,5.0,5.63,4.88,-2.13,-0.06,8.44,5.0,5.69,4.88,-2.75,-0.13,55.0,51.9,50.0,50.0,-5.0,-1.9,48.8
22.5,22.513246,1.24096188,27.938080081062477,39.40649,0.6386371,25.15862,7.69,5.0,5.69,4.94,-2.19,-0.06,8.44,5.0,5.69,4.88,-2.75,-0.13,55.6,52.5,50.6,50.6,-4.4,-1.9,50.0
23.0,23.013292,1.27017234,29.23084695074328,40.30834,0.6531888,26.31715,7.88,5.0,5.56,4.94,-2.19,-0.06,8.5,5.06,5.69,4.94,-2.81,-0.13,56.3,53.8,51.9,51.9,-5.0,-1.9,51.3
23.5,23.514311,1.29882751,30.541034005495607,41.20995,0.6678898,27.52669,7.81,5.06,5.63,4.94,-2.19,-0.06,8.5,5.0,5.69,4.88,-2.81,-0.13,57.5,55.0,53.1,53.1,-5.0,-1.9,52.5
24.0,24.014717,1.32749826,31.87949503189242,42.10489,0.6824677,28.73609,7.88,5.0,5.63,4.94,-2.19,-0.06,8.5,4.94,5.69,4.94,-2.81,-0.06,60.0,56.3,54.4,53.8,-5.0,-1.9,53.1
24.5,24.515657,1.35649587,33.255387470836595,43.00985,0.6968169,29.95974,7.75,5.0,5.56,4.94,-2.19,-0.06,8.44,5.06,5.63,4.94,-2.81,-0.13,60.6,57.5,55.6,55.6,-5.0,-1.9,54.4
25.0,25.017631,1.38516346,34.65350831696326,43.9109,0.711713,31.2484,7.81,5.0,5.56,4.94,-2.19,-0.06,8.44,5.0,5.63,4.88,-2.81,-0.13,61.3,58.1,56.3,56.3,-5.0,-1.9,56.3
25.5,25.51936,1.41452312,36.09772472760319,44.82534,0.7264901,32.56466,7.81,5.0,5.63,4.94,-2.19,-0.06,8.5,5.0,5.69,4.88,-2.81,-0.13,61.9,58.8,56.9,56.9,-5.0,-1.9,56.9
26.0,26.022305,1.44373987,37.569439237800346,45.71939,0.7409775,33.87871,7.75,5.0,5.56,4.94,-2.19,-0.06,8.44,5.0,5.63,4.88,-2.81,-0.13,64.4,60.6,58.8,58.8,-5.6,-1.9,58.8
26.5,26.525078,1.47248,39.05764685344,46.6382,0.755633,35.24126,7.75,5.0,5.56,4.94,-2.19,-0.06,8.44,5.0,5.63,4.88,-2.81,-0.13,65.0,61.3,59.4,59.4,-5.0,-1.9,59.4
27.0,27.029359,1.50112119,40.574343547017214,47.52567,0.7701665,36.60634,7.81,5.0,5.63,4.94,-2.19,-0.06,8.44,5.0,5.69,4.88,-2.88,-0.19,66.9,63.1,61.3,61.3,-5.6,-1.9,60.6
27.5,27.533517,1.53052869,42.140837705102726,48.4457,0.7850275,38.03642,7.75,5.0,5.56,4.94,-2.19,-0.13,8.5,5.06,5.69,4.88,-2.81,-0.19,67.5,63.8,61.9,61.9,-5.6,-1.9,61.9
28.0,28.038129,1.56013821,43.743356389809094,49.36842,0.7999959,39.50177,7.75,5.0,5.56,4.94,-2.19,-0.06,8.56,5.06,5.69,4.94,-2.88,-0.13,68.8,65.6,63.8,63.8,-5.0,-1.9,62.5
