"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+5.00000000000E+004, +5.25608401836E+000, +0.00000000000E+000
+5.19950000000E+004, +5.19907819544E+000, +0.00000000000E+000
+5.39900000000E+004, +5.18227209316E+000, +0.00000000000E+000
+5.59850000000E+004, +5.16945846251E+000, +0.00000000000E+000
+5.79800000000E+004, +5.16151580811E+000, +0.00000000000E+000
+5.99750000000E+004, +5.15976190131E+000, +0.00000000000E+000
+6.19700000000E+004, +5.15736169373E+000, +0.00000000000E+000
+6.39650000000E+004, +5.15430264379E+000, +0.00000000000E+000
+6.59600000000E+004, +5.15428583104E+000, +0.00000000000E+000
+6.79550000000E+004, +5.15309921457E+000, +0.00000000000E+000
+6.99500000000E+004, +5.15272648662E+000, +0.00000000000E+000
+7.19450000000E+004, +5.15192095152E+000, +0.00000000000E+000
+7.39400000000E+004, +5.15082574163E+000, +0.00000000000E+000
+7.59350000000E+004, +5.15083404895E+000, +0.00000000000E+000
+7.79300000000E+004, +5.14994354505E+000, +0.00000000000E+000
+7.99250000000E+004, +5.14912119567E+000, +0.00000000000E+000
+8.19200000000E+004, +5.14946188750E+000, +0.00000000000E+000
+8.39150000000E+004, +5.14937902222E+000, +0.00000000000E+000
+8.59100000000E+004, +5.14918128550E+000, +0.00000000000E+000
+8.79050000000E+004, +5.14903866570E+000, +0.00000000000E+000
+8.99000000000E+004, +5.14911118326E+000, +0.00000000000E+000
+9.18950000000E+004, +5.14923850219E+000, +0.00000000000E+000
+9.38900000000E+004, +5.14872326314E+000, +0.00000000000E+000
+9.58850000000E+004, +5.14822237931E+000, +0.00000000000E+000
+9.78800000000E+004, +5.14822144283E+000, +0.00000000000E+000
+9.98750000000E+004, +5.14840574654E+000, +0.00000000000E+000
+1.01870000000E+005, +5.14826849430E+000, +0.00000000000E+000
+1.03865000000E+005, +5.14814722113E+000, +0.00000000000E+000
+1.05860000000E+005, +5.14802684147E+000, +0.00000000000E+000
+1.07855000000E+005, +5.14790580638E+000, +0.00000000000E+000
+1.09850000000E+005, +5.14769214586E+000, +0.00000000000E+000
+1.11845000000E+005, +5.14752428799E+000, +0.00000000000E+000
+1.13840000000E+005, +5.14736737355E+000, +0.00000000000E+000
+1.15835000000E+005, +5.14699571675E+000, +0.00000000000E+000
+1.17830000000E+005, +5.14687585293E+000, +0.00000000000E+000
+1.19825000000E+005, +5.14696679680E+000, +0.00000000000E+000
+1.21820000000E+005, +5.14695692915E+000, +0.00000000000E+000
+1.23815000000E+005, +5.14684346517E+000, +0.00000000000E+000
+1.25810000000E+005, +5.14702441025E+000, +0.00000000000E+000
+1.27805000000E+005, +5.14699651711E+000, +0.00000000000E+000
+1.29800000000E+005, +5.14672187272E+000, +0.00000000000E+000
+1.31795000000E+005, +5.14681713582E+000, +0.00000000000E+000
+1.33790000000E+005, +5.14658869601E+000, +0.00000000000E+000
+1.35785000000E+005, +5.14666164267E+000, +0.00000000000E+000
+1.37780000000E+005, +5.14661482158E+000, +0.00000000000E+000
+1.39775000000E+005, +5.14654859531E+000, +0.00000000000E+000
+1.41770000000E+005, +5.14640518570E+000, +0.00000000000E+000
+1.43765000000E+005, +5.14632279184E+000, +0.00000000000E+000
+1.45760000000E+005, +5.14627364898E+000, +0.00000000000E+000
+1.47755000000E+005, +5.14627603107E+000, +0.00000000000E+000
+1.49750000000E+005, +5.14627477525E+000, +0.00000000000E+000
+1.51745000000E+005, +5.14620753188E+000, +0.00000000000E+000
+1.53740000000E+005, +5.14603714555E+000, +0.00000000000E+000
+1.55735000000E+005, +5.14597146679E+000, +0.00000000000E+000
+1.57730000000E+005, +5.14602642169E+000, +0.00000000000E+000
+1.59725000000E+005, +5.14603050351E+000, +0.00000000000E+000
+1.61720000000E+005, +5.14586236016E+000, +0.00000000000E+000
+1.63715000000E+005, +5.14591307029E+000, +0.00000000000E+000
+1.65710000000E+005, +5.14585171958E+000, +0.00000000000E+000
+1.67705000000E+005, +5.14583926197E+000, +0.00000000000E+000
+1.69700000000E+005, +5.14584999977E+000, +0.00000000000E+000
+1.71695000000E+005, +5.14585860041E+000, +0.00000000000E+000
+1.73690000000E+005, +5.14576066310E+000, +0.00000000000E+000
+1.75685000000E+005, +5.14580318360E+000, +0.00000000000E+000
