"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+5.00000000000E+004, +5.43435450142E-003, +1.35757745143E-004
+5.19950000000E+004, +5.44076146173E-003, +1.13252820427E-004
+5.39900000000E+004, +5.43887434764E-003, +1.08121359234E-004
+5.59850000000E+004, +5.44575510807E-003, +1.10281392409E-004
+5.79800000000E+004, +5.44304837250E-003, +1.08618033480E-004
+5.99750000000E+004, +5.44669048653E-003, +1.11287299678E-004
+6.19700000000E+004, +5.44802906219E-003, +1.15396986207E-004
+6.39650000000E+004, +5.44638008707E-003, +1.10855470630E-004
+6.59600000000E+004, +5.44976763551E-003, +1.06501455877E-004
+6.79550000000E+004, +5.45179145210E-003, +1.08812759172E-004
+6.99500000000E+004, +5.45649522134E-003, +1.10124461995E-004
+7.19450000000E+004, +5.45742837705E-003, +1.12663561633E-004
+7.39400000000E+004, +5.45644973470E-003, +1.06583828218E-004
+7.59350000000E+004, +5.45680303693E-003, +1.14749129989E-004
+7.79300000000E+004, +5.45646587297E-003, +1.12162892805E-004
+7.99250000000E+004, +5.45674477907E-003, +1.09702877817E-004
+8.19200000000E+004, +5.46112444574E-003, +1.12389617596E-004
+8.39150000000E+004, +5.45750394210E-003, +1.13608105520E-004
+8.59100000000E+004, +5.45905840173E-003, +1.13424489468E-004
+8.79050000000E+004, +5.45967532765E-003, +1.16010111047E-004
+8.99000000000E+004, +5.46117886728E-003, +1.14326324260E-004
+9.18950000000E+004, +5.45999771459E-003, +1.17478313778E-004
+9.38900000000E+004, +5.46069848010E-003, +1.19452999513E-004
+9.58850000000E+004, +5.46281902949E-003, +1.14603699474E-004
+9.78800000000E+004, +5.45989989136E-003, +1.17053003219E-004
+9.98750000000E+004, +5.46094680441E-003, +1.20033857592E-004
+1.01870000000E+005, +5.46308930180E-003, +1.20058381769E-004
+1.03865000000E+005, +5.46481429942E-003, +1.18372176090E-004
+1.05860000000E+005, +5.46250847314E-003, +1.21295710536E-004
+1.07855000000E+005, +5.46492402309E-003, +1.23048269702E-004
+1.09850000000E+005, +5.46258385374E-003, +1.24821894504E-004
+1.11845000000E+005, +5.46389039128E-003, +1.24092666235E-004
+1.13840000000E+005, +5.46342827414E-003, +1.24938062410E-004
+1.15835000000E+005, +5.46606507264E-003, +1.26850273710E-004
+1.17830000000E+005, +5.46348633228E-003, +1.25155726693E-004
+1.19825000000E+005, +5.46545369870E-003, +1.29678434477E-004
+1.21820000000E+005, +5.46532252856E-003, +1.30552818246E-004
+1.23815000000E+005, +5.46349031801E-003, +1.31488348167E-004
+1.25810000000E+005, +5.46481696388E-003, +1.28359200363E-004
+1.27805000000E+005, +5.46583343987E-003, +1.33390086525E-004
+1.29800000000E+005, +5.46641431382E-003, +1.31764915983E-004
+1.31795000000E+005, +5.46519806155E-003, +1.32794317899E-004
+1.33790000000E+005, +5.46578558085E-003, +1.36687200262E-004
+1.35785000000E+005, +5.46364392446E-003, +1.38756360379E-004
+1.37780000000E+005, +5.46454090850E-003, +1.36932588495E-004
+1.39775000000E+005, +5.46514835177E-003, +1.40837963282E-004
+1.41770000000E+005, +5.46436651192E-003, +1.43128493737E-004
+1.43765000000E+005, +5.46747399259E-003, +1.42787404751E-004
+1.45760000000E+005, +5.46500299750E-003, +1.44791764207E-004
+1.47755000000E+005, +5.46165891651E-003, +1.45594565597E-004
+1.49750000000E+005, +5.46478164317E-003, +1.45118736917E-004
+1.51745000000E+005, +5.46501804961E-003, +1.45998444403E-004
+1.53740000000E+005, +5.46269690339E-003, +1.46775871411E-004
+1.55735000000E+005, +5.46410676410E-003, +1.50249636642E-004
+1.57730000000E+005, +5.46650041209E-003, +1.51771548452E-004
+1.59725000000E+005, +5.46758847649E-003, +1.52902225430E-004
+1.61720000000E+005, +5.46520688596E-003, +1.53498472289E-004
+1.63715000000E+005, +5.46639617771E-003, +1.54566386500E-004
+1.65710000000E+005, +5.46335105574E-003, +1.55645108314E-004
+1.67705000000E+005, +5.46325181663E-003, +1.54119239732E-004
+1.69700000000E+005, +5.46380865119E-003, +1.58539890104E-004
+1.71695000000E+005, +5.46567259789E-003, +1.59234430957E-004
+1.73690000000E+005, +5.46563953912E-003, +1.60733346412E-004
+1.75685000000E+005, +5.46453382679E-003, +1.62494769343E-004
+1.77680000000E+005, +5.46487550428E-003, +1.64479864339E-004
+1.79675000000E+005, +5.46517766779E-003, +1.67757899557E-004
+1.81670000000E+005, +5.46568444623E-003, +1.66564530134E-004
+1.83665000000E+005, +5.46383227715E-003, +1.68764913530E-004
+1.85660000000E+005, +5.46348316365E-003, +1.70973095672E-004
+1.87655000000E+005, +5.46235206218E-003, +1.71622019338E-004
+1.89650000000E+005, +5.46331528693E-003, +1.76350045479E-004
+1.91645000000E+005, +5.46251174884E-003, +1.74224434653E-004
+1.93640000000E+005, +5.46273331349E-003, +1.75434812006E-004
+1.95635000000E+005, +5.46286212947E-003, +1.75947002817E-004
+1.97630000000E+005, +5.46319570002E-003, +1.79169758270E-004
+1.99625000000E+005, +5.46154555366E-003, +1.80156485709E-004
+2.01620000000E+005, +5.46347362418E-003, +1.79836124733E-004
+2.03615000000E+005, +5.46288229391E-003, +1.82231209991E-004
+2.05610000000E+005, +5.46308268380E-003, +1.83292345864E-004
+2.07605000000E+005, +5.46369901922E-003, +1.84715602720E-004
+2.09600000000E+005, +5.46315619563E-003, +1.85382402755E-004
+2.11595000000E+005, +5.46142672869E-003, +1.89667769711E-004
+2.13590000000E+005, +5.46058048416E-003, +1.89555400811E-004
+2.15585000000E+005, +5.46483378160E-003, +1.90136542189E-004
+2.17580000000E+005, +5.46187194180E-003, +1.89997427211E-004
+2.19575000000E+005, +5.46199759535E-003, +1.93542134395E-004
+2.21570000000E+005, +5.46154841088E-003, +1.94305736403E-004
+2.23565000000E+005, +5.46121691912E-003, +1.96065049189E-004
+2.25560000000E+005, +5.46176733588E-003, +1.99043515391E-004
+2.27555000000E+005, +5.46106283322E-003, +2.00280828679E-004
+2.29550000000E+005, +5.46044054353E-003, +1.99710157226E-004
+2.31545000000E+005, +5.46066141564E-003, +2.01146742618E-004
+2.33540000000E+005, +5.46033270948E-003, +2.04428163580E-004
+2.35535000000E+005, +5.46104926173E-003, +2.04370491401E-004
+2.37530000000E+005, +5.46070994401E-003, +2.07606976783E-004
+2.39525000000E+005, +5.45970122417E-003, +2.08252942256E-004
+2.41520000000E+005, +5.46040685902E-003, +2.08659875332E-004
+2.43515000000E+005, +5.45959148550E-003, +2.10686819657E-004
+2.45510000000E+005, +5.46058365673E-003, +2.14531934183E-004
+2.47505000000E+005, +5.45997981884E-003, +2.13627976944E-004
+2.49500000000E+005, +5.45993976240E-003, +2.15485631925E-004
+2.51495000000E+005, +5.45934051121E-003, +2.17087319468E-004
+2.53490000000E+005, +5.46089336058E-003, +2.19007390714E-004
+2.55485000000E+005, +5.46077138855E-003, +2.17712880462E-004
+2.57480000000E+005, +5.46112320752E-003, +2.23272343219E-004
+2.59475000000E+005, +5.45929186129E-003, +2.24810925530E-004
+2.61470000000E+005, +5.45913298986E-003, +2.23893577101E-004
+2.63465000000E+005, +5.45926442887E-003, +2.26668822448E-004
+2.65460000000E+005, +5.45910493787E-003, +2.28134750530E-004
+2.67455000000E+005, +5.45839690151E-003, +2.27773195558E-004
+2.69450000000E+005, +5.45840419960E-003, +2.31004828163E-004
+2.71445000000E+005, +5.45804036240E-003, +2.31685231859E-004
+2.73440000000E+005, +5.45754615895E-003, +2.34919437591E-004
+2.75435000000E+005, +5.45871849208E-003, +2.36395047765E-004
+2.77430000000E+005, +5.45752537576E-003, +2.36137004278E-004
+2.79425000000E+005, +5.45822172510E-003, +2.38449460837E-004
+2.81420000000E+005, +5.45842669433E-003, +2.38239210683E-004
+2.83415000000E+005, +5.45754016424E-003, +2.40360171099E-004
+2.85410000000E+005, +5.45655123553E-003, +2.42553030980E-004
+2.87405000000E+005, +5.45958031264E-003, +2.43417922320E-004
+2.89400000000E+005, +5.45813122849E-003, +2.45433552408E-004
+2.91395000000E+005, +5.45780069327E-003, +2.47767847979E-004
+2.93390000000E+005, +5.45742034494E-003, +2.48382717754E-004
+2.95385000000E+005, +5.45589674167E-003, +2.50070032170E-004
+2.97380000000E+005, +5.45464658491E-003, +2.53456600337E-004
+2.99375000000E+005, +5.45545950490E-003, +2.54803744745E-004
+3.01370000000E+005, +5.45620640249E-003, +2.53077817101E-004
+3.03365000000E+005, +5.45670159703E-003, +2.56338113377E-004
+3.05360000000E+005, +5.45378403267E-003, +2.58632221970E-004
+3.07355000000E+005, +5.45560345357E-003, +2.59660656530E-004
+3.09350000000E+005, +5.45439011308E-003, +2.59759824882E-004
+3.11345000000E+005, +5.45601041123E-003, +2.62616482410E-004
+3.13340000000E+005, +5.45511992742E-003, +2.63402971261E-004
+3.15335000000E+005, +5.45572103427E-003, +2.65951586168E-004
+3.17330000000E+005, +5.45592107835E-003, +2.66059482195E-004
+3.19325000000E+005, +5.45577541897E-003, +2.68166265069E-004
