FET,LOAD,V_IN,I_IN,V_OUT,I_OUT,P_OUT,V_IN_PP,V_IN_AVG,I_PRI_AVG,I_PRI_PP,I_PRI_RMS,V_OUT_PP,V_OUT_AVG,I_SEC_PP,I_SEC_AVG,I_SEC_RMS,V_PRI_PP,V_SEC_PP,V_TANK_IN_PP,V_TANK_OUT_PP
IGB110S101,50Ω Load,24.508442,2.14053522,0.003551699,0.001690747,4.717133e-07,0.67,24.7238,-0.057,3.44,1.167,0.013,-0.0063,3.19,-0.029,1.077,690.0,660.0,138.0,163.0
IGB110S101,50Ω Load,24.697629,1.91282519,0.003655434,0.001663771,5.817914e-07,0.56,24.8613,-0.062,3.06,1.032,0.013,-0.0059,3.06,-0.032,1.022,640.0,610.0,141.0,153.0
IGB110S101,50Ω Load,24.655209,1.69215792,0.003422507,0.001574847,5.186483e-07,0.48,24.9095,-0.067,2.75,0.925,0.016,-0.0059,2.81,-0.031,0.967,580.0,580.0,141.0,144.0
IGB110S101,50Ω Load,24.845319,1.53750329,0.003471895,0.001553574,5.466745e-07,0.47,25.0478,-0.071,2.5,0.851,0.013,-0.0064,2.75,-0.025,0.923,530.0,550.0,141.0,138.0
IGB110S101,50Ω Load,24.947685,1.42627068,0.003812655,0.00150083,5.449864e-07,0.44,25.1201,-0.069,2.44,0.801,0.013,-0.0061,2.63,-0.027,0.891,469.0,520.0,134.0,134.0
IGB110S101,50Ω Load,24.992632,1.35671577,0.003464605,0.001462162,3.467786e-07,0.375,25.1754,-0.071,2.31,0.777,0.013,-0.0063,2.56,-0.025,0.866,456.0,469.0,128.0,131.0
IGB110S101,50Ω Load,25.006042,1.32595511,0.003561181,0.001475927,3.238175e-07,0.363,25.2049,-0.073,2.38,0.784,0.013,-0.0063,2.56,-0.029,0.864,450.0,463.0,125.0,131.0
IGB110S101,50Ω Load,25.010232,1.32420921,0.003533857,0.001445461,5.064931e-08,0.363,25.207,-0.072,2.38,0.805,0.013,-0.006,2.56,-0.036,0.855,456.0,450.0,119.0,131.0
IGB110S101,50Ω Load,25.005956,1.33419714,0.003441292,0.001521862,3.656873e-07,0.35,25.2067,-0.073,2.44,0.825,0.013,-0.0061,2.56,-0.031,0.857,456.0,450.0,119.0,131.0
IGB110S101,50Ω Load,25.00353,1.33785663,0.003380627,0.001473084,2.144152e-07,0.344,25.1976,-0.075,2.44,0.838,0.013,-0.0057,2.56,-0.027,0.862,463.0,444.0,116.0,131.0
IGB110S101,50Ω Load,24.998862,1.3638784,0.003451197,0.001462531,1.424933e-07,0.319,25.1939,-0.075,2.63,0.877,0.013,-0.006,2.56,-0.034,0.8651,500.0,438.0,119.0,131.0
IGB110S101,50Ω Load,24.948481,1.35907481,0.003665338,0.00151906,4.058692e-07,0.369,25.1475,-0.07,2.63,0.901,0.013,-0.0058,2.56,-0.029,0.862,520.0,431.0,122.0,131.0
IGB110S101,50Ω Load,24.788688,1.29359901,0.003565438,0.001446162,4.288302e-07,0.388,24.9745,-0.084,2.63,0.91,0.013,-0.0058,2.56,-0.025,0.8316,520.0,406.0,125.0,131.0
IGB110S101,50Ω Load,24.758982,1.1449597,0.003719777,0.00146701,5.476878e-07,0.45,24.9498,-0.082,2.63,0.881,0.013,-0.0059,2.31,-0.028,0.765,500.0,381.0,131.0,119.0
IGB110S101,50Ω Load,24.928674,0.936977303,0.003440435,0.001455625,1.208828e-07,0.55,25.1644,-0.085,2.38,0.811,0.013,-0.0061,2.06,-0.029,0.6723,456.0,325.0,138.0,106.0
IGB110S101,50Ω Load,25.156783,0.705072315,0.003578298,0.001463225,1.698439e-07,0.64,25.396,-0.075,2.06,0.71,0.013,-0.0063,1.63,-0.003,0.564,400.0,281.0,138.0,84.0
IGB110S101,50Ω Load,25.393225,0.497442133,0.003398033,0.001446536,2.83298e-07,0.73,25.5859,-0.039,1.66,0.5758,0.013,-0.006,1.31,-0.004,0.445,338.0,216.0,131.0,67.0
