FET,LOAD,V_IN,I_IN,V_OUT,I_OUT,P_OUT,V_IN_PP,V_IN_AVG,I_PRI_AVG,I_PRI_PP,I_PRI_RMS,V_OUT_PP,V_OUT_AVG,I_SEC_PP,I_SEC_AVG,I_SEC_RMS,V_PRI_PP,V_SEC_PP,V_TANK_IN_PP,V_TANK_OUT_PP
IGB110S101,STPS360AF,24.59996,1.9409427,51.00167,0.8265333,42.15732,0.61,24.8797,-0.062,3.13,1.061,0.288,51.1846,3.13,-0.03,1.04,630.0,670.0,141.0,134.0
IGB110S101,STPS360AF,24.948711,1.81459598,49.64775,0.8045124,39.94333,0.53,25.1332,-0.071,2.94,0.99,0.263,49.838,2.94,-0.029,1.005,590.0,630.0,144.0,131.0
IGB110S101,STPS360AF,25.032319,1.65465996,47.42323,0.7685742,36.4633,0.5,25.2121,-0.063,2.69,0.908,0.2,47.6353,2.81,-0.024,0.962,550.0,610.0,141.0,119.0
IGB110S101,STPS360AF,25.013923,1.5217857,45.39771,0.7356539,33.38974,0.41,25.2962,-0.073,2.5,0.845,0.169,45.5729,2.75,-0.029,0.927,520.0,580.0,134.0,119.0
IGB110S101,STPS360AF,24.974061,1.40657962,43.58901,0.7059675,30.77269,0.38,25.1793,-0.073,2.38,0.796,0.15,43.7546,2.69,-0.026,0.893,480.0,560.0,134.0,113.0
IGB110S101,STPS360AF,24.92258,1.33978976,42.5225,0.6887588,29.26509,0.34,25.1522,-0.073,2.38,0.78,0.128,42.6493,2.63,-0.024,0.872,450.0,550.0,128.0,113.0
IGB110S101,STPS360AF,24.875872,1.31188723,42.06437,0.6812599,28.65598,0.34,25.0942,-0.07,2.38,0.779,0.153,42.2238,2.56,-0.028,0.857,450.0,550.0,122.0,113.0
IGB110S101,STPS360AF,24.819347,1.30716192,41.95939,0.6798881,28.52556,0.313,25.008,-0.075,2.38,0.797,0.153,42.11,2.56,-0.025,0.856,450.0,530.0,116.0,109.0
IGB110S101,STPS360AF,24.762795,1.31345667,41.99636,0.6804921,28.58366,0.36,24.9891,-0.076,2.44,0.821,0.156,42.15,2.63,-0.034,0.864,470.0,520.0,113.0,113.0
IGB110S101,STPS360AF,24.754045,1.31693991,42.0347,0.6812089,28.62643,0.36,24.9695,-0.071,2.5,0.82,0.153,42.191,2.56,-0.031,0.859,470.0,530.0,116.0,109.0
IGB110S101,STPS360AF,24.738833,1.34179731,42.31533,0.6858038,29.01717,0.39,24.9626,-0.076,2.56,0.863,0.184,42.4926,2.63,-0.03,0.874,480.0,520.0,116.0,109.0
IGB110S101,STPS360AF,24.864253,1.34956339,42.36964,0.6864828,29.09138,0.39,25.0722,-0.08,2.69,0.9,0.159,42.5448,2.69,-0.032,0.877,500.0,520.0,122.0,113.0
IGB110S101,STPS360AF,24.704551,1.29202294,40.93871,0.6634224,27.15777,0.44,24.9179,-0.074,2.63,0.908,0.178,41.0958,2.56,-0.034,0.849,500.0,500.0,125.0,106.0
IGB110S101,STPS360AF,24.649167,1.1535366,38.03807,0.6163412,23.44331,0.52,24.8484,-0.077,2.5,0.87,0.253,38.1814,2.38,-0.034,0.7863,500.0,470.0,131.0,103.0
IGB110S101,STPS360AF,24.816116,0.961069332,34.03643,0.5515153,18.76991,0.56,25.0285,-0.08,2.31,0.792,0.184,34.1464,2.13,-0.032,0.7081,470.0,420.0,138.0,89.0
IGB110S101,STPS360AF,25.164008,0.752224859,29.16766,0.4728906,13.79389,0.72,25.4052,-0.074,2.13,0.722,0.122,29.2913,1.94,-0.032,0.6206,420.0,331.0,141.0,77.0
IGB110S101,STPS360AF,25.44133,0.541249724,23.47586,0.3803497,8.92843,0.81,25.6327,-0.037,1.72,0.5954,0.144,23.553,1.44,-0.001,0.4964,344.0,263.0,134.0,64.0
