FET,LOAD,V_IN,I_IN,V_OUT,I_OUT,P_OUT,V_IN_PP,V_IN_AVG,I_PRI_AVG,I_PRI_PP,I_PRI_RMS,V_OUT_PP,V_OUT_AVG,I_SEC_PP,I_SEC_AVG,I_SEC_RMS,V_PRI_PP,V_SEC_PP,V_TANK_IN_PP,V_TANK_OUT_PP
IGB110S101,STPS360AF,17.888901,0.907074476,29.58522,0.4793054,14.18301,0.275,18.0465,-0.034,1.69,0.5719,0.113,29.6994,1.81,-0.032,0.615,319.0,363.0,81.0,75.0
IGB110S101,STPS360AF,18.425921,0.94258854,30.68432,0.4970896,15.25365,0.269,18.6391,-0.034,1.75,0.594,0.122,30.8014,1.94,-0.033,0.634,331.0,369.0,88.0,80.0
IGB110S101,STPS360AF,18.891131,0.964900717,31.39285,0.5087693,15.96883,0.263,19.0494,-0.059,1.88,0.617,0.122,31.5142,1.94,-0.037,0.644,331.0,410.0,91.0,83.0
IGB110S101,STPS360AF,19.383279,0.993904136,32.27764,0.5229798,16.88107,0.275,19.5528,-0.065,1.88,0.634,0.119,32.3846,2.06,-0.034,0.667,344.0,420.0,91.0,83.0
IGB110S101,STPS360AF,19.875868,1.02309226,33.16548,0.5377954,17.83962,0.269,20.0496,-0.066,1.94,0.647,0.116,33.2942,2.06,-0.027,0.682,350.0,440.0,94.0,86.0
IGB110S101,STPS360AF,20.368564,1.0524001,34.05265,0.5517998,18.79045,0.275,20.5355,-0.069,2.06,0.665,0.122,34.1819,2.13,-0.032,0.702,363.0,440.0,97.0,86.0
IGB110S101,STPS360AF,20.859564,1.08209036,34.95073,0.5663414,19.79858,0.275,21.0406,-0.067,2.0,0.679,0.119,35.1079,2.19,-0.035,0.719,375.0,440.0,97.0,89.0
IGB110S101,STPS360AF,21.351076,1.11051723,35.82446,0.5808795,20.80927,0.275,21.5314,-0.066,2.13,0.699,0.122,35.9634,2.25,-0.038,0.741,410.0,480.0,100.0,92.0
IGB110S101,STPS360AF,21.842484,1.14052318,36.74658,0.5952647,21.88016,0.294,22.0236,-0.069,2.13,0.713,0.122,36.8898,2.25,-0.033,0.753,410.0,470.0,103.0,100.0
IGB110S101,STPS360AF,22.335405,1.17037316,37.66068,0.6101068,22.97399,0.319,22.5238,-0.066,2.25,0.735,0.128,37.7795,2.31,-0.031,0.767,420.0,480.0,103.0,100.0
IGB110S101,STPS360AF,22.829143,1.19905307,38.51996,0.6242961,24.04101,0.294,23.0256,-0.063,2.25,0.753,0.125,38.6662,2.38,-0.031,0.793,440.0,480.0,106.0,103.0
IGB110S101,STPS360AF,23.325658,1.2277204,39.40937,0.6384806,25.16924,0.313,23.5046,-0.063,2.25,0.763,0.138,39.5577,2.5,-0.03,0.81,440.0,480.0,113.0,103.0
IGB110S101,STPS360AF,23.817736,1.25646567,40.28706,0.6526611,26.29594,0.31,24.0128,-0.061,2.31,0.785,0.144,40.4501,2.44,-0.034,0.827,450.0,520.0,113.0,106.0
IGB110S101,STPS360AF,24.306923,1.28543525,41.15919,0.6669836,27.46038,0.34,24.5208,-0.071,2.38,0.801,0.153,41.3276,2.5,-0.03,0.847,450.0,520.0,113.0,106.0
IGB110S101,STPS360AF,24.795358,1.31453148,42.06372,0.6813694,28.66151,0.325,24.991,-0.065,2.44,0.821,0.156,42.2261,2.56,-0.026,0.864,450.0,530.0,116.0,113.0
IGB110S101,STPS360AF,25.275243,1.34265305,42.91459,0.6953442,29.83965,0.36,25.4683,-0.063,2.5,0.835,0.166,43.0766,2.63,-0.028,0.88,470.0,530.0,119.0,113.0
IGB110S101,STPS360AF,25.760084,1.37175607,43.7951,0.7094387,31.0567,0.34,25.9807,-0.059,2.56,0.854,0.169,43.9425,2.69,-0.029,0.897,500.0,550.0,119.0,116.0
IGB110S101,STPS360AF,26.2432,1.40075901,44.65661,0.7236584,32.32323,0.36,26.4751,-0.064,2.63,0.875,0.175,44.8367,2.69,-0.036,0.919,500.0,550.0,122.0,113.0
IGB110S101,STPS360AF,26.726072,1.4299406,45.53909,0.7381774,33.61795,0.39,26.9384,-0.065,2.63,0.889,0.184,45.7131,2.75,-0.031,0.931,500.0,560.0,125.0,119.0
IGB110S101,STPS360AF,27.206878,1.45845578,46.38977,0.7524484,34.91131,0.36,27.4319,-0.069,2.69,0.912,0.194,46.5667,2.81,-0.03,0.945,520.0,560.0,125.0,122.0
IGB110S101,STPS360AF,27.685366,1.48866825,47.31092,0.7664158,36.25494,0.41,27.9156,-0.075,2.75,0.924,0.203,47.4847,2.88,-0.033,0.971,520.0,580.0,128.0,122.0
