Frequency in Hz;Power in dBm
600000.0;-85.31
650253.8;-85.82
700507.6;-86.33
750761.4;-86.54
801015.2;-87.85
851269.0;-88.66
901522.8;-88.23
951776.6;-87.14
1002030.5;-89.58
1052284.3;-90.52
1102538.1;-91.28
1152791.9;-91.73
1203045.7;-90.13
1253299.5;-91.35
1303553.3;-92.28
1353807.1;-93.29
1404060.9;-91.75
1454314.7;-93.49
1504568.5;-92.67
1554822.3;-93.13
1605076.1;-93.24
1655329.9;-93.53
1705583.8;-93.15
1755837.6;-93.92
1806091.4;-94.34
1856345.2;-93.78
1906599.0;-94.22
1956852.8;-94.72
2007106.6;-95.29
2057360.4;-96.20
2107614.2;-95.17
2157868.0;-94.85
2208121.8;-95.79
2258375.6;-94.77
2308629.4;-96.06
2358883.2;-96.25
2409137.1;-96.20
2459390.9;-94.58
2509644.7;-96.00
2559898.5;-96.51
2610152.3;-95.63
2660406.1;-96.52
2710659.9;-95.95
2760913.7;-97.12
2811167.5;-98.58
2861421.3;-97.19
2911675.1;-97.24
2961928.9;-97.10
3012182.7;-97.17
3062436.5;-97.53
3112690.4;-97.05
3162944.2;-97.36
3213198.0;-98.51
3263451.8;-97.56
3313705.6;-98.54
3363959.4;-97.23
3414213.2;-97.72
3464467.0;-97.28
3514720.8;-97.99
3564974.6;-97.27
3615228.4;-97.21
3665482.2;-98.15
3715736.0;-98.14
3765989.8;-99.25
3816243.7;-100.43
3866497.5;-99.10
3916751.3;-98.77
3967005.1;-97.97
4017258.9;-99.29
4067512.7;-98.71
4117766.5;-100.13
4168020.3;-99.12
4218274.1;-99.35
4268527.9;-98.72
4318781.7;-99.49
4369035.5;-100.08
4419289.3;-98.71
4469543.1;-99.93
4519797.0;-99.77
4570050.8;-99.98
4620304.6;-98.79
4670558.4;-100.35
4720812.2;-101.63
4771066.0;-99.78
4821319.8;-100.27
4871573.6;-99.69
4921827.4;-100.30
4972081.2;-100.72
5022335.0;-100.20
5072588.8;-99.97
5122842.6;-99.40
5173096.4;-100.73
5223350.3;-100.19
5273604.1;-100.42
5323857.9;-99.87
5374111.7;-99.61
5424365.5;-100.20
5474619.3;-99.54
5524873.1;-99.87
5575126.9;-100.77
5625380.7;-99.05
5675634.5;-99.95
5725888.3;-99.72
5776142.1;-98.08
5826395.9;-100.16
5876649.7;-100.47
5926903.6;-100.69
5977157.4;-100.71
6027411.2;-99.10
6077665.0;-99.29
6127918.8;-99.79
6178172.6;-100.86
6228426.4;-100.16
6278680.2;-100.17
6328934.0;-100.57
6379187.8;-100.53
6429441.6;-99.84
6479695.4;-100.91
6529949.2;-101.14
6580203.0;-101.23
6630456.9;-100.59
6680710.7;-100.84
6730964.5;-100.26
6781218.3;-99.13
6831472.1;-99.87
6881725.9;-101.19
6931979.7;-99.53
6982233.5;-99.65
7032487.3;-100.19
7082741.1;-99.28
7132994.9;-90.80
7183248.7;-56.19
7233502.5;-97.33
7283756.3;-99.68
7334010.2;-101.21
7384264.0;-100.32
7434517.8;-101.35
7484771.6;-101.42
7535025.4;-101.33
7585279.2;-102.11
7635533.0;-102.32
7685786.8;-101.05
7736040.6;-101.94
7786294.4;-101.17
7836548.2;-101.34
7886802.0;-100.19
7937055.8;-100.73
7987309.6;-102.09
8037563.5;-102.01
8087817.3;-101.74
8138071.1;-101.19
8188324.9;-102.34
8238578.7;-103.11
8288832.5;-103.17
8339086.3;-102.52
8389340.1;-102.81
8439593.9;-101.83
8489847.7;-102.70
8540101.5;-101.84
8590355.3;-101.45
8640609.1;-102.21
8690862.9;-102.30
8741116.8;-102.08
8791370.6;-102.91
8841624.4;-103.42
8891878.2;-103.26
8942132.0;-103.41
8992385.8;-102.95
9042639.6;-103.21
9092893.4;-103.61
9143147.2;-102.32
9193401.0;-102.75
9243654.8;-102.89
9293908.6;-102.53
9344162.4;-103.92
9394416.2;-104.13
9444670.1;-104.04
9494923.9;-104.35
9545177.7;-103.64
9595431.5;-102.43
9645685.3;-102.66
9695939.1;-103.56
9746192.9;-102.78
9796446.7;-103.91
9846700.5;-103.63
9896954.3;-103.36
9947208.1;-103.53
9997461.9;-103.40
10047715.7;-103.70
10097969.5;-103.76
10148223.4;-105.19
10198477.2;-104.05
10248731.0;-102.96
10298984.8;-103.91
10349238.6;-102.74
10399492.4;-104.64
10449746.2;-103.96
10500000.0;-103.17
10550253.8;-103.21
10600507.6;-103.56
10650761.4;-103.96
10701015.2;-103.23
10751269.0;-103.96
10801522.8;-103.94
10851776.6;-104.11
10902030.5;-104.57
10952284.3;-104.22
11002538.1;-105.48
11052791.9;-103.51
11103045.7;-103.75
11153299.5;-103.10
11203553.3;-101.83
11253807.1;-103.34
11304060.9;-104.36
11354314.7;-104.29
11404568.5;-104.64
11454822.3;-104.40
11505076.1;-103.86
11555329.9;-103.50
11605583.8;-103.97
11655837.6;-103.83
11706091.4;-104.36
11756345.2;-104.26
11806599.0;-104.00
11856852.8;-103.94
11907106.6;-104.31
11957360.4;-103.89
12007614.2;-105.01
12057868.0;-104.59
12108121.8;-104.48
12158375.6;-103.50
12208629.4;-104.48
12258883.2;-105.41
12309137.1;-104.54
12359390.9;-102.55
12409644.7;-101.91
12459898.5;-105.75
12510152.3;-104.54
12560406.1;-104.50
12610659.9;-104.42
12660913.7;-105.06
12711167.5;-105.33
12761421.3;-104.55
12811675.1;-104.79
12861928.9;-105.15
12912182.7;-104.66
12962436.5;-105.35
13012690.4;-105.60
13062944.2;-104.05
13113198.0;-103.95
13163451.8;-104.71
13213705.6;-104.99
13263959.4;-103.23
13314213.2;-104.39
13364467.0;-104.62
13414720.8;-104.75
13464974.6;-104.72
13515228.4;-104.31
13565482.2;-105.10
13615736.0;-105.13
13665989.8;-104.46
13716243.7;-104.75
13766497.5;-104.65
13816751.3;-104.26
13867005.1;-103.20
13917258.9;-104.22
13967512.7;-104.25
14017766.5;-104.04
14068020.3;-106.42
14118274.1;-105.55
14168527.9;-104.50
14218781.7;-104.30
14269035.5;-104.44
14319289.3;-97.40
14369543.1;-78.15
14419797.0;-89.96
14470050.8;-104.57
14520304.6;-104.40
14570558.4;-104.25
14620812.2;-103.13
14671066.0;-101.24
14721319.8;-104.25
14771573.6;-104.78
14821827.4;-104.53
14872081.2;-104.54
14922335.0;-104.08
14972588.8;-105.10
15022842.6;-104.69
15073096.4;-104.57
15123350.3;-104.00
15173604.1;-104.89
15223857.9;-105.71
15274111.7;-105.01
15324365.5;-104.72
15374619.3;-106.23
15424873.1;-105.71
15475126.9;-104.47
15525380.7;-104.77
15575634.5;-104.80
15625888.3;-105.65
15676142.1;-105.54
15726395.9;-106.18
15776649.7;-105.35
15826903.6;-104.89
15877157.4;-104.27
15927411.2;-104.85
15977665.0;-105.35
16027918.8;-104.99
16078172.6;-106.45
16128426.4;-105.67
16178680.2;-104.31
16228934.0;-104.06
16279187.8;-104.96
16329441.6;-104.62
16379695.4;-103.73
16429949.2;-104.79
16480203.0;-105.19
16530456.9;-104.75
16580710.7;-104.71
16630964.5;-104.56
16681218.3;-105.04
16731472.1;-104.84
16781725.9;-104.62
16831979.7;-104.82
16882233.5;-105.99
16932487.3;-106.38
16982741.1;-105.59
