Frequency in Hz;Power in dBm
600000.0;-86.13
650253.8;-86.28
700507.6;-86.42
750761.4;-87.20
801015.2;-87.41
851269.0;-86.29
901522.8;-88.31
951776.6;-84.72
1002030.5;-89.79
1052284.3;-90.37
1102538.1;-90.91
1152791.9;-90.39
1203045.7;-91.33
1253299.5;-92.04
1303553.3;-92.58
1353807.1;-91.77
1404060.9;-92.70
1454314.7;-93.88
1504568.5;-92.57
1554822.3;-92.80
1605076.1;-93.80
1655329.9;-94.70
1705583.8;-93.79
1755837.6;-94.73
1806091.4;-93.64
1856345.2;-94.75
1906599.0;-94.52
1956852.8;-94.58
2007106.6;-94.34
2057360.4;-94.99
2107614.2;-94.75
2157868.0;-96.01
2208121.8;-95.07
2258375.6;-94.54
2308629.4;-94.78
2358883.2;-96.48
2409137.1;-95.32
2459390.9;-95.96
2509644.7;-95.60
2559898.5;-96.12
2610152.3;-96.40
2660406.1;-97.32
2710659.9;-95.93
2760913.7;-95.63
2811167.5;-96.47
2861421.3;-97.07
2911675.1;-97.94
2961928.9;-96.56
3012182.7;-96.39
3062436.5;-95.95
3112690.4;-96.29
3162944.2;-96.53
3213198.0;-96.78
3263451.8;-97.65
3313705.6;-97.51
3363959.4;-97.49
3414213.2;-98.25
3464467.0;-97.18
3514720.8;-96.71
3564974.6;-97.54
3615228.4;-97.33
3665482.2;-98.45
3715736.0;-97.36
3765989.8;-99.09
3816243.7;-96.88
3866497.5;-98.58
3916751.3;-98.33
3967005.1;-98.07
4017258.9;-99.22
4067512.7;-98.49
4117766.5;-99.45
4168020.3;-98.97
4218274.1;-98.32
4268527.9;-98.54
4318781.7;-98.34
4369035.5;-99.14
4419289.3;-97.91
4469543.1;-98.33
4519797.0;-98.80
4570050.8;-98.54
4620304.6;-98.93
4670558.4;-99.38
4720812.2;-98.32
4771066.0;-97.82
4821319.8;-99.01
4871573.6;-98.79
4921827.4;-98.72
4972081.2;-97.96
5022335.0;-98.35
5072588.8;-97.96
5122842.6;-98.40
5173096.4;-98.38
5223350.3;-98.31
5273604.1;-97.72
5323857.9;-97.82
5374111.7;-97.37
5424365.5;-96.47
5474619.3;-97.21
5524873.1;-96.98
5575126.9;-98.54
5625380.7;-96.91
5675634.5;-97.03
5725888.3;-96.15
5776142.1;-96.75
5826395.9;-96.03
5876649.7;-96.23
