Frequency in Hz;Power in dBm
600000.0;-85.76
650253.8;-86.54
700507.6;-87.12
750761.4;-87.96
801015.2;-87.75
851269.0;-87.26
901522.8;-89.09
951776.6;-86.98
1002030.5;-89.90
1052284.3;-90.14
1102538.1;-91.95
1152791.9;-91.05
1203045.7;-90.98
1253299.5;-90.35
1303553.3;-92.02
1353807.1;-92.56
1404060.9;-91.36
1454314.7;-92.04
1504568.5;-92.46
1554822.3;-94.25
1605076.1;-92.67
1655329.9;-93.50
1705583.8;-92.64
1755837.6;-93.80
1806091.4;-92.91
1856345.2;-93.42
1906599.0;-93.93
1956852.8;-95.01
2007106.6;-94.88
2057360.4;-95.05
2107614.2;-95.69
2157868.0;-95.59
2208121.8;-95.10
2258375.6;-95.82
2308629.4;-94.61
2358883.2;-94.68
2409137.1;-95.60
2459390.9;-96.46
2509644.7;-95.25
2559898.5;-95.36
2610152.3;-95.34
2660406.1;-96.50
2710659.9;-97.86
2760913.7;-96.31
2811167.5;-96.02
2861421.3;-97.61
2911675.1;-96.52
2961928.9;-96.80
3012182.7;-96.05
3062436.5;-98.17
3112690.4;-97.97
3162944.2;-97.28
3213198.0;-96.70
3263451.8;-97.52
3313705.6;-96.51
3363959.4;-96.98
3414213.2;-97.60
3464467.0;-97.21
3514720.8;-97.82
3564974.6;-98.05
3615228.4;-98.41
3665482.2;-97.25
3715736.0;-99.22
3765989.8;-99.26
3816243.7;-98.62
3866497.5;-98.43
3916751.3;-98.00
3967005.1;-99.27
4017258.9;-99.14
4067512.7;-99.01
4117766.5;-98.42
4168020.3;-99.12
4218274.1;-98.80
4268527.9;-99.39
4318781.7;-100.04
4369035.5;-99.45
4419289.3;-98.67
4469543.1;-100.25
4519797.0;-98.99
4570050.8;-98.74
4620304.6;-98.82
4670558.4;-98.79
4720812.2;-99.27
4771066.0;-98.78
4821319.8;-97.69
4871573.6;-99.80
4921827.4;-99.88
4972081.2;-98.21
5022335.0;-99.83
5072588.8;-100.08
5122842.6;-99.97
5173096.4;-99.33
5223350.3;-99.24
5273604.1;-99.31
5323857.9;-99.28
5374111.7;-98.11
5424365.5;-98.76
5474619.3;-94.37
5524873.1;-98.71
5575126.9;-99.09
5625380.7;-99.02
5675634.5;-98.97
5725888.3;-99.09
5776142.1;-100.12
5826395.9;-98.35
5876649.7;-98.98
