Frequency in Hz;Power in dBm
600000.0;-84.58
650253.8;-85.48
700507.6;-86.49
750761.4;-86.42
801015.2;-87.44
851269.0;-87.84
901522.8;-87.31
951776.6;-85.83
1002030.5;-89.53
1052284.3;-90.55
1102538.1;-90.12
1152791.9;-89.85
1203045.7;-91.70
1253299.5;-91.16
1303553.3;-91.11
1353807.1;-90.78
1404060.9;-92.66
1454314.7;-93.43
1504568.5;-93.63
1554822.3;-93.72
1605076.1;-93.19
1655329.9;-93.07
1705583.8;-94.23
1755837.6;-93.33
1806091.4;-93.85
1856345.2;-93.55
1906599.0;-94.69
1956852.8;-94.11
2007106.6;-94.66
2057360.4;-95.10
2107614.2;-94.93
2157868.0;-96.23
2208121.8;-96.18
2258375.6;-95.41
2308629.4;-95.40
2358883.2;-96.35
2409137.1;-95.62
2459390.9;-96.78
2509644.7;-96.22
2559898.5;-96.55
2610152.3;-96.14
2660406.1;-96.41
2710659.9;-96.23
2760913.7;-96.50
2811167.5;-96.84
2861421.3;-97.42
2911675.1;-96.70
2961928.9;-95.99
3012182.7;-96.82
3062436.5;-96.94
3112690.4;-97.71
3162944.2;-95.75
3213198.0;-97.60
3263451.8;-98.27
3313705.6;-97.53
3363959.4;-97.60
3414213.2;-98.20
3464467.0;-97.37
3514720.8;-97.81
3564974.6;-97.20
3615228.4;-97.79
3665482.2;-98.65
3715736.0;-98.86
3765989.8;-98.90
3816243.7;-99.30
3866497.5;-98.51
3916751.3;-99.96
3967005.1;-99.26
4017258.9;-99.09
4067512.7;-98.69
4117766.5;-98.60
4168020.3;-100.86
4218274.1;-100.93
4268527.9;-100.58
4318781.7;-99.83
4369035.5;-98.68
4419289.3;-99.75
4469543.1;-99.93
4519797.0;-100.90
4570050.8;-99.25
4620304.6;-100.15
4670558.4;-99.83
4720812.2;-99.65
4771066.0;-99.33
4821319.8;-99.80
4871573.6;-99.80
4921827.4;-99.64
4972081.2;-100.03
5022335.0;-99.81
5072588.8;-99.04
5122842.6;-100.14
5173096.4;-100.22
5223350.3;-100.37
5273604.1;-99.46
5323857.9;-100.15
5374111.7;-99.29
5424365.5;-98.64
5474619.3;-99.80
5524873.1;-99.79
5575126.9;-101.81
5625380.7;-100.39
5675634.5;-100.27
5725888.3;-99.61
5776142.1;-101.25
5826395.9;-100.41
5876649.7;-99.66
5926903.6;-99.77
5977157.4;-100.03
6027411.2;-100.63
6077665.0;-101.19
6127918.8;-100.63
6178172.6;-100.60
6228426.4;-100.03
6278680.2;-99.26
6328934.0;-100.39
6379187.8;-99.19
6429441.6;-99.57
6479695.4;-100.53
6529949.2;-100.72
6580203.0;-100.42
6630456.9;-100.46
6680710.7;-101.02
6730964.5;-94.88
6781218.3;-87.69
6831472.1;-99.87
6881725.9;-99.66
6931979.7;-100.91
6982233.5;-100.73
7032487.3;-101.32
7082741.1;-102.24
7132994.9;-101.35
7183248.7;-100.33
7233502.5;-100.70
7283756.3;-101.33
7334010.2;-100.67
7384264.0;-100.90
7434517.8;-100.61
7484771.6;-100.68
7535025.4;-102.08
7585279.2;-101.15
7635533.0;-101.54
7685786.8;-101.97
7736040.6;-101.83
7786294.4;-101.26
7836548.2;-101.97
7886802.0;-101.20
7937055.8;-100.80
7987309.6;-101.09
8037563.5;-101.51
8087817.3;-101.27
8138071.1;-101.85
8188324.9;-101.97
8238578.7;-101.08
8288832.5;-102.22
8339086.3;-102.29
8389340.1;-102.30
8439593.9;-103.03
8489847.7;-102.71
8540101.5;-102.15
8590355.3;-101.94
8640609.1;-102.04
8690862.9;-101.96
8741116.8;-101.19
8791370.6;-102.89
8841624.4;-102.95
8891878.2;-102.90
8942132.0;-102.45
8992385.8;-102.83
9042639.6;-102.79
9092893.4;-103.92
9143147.2;-102.89
9193401.0;-102.16
9243654.8;-102.45
9293908.6;-103.52
9344162.4;-101.81
9394416.2;-102.88
9444670.1;-102.91
9494923.9;-103.22
9545177.7;-103.01
9595431.5;-103.14
9645685.3;-103.11
9695939.1;-103.51
9746192.9;-102.16
9796446.7;-102.93
9846700.5;-102.20
9896954.3;-102.87
9947208.1;-102.95
9997461.9;-102.73
10047715.7;-103.05
10097969.5;-103.17
10148223.4;-103.66
10198477.2;-102.76
10248731.0;-103.53
10298984.8;-102.15
10349238.6;-103.91
10399492.4;-104.70
10449746.2;-104.07
10500000.0;-104.71
10550253.8;-103.06
10600507.6;-104.28
10650761.4;-104.32
10701015.2;-104.07
10751269.0;-103.26
10801522.8;-103.43
10851776.6;-103.75
10902030.5;-104.19
10952284.3;-103.46
11002538.1;-104.39
11052791.9;-103.62
11103045.7;-104.00
11153299.5;-103.78
11203553.3;-104.73
11253807.1;-104.04
11304060.9;-103.63
11354314.7;-103.29
11404568.5;-104.12
11454822.3;-103.64
11505076.1;-104.26
11555329.9;-103.83
11605583.8;-104.18
11655837.6;-104.14
11706091.4;-103.66
11756345.2;-103.89
11806599.0;-103.45
11856852.8;-104.13
