Frequency in Hz;Power in dBm
600000.0;-84.95
650253.8;-86.38
700507.6;-87.05
750761.4;-88.25
801015.2;-87.03
851269.0;-87.61
901522.8;-89.50
951776.6;-85.33
1002030.5;-91.12
1052284.3;-90.48
1102538.1;-91.13
1152791.9;-90.75
1203045.7;-90.94
1253299.5;-91.53
1303553.3;-91.70
1353807.1;-91.33
1404060.9;-92.63
1454314.7;-93.70
1504568.5;-93.65
1554822.3;-93.25
1605076.1;-93.09
1655329.9;-93.67
1705583.8;-94.28
1755837.6;-93.58
1806091.4;-93.99
1856345.2;-94.41
1906599.0;-94.47
1956852.8;-94.92
2007106.6;-94.61
2057360.4;-94.31
2107614.2;-95.99
2157868.0;-95.37
2208121.8;-95.68
2258375.6;-96.34
2308629.4;-96.10
2358883.2;-95.42
2409137.1;-96.04
2459390.9;-95.88
2509644.7;-95.31
2559898.5;-96.49
2610152.3;-95.77
2660406.1;-95.83
2710659.9;-96.07
2760913.7;-96.67
2811167.5;-96.45
2861421.3;-96.99
2911675.1;-96.02
2961928.9;-96.08
3012182.7;-97.65
3062436.5;-97.58
3112690.4;-96.97
3162944.2;-97.35
3213198.0;-97.87
3263451.8;-98.23
3313705.6;-98.12
3363959.4;-98.14
3414213.2;-97.50
3464467.0;-96.80
3514720.8;-98.26
3564974.6;-98.31
3615228.4;-99.41
3665482.2;-99.53
3715736.0;-98.44
3765989.8;-99.04
3816243.7;-97.99
3866497.5;-99.27
3916751.3;-98.34
3967005.1;-99.33
4017258.9;-99.85
4067512.7;-99.75
4117766.5;-98.54
4168020.3;-99.56
4218274.1;-98.49
4268527.9;-98.80
4318781.7;-98.63
4369035.5;-99.75
4419289.3;-99.16
4469543.1;-99.26
4519797.0;-99.09
4570050.8;-98.21
4620304.6;-99.14
4670558.4;-99.53
4720812.2;-100.38
4771066.0;-99.76
4821319.8;-98.49
4871573.6;-100.21
4921827.4;-99.73
4972081.2;-100.19
5022335.0;-100.33
5072588.8;-100.27
5122842.6;-101.33
5173096.4;-100.21
5223350.3;-99.97
5273604.1;-100.31
5323857.9;-101.38
5374111.7;-99.72
5424365.5;-99.53
5474619.3;-100.74
5524873.1;-99.64
5575126.9;-99.50
5625380.7;-99.81
5675634.5;-100.11
5725888.3;-100.31
5776142.1;-101.07
5826395.9;-101.27
5876649.7;-100.36
5926903.6;-99.81
5977157.4;-92.73
6027411.2;-99.72
6077665.0;-98.76
6127918.8;-100.94
6178172.6;-99.80
6228426.4;-99.41
6278680.2;-101.57
6328934.0;-100.80
6379187.8;-99.90
6429441.6;-99.79
6479695.4;-100.27
6529949.2;-99.82
6580203.0;-100.11
6630456.9;-99.99
6680710.7;-100.61
6730964.5;-100.05
6781218.3;-101.12
6831472.1;-100.76
6881725.9;-99.65
6931979.7;-100.21
6982233.5;-100.28
7032487.3;-100.16
7082741.1;-100.66
7132994.9;-100.41
7183248.7;-99.92
7233502.5;-101.19
7283756.3;-101.75
7334010.2;-99.78
7384264.0;-100.03
7434517.8;-100.31
7484771.6;-100.65
7535025.4;-101.24
7585279.2;-100.58
7635533.0;-101.64
7685786.8;-102.14
7736040.6;-101.89
7786294.4;-101.68
7836548.2;-102.29
7886802.0;-101.36
7937055.8;-101.23
7987309.6;-101.64
8037563.5;-102.38
8087817.3;-101.94
8138071.1;-101.17
8188324.9;-100.95
8238578.7;-102.30
8288832.5;-101.71
8339086.3;-101.44
8389340.1;-102.00
8439593.9;-101.68
8489847.7;-101.94
8540101.5;-101.92
8590355.3;-102.01
8640609.1;-102.54
8690862.9;-101.97
8741116.8;-101.47
8791370.6;-101.96
8841624.4;-101.56
8891878.2;-102.36
8942132.0;-102.79
8992385.8;-103.17
9042639.6;-102.99
9092893.4;-102.54
9143147.2;-101.99
