VIN,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_IN_PP,I_IN_PP,V_OUT_PP,I_OUT_PP
18.0,18.000683,1.18781317,21.38144833639511,34.72621,0.5621721,19.52427,0.27,0.022,0.33,0.025
18.5,18.499579,1.2191887,22.5544776715573,35.68328,0.577727,20.6136,0.27,0.02,0.36,0.025
19.0,18.999459,1.2498236,23.7459722454324,36.60445,0.5931509,21.71402,0.33,0.017,0.25,0.025
19.5,19.497962,1.28346066,25.024867177174922,37.57173,0.6088162,22.86711,0.33,0.022,0.27,0.022
20.0,19.997698,1.31955899,26.38814217520502,38.59119,0.6255289,24.14511,0.3,0.02,0.28,0.022
20.5,20.495996,1.35950316,27.864371329347364,39.65864,0.6427069,25.47993,0.31,0.022,0.27,0.022
21.0,20.994571,1.3984763,29.3604099721673,40.7185,0.6599689,26.87966,0.36,0.019,0.28,0.02
21.5,21.494229,1.43661329,30.87889503970341,41.78164,0.6769382,28.28669,0.38,0.02,0.27,0.02
22.0,21.995337,1.4729555,32.3981526085035,42.77457,0.6933603,29.66142,0.36,0.019,0.33,0.02
22.5,22.495449,1.50833802,33.93074100367098,43.8002,0.7095429,31.08763,0.38,0.022,0.31,0.02
23.0,22.993885,1.54235776,35.4647969622976,44.79309,0.7256588,32.51087,0.34,0.019,0.33,0.02
23.5,23.493456,1.57628583,37.032401790528475,45.78545,0.7416821,33.9608,0.34,0.02,0.3,0.02
24.0,23.990968,1.6089981,38.6014219291608,46.74422,0.7573631,35.4033,0.36,0.02,0.31,0.02
24.5,24.489515,1.6424138,40.221917391307,47.70641,0.7731485,36.89046,0.38,0.02,0.33,0.019
25.0,24.988582,1.675483,41.867944335106,48.69105,0.7890384,38.42106,0.36,0.02,0.31,0.022
25.5,25.487325,1.70917592,43.562322155214,49.6831,0.8050531,39.98666,0.39,0.02,0.34,0.023
26.0,25.986804,1.74304425,45.296149288077004,50.68001,0.8210556,41.61044,0.36,0.022,0.36,0.022
26.5,26.485563,1.7770393,47.0658863336259,51.67234,0.8371617,43.25288,0.39,0.022,0.39,0.023
27.0,26.985297,1.8099679,48.8425213419663,52.62912,0.8526849,44.87367,0.39,0.022,0.41,0.022
27.5,27.484278,1.84287582,50.65011135635796,53.58689,0.8686965,46.5489,0.41,0.023,0.42,0.025
28.0,27.983962,1.87697612,52.52522841698743,54.57956,0.8845557,48.28061,0.41,0.023,0.44,0.025
