Time (s),V_PRI,V_SEC,V_IN
0.0,-93.95004416,-202.99998208,24.283750051200002
5e-10,-87.7000448,-196.74998272000002,24.283750051200002
1e-09,-81.45004544,-209.24998144,24.27750005184
1.5000000000000002e-09,-87.7000448,-202.99998208,24.27750005184
2e-09,-75.20004607999999,-202.99998208,24.252500054400002
2.5e-09,-75.20004607999999,-209.24998144,24.25875005376
3.0000000000000004e-09,-75.20004607999999,-215.4999808,24.252500054400002
3.5000000000000003e-09,-68.95004672000005,-209.24998144,24.24000005568
4e-09,-68.95004672000005,-209.24998144,24.23375005632
4.500000000000001e-09,-62.70004736000004,-209.24998144,24.20875005888
5e-09,-56.45004800000004,-209.24998144,24.20875005888
5.5000000000000004e-09,-56.45004800000004,-221.74998016,24.221250057600002
6.000000000000001e-09,-56.45004800000004,-209.24998144,24.22750005696
6.5e-09,-50.200048640000034,-215.4999808,24.252500054400002
7.000000000000001e-09,-37.700049920000026,-227.99997952,24.271250052480003
7.500000000000001e-09,-43.95004928000003,-227.99997952,24.302500049280003
8e-09,-31.450050560000022,-221.74998016,24.315000048
8.5e-09,-31.450050560000022,-215.4999808,24.32750004672
9.000000000000001e-09,-31.450050560000022,-221.74998016,24.32750004672
9.5e-09,-31.450050560000022,-215.4999808,24.32125004736
1e-08,-25.20005120000002,-209.24998144,24.29000005056
1.0500000000000001e-08,-18.950051840000015,-221.74998016,24.27750005184
1.1000000000000001e-08,-18.950051840000015,-221.74998016,24.25875005376
1.15e-08,-12.700052480000068,-221.74998016,24.24625005504
1.2000000000000002e-08,-12.700052480000068,-215.4999808,24.23375005632
1.2500000000000001e-08,-6.450053120000007,-215.4999808,24.221250057600002
1.3e-08,-6.450053120000007,-209.24998144,24.23375005632
1.35e-08,-6.450053120000007,-215.4999808,24.252500054400002
1.4000000000000001e-08,-0.2000537600000598,-209.24998144,24.25875005376
1.45e-08,6.049945600000001,-209.24998144,24.271250052480003
1.5000000000000002e-08,12.299944959999948,-215.4999808,24.27750005184
1.55e-08,12.299944959999948,-221.74998016,24.29000005056
1.6e-08,12.299944959999948,-209.24998144,24.29000005056
1.6500000000000002e-08,18.54994432000001,-209.24998144,24.29625004992
1.7e-08,18.54994432000001,-209.24998144,24.29625004992
1.75e-08,18.54994432000001,-209.24998144,24.302500049280003
1.8000000000000002e-08,31.049943040000016,-202.99998208,24.29000005056
1.85e-08,24.799943679999956,-209.24998144,24.29000005056
1.9e-08,31.049943040000016,-202.99998208,24.283750051200002
1.9500000000000003e-08,31.049943040000016,-202.99998208,24.271250052480003
2e-08,37.29994239999996,-196.74998272000002,24.25875005376
2.05e-08,43.549941760000024,-196.74998272000002,24.24000005568
2.1000000000000003e-08,43.549941760000024,-184.249984,24.252500054400002
2.15e-08,43.549941760000024,-190.49998336000002,24.27750005184
2.2000000000000002e-08,43.549941760000024,-177.99998464,24.29000005056
2.2500000000000003e-08,49.79994111999997,-190.49998336000002,24.30875004864
2.3e-08,62.29993983999998,-190.49998336000002,24.32125004736
2.3500000000000002e-08,56.04994048000003,-184.249984,24.32750004672
2.4000000000000003e-08,62.29993983999998,-177.99998464,24.32125004736
2.45e-08,68.54993920000004,-177.99998464,24.315000048
2.5000000000000002e-08,68.54993920000004,-177.99998464,24.30875004864
2.55e-08,62.29993983999998,-171.74998528,24.302500049280003
2.6e-08,74.79993855999999,-165.49998592,24.283750051200002
2.6500000000000002e-08,74.79993855999999,-171.74998528,24.283750051200002
2.7e-08,68.54993920000004,-165.49998592,24.27750005184
2.75e-08,81.04993791999993,-159.24998656,24.271250052480003
2.8000000000000003e-08,81.04993791999993,-152.99998720000002,24.26500005312
2.85e-08,87.29993728,-152.99998720000002,24.252500054400002
2.9e-08,87.29993728,-146.74998784000002,24.252500054400002
2.9500000000000003e-08,87.29993728,-152.99998720000002,24.26500005312
3.0000000000000004e-08,93.54993663999994,-146.74998784000002,24.271250052480003
3.05e-08,93.54993663999994,-146.74998784000002,24.29625004992
3.1e-08,99.799936,-146.74998784000002,24.30875004864
3.1500000000000004e-08,99.799936,-146.74998784000002,24.34000004544
3.2e-08,106.04993535999995,-134.24998912,24.352500044160003
3.25e-08,106.04993535999995,-127.99998976,24.35875004352
3.3000000000000004e-08,106.04993535999995,-134.24998912,24.35875004352
3.35e-08,106.04993535999995,-121.7499904,24.3462500448
3.4e-08,112.29993472000001,-115.49999104,24.32125004736
3.4500000000000005e-08,112.29993472000001,-115.49999104,24.302500049280003
3.5e-08,106.04993535999995,-115.49999104,24.283750051200002
