Time (s),V_TANK_IN,I_PRI,V_TANK_OUT
0.0,7.812506623999994,0.312499968,10.937494528000002
5e-10,7.812506623999994,0.2812499712,14.062494720000004
1e-09,3.1250063359999984,0.2499999744,14.062494720000004
1.5000000000000002e-09,3.1250063359999984,0.2499999744,14.062494720000004
2e-09,6.14399999676607e-06,0.21874997759999998,17.187494912000005
2.5e-09,-1.562493951999997,0.1874999808,17.187494912000005
3.0000000000000004e-09,-4.687494143999999,0.1249999872,15.624994815999997
3.5000000000000003e-09,-6.249994240000007,0.0937499904,18.749995008
4e-09,-7.812494336,0.0937499904,20.312495104000007
4.500000000000001e-09,-9.374994432000008,0.0624999936,20.312495104000007
5e-09,-10.937494528000002,0.0312499968,21.8749952
5.5000000000000004e-09,-14.062494720000004,0.0,21.8749952
6.000000000000001e-09,-14.062494720000004,-0.0312499968,24.999995392000002
6.5e-09,-17.187494912000005,-0.0624999936,24.999995392000002
7.000000000000001e-09,-18.749995008,-0.0937499904,26.562495487999996
7.500000000000001e-09,-21.8749952,-0.1249999872,24.999995392000002
8e-09,-21.8749952,-0.0937499904,26.562495487999996
8.5e-09,-23.43749529600001,-0.156249984,28.124995584000004
9.000000000000001e-09,-24.999995392000002,-0.1874999808,29.687495679999998
9.5e-09,-28.124995584000004,-0.1874999808,29.687495679999998
1e-08,-26.562495487999996,-0.2499999744,32.812495872
1.0500000000000001e-08,-28.124995584000004,-0.2812499712,32.812495872
1.1000000000000001e-08,-29.687495679999998,-0.2812499712,31.249995776000006
1.15e-08,-31.249995776000006,-0.3437499648,34.37499596800001
1.2000000000000002e-08,-32.812495872,-0.3437499648,35.937496064
1.2500000000000001e-08,-35.937496064,-0.3749999616,35.937496064
1.3e-08,-35.937496064,-0.3749999616,35.937496064
1.35e-08,-35.937496064,-0.43749995519999996,35.937496064
1.4000000000000001e-08,-37.49999616,-0.43749995519999996,37.49999616
1.45e-08,-39.062496256,-0.4999999488,37.49999616
1.5000000000000002e-08,-37.49999616,-0.4999999488,39.062496256
1.55e-08,-39.062496256,-0.5312499455999999,39.062496256
1.6e-08,-39.062496256,-0.5312499455999999,40.624996352000004
1.6500000000000002e-08,-40.624996352000004,-0.5937499392,40.624996352000004
1.7e-08,-39.062496256,-0.5937499392,40.624996352000004
1.75e-08,-39.062496256,-0.624999936,42.187496448000005
1.8000000000000002e-08,-40.624996352000004,-0.624999936,45.31249664
1.85e-08,-40.624996352000004,-0.6874999296,43.749996544
1.9e-08,-40.624996352000004,-0.7187499264,42.187496448000005
1.9500000000000003e-08,-40.624996352000004,-0.7187499264,43.749996544
2e-08,-40.624996352000004,-0.7499999232,45.31249664
2.05e-08,-39.062496256,-0.7499999232,43.749996544
2.1000000000000003e-08,-40.624996352000004,-0.7812499199999999,45.31249664
2.15e-08,-40.624996352000004,-0.7812499199999999,45.31249664
2.2000000000000002e-08,-39.062496256,-0.8124999168,48.437496832
2.2500000000000003e-08,-39.062496256,-0.8437499136,46.874996736
2.3e-08,-37.49999616,-0.8437499136,46.874996736
2.3500000000000002e-08,-39.062496256,-0.8749999103999999,45.31249664
2.4000000000000003e-08,-37.49999616,-0.9062499072,46.874996736
2.45e-08,-39.062496256,-0.9374999039999999,46.874996736
2.5000000000000002e-08,-37.49999616,-0.9062499072,46.874996736
2.55e-08,-39.062496256,-0.9062499072,46.874996736
2.6e-08,-35.937496064,-0.9374999039999999,49.999996928
2.6500000000000002e-08,-35.937496064,-0.9687499008,48.437496832
2.7e-08,-37.49999616,-0.9999998976,46.874996736
2.75e-08,-35.937496064,-0.9999998976,48.437496832
2.8000000000000003e-08,-37.49999616,-1.0312498944,49.999996928
2.85e-08,-37.49999616,-1.0312498944,46.874996736
2.9e-08,-37.49999616,-1.0312498944,48.437496832
2.9500000000000003e-08,-37.49999616,-1.0312498944,45.31249664
3.0000000000000004e-08,-35.937496064,-1.0312498944,49.999996928
3.05e-08,-37.49999616,-1.0624998911999999,49.999996928
3.1e-08,-35.937496064,-1.093749888,49.999996928
3.1500000000000004e-08,-39.062496256,-1.093749888,48.437496832
3.2e-08,-35.937496064,-1.0624998911999999,48.437496832
3.25e-08,-37.49999616,-1.1249998848,49.999996928
3.3000000000000004e-08,-37.49999616,-1.1249998848,48.437496832
3.35e-08,-37.49999616,-1.1249998848,46.874996736
3.4e-08,-37.49999616,-1.1249998848,48.437496832
3.4500000000000005e-08,-39.062496256,-1.1249998848,46.874996736
3.5e-08,-37.49999616,-1.1249998848,46.874996736
3.55e-08,-37.49999616,-1.1562498816,46.874996736
3.6000000000000005e-08,-39.062496256,-1.1562498816,46.874996736
3.65e-08,-39.062496256,-1.1249998848,45.31249664
3.7e-08,-39.062496256,-1.1249998848,45.31249664
3.7500000000000005e-08,-40.624996352000004,-1.1562498816,43.749996544
3.8e-08,-39.062496256,-1.1249998848,45.31249664
3.85e-08,-40.624996352000004,-1.1562498816,43.749996544
3.9000000000000005e-08,-42.187496448000005,-1.1874998784,45.31249664
3.95e-08,-42.187496448000005,-1.1562498816,42.187496448000005
