FET,LOAD,V_IN,I_IN,V_OUT,I_OUT,P_OUT,V_IN_PP,V_IN_AVG,I_PRI_AVG,I_PRI_PP,I_PRI_RMS,V_OUT_PP,V_OUT_AVG,I_SEC_PP,I_SEC_AVG,I_SEC_RMS,V_PRI_PP,V_SEC_PP,V_TANK_IN_PP,V_TANK_OUT_PP
IGB110S101,STPS360AF,25.055742,1.2102307,40.49001,0.6560374,26.55248,0.3,25.1641,-0.067,2.31,0.759,0.131,40.625,2.5,-0.044,0.849,244.0,480.0,275.0,103.0
IGB110S101,STPS360AF,25.050038,1.21012137,40.47186,0.6559049,26.54353,0.306,25.1681,-0.071,2.31,0.762,0.125,40.632,2.5,-0.039,0.845,238.0,520.0,269.0,109.0
IGB110S101,STPS360AF,25.053012,1.21136558,40.50158,0.6560941,26.58155,0.3,25.1558,-0.069,2.31,0.763,0.128,40.6558,2.5,-0.044,0.846,238.0,480.0,263.0,106.0
IGB110S101,STPS360AF,25.053533,1.21093902,40.4712,0.6557434,26.52987,0.288,25.1513,-0.062,2.31,0.764,0.125,40.6246,2.5,-0.042,0.846,238.0,500.0,269.0,106.0
IGB110S101,STPS360AF,25.039036,1.21230619,40.50401,0.6562814,26.58626,0.288,25.1653,-0.063,2.31,0.767,0.125,40.6612,2.5,-0.041,0.85,238.0,480.0,269.0,103.0
IGB110S101,STPS360AF,25.04545,1.21405655,40.53949,0.6569538,26.62606,0.288,25.1725,-0.072,2.31,0.77,0.122,40.6979,2.56,-0.037,0.848,244.0,520.0,263.0,103.0
IGB110S101,STPS360AF,25.052714,1.2159033,40.57216,0.6572627,26.67232,0.281,25.1772,-0.069,2.31,0.774,0.125,40.7378,2.5,-0.042,0.848,244.0,480.0,275.0,113.0
IGB110S101,STPS360AF,25.054071,1.2176946,40.61197,0.6579908,26.72271,0.294,25.1811,-0.066,2.38,0.781,0.122,40.7774,2.5,-0.044,0.852,244.0,480.0,263.0,106.0
IGB110S101,STPS360AF,25.056534,1.21986632,40.64976,0.6586242,26.7717,0.275,25.1646,-0.07,2.31,0.782,0.122,40.8124,2.56,-0.042,0.851,244.0,500.0,275.0,109.0
IGB110S101,STPS360AF,25.058274,1.22193061,40.68149,0.6593152,26.82199,0.288,25.191,-0.067,2.38,0.782,0.125,40.8402,2.56,-0.042,0.851,244.0,480.0,275.0,106.0
IGB110S101,STPS360AF,25.056002,1.22418103,40.72021,0.659881,26.86822,0.269,25.1783,-0.072,2.31,0.788,0.122,40.8725,2.56,-0.046,0.856,244.0,480.0,275.0,109.0
IGB110S101,STPS360AF,25.058926,1.22655336,40.75418,0.6604385,26.90987,0.269,25.1841,-0.071,2.38,0.792,0.116,40.9156,2.56,-0.044,0.851,238.0,500.0,275.0,106.0
IGB110S101,STPS360AF,25.060142,1.22901085,40.79481,0.6611558,26.96619,0.275,25.184,-0.067,2.38,0.798,0.116,40.9488,2.56,-0.041,0.852,238.0,480.0,269.0,106.0
IGB110S101,STPS360AF,25.060179,1.23153126,40.82426,0.6618562,27.01682,0.281,25.1905,-0.073,2.44,0.793,0.116,40.983,2.56,-0.04,0.852,238.0,500.0,269.0,106.0
IGB110S101,STPS360AF,25.060707,1.23476067,40.88875,0.6623421,27.08239,0.288,25.1876,-0.068,2.44,0.798,0.122,41.0193,2.63,-0.041,0.855,244.0,480.0,269.0,106.0
IGB110S101,STPS360AF,25.061546,1.23758589,40.92819,0.6628684,27.12784,0.294,25.1898,-0.069,2.5,0.807,0.128,41.081,2.5,-0.041,0.858,250.0,480.0,269.0,106.0
IGB110S101,STPS360AF,25.062123,1.24045874,40.9662,0.6638319,27.187,0.288,25.1839,-0.073,2.44,0.805,0.131,41.1268,2.56,-0.04,0.8523,244.0,500.0,275.0,106.0
IGB110S101,STPS360AF,25.061997,1.24330478,41.00586,0.6645939,27.25956,0.275,25.1891,-0.063,2.5,0.813,0.131,41.1629,2.56,-0.038,0.8573,244.0,500.0,275.0,109.0
IGB110S101,STPS360AF,25.061573,1.24594082,41.03694,0.6649241,27.28989,0.281,25.1845,-0.069,2.44,0.817,0.128,41.1922,2.56,-0.041,0.8612,244.0,520.0,275.0,109.0
IGB110S101,STPS360AF,25.059283,1.2495541,41.10815,0.6654044,27.35539,0.288,25.1775,-0.071,2.44,0.822,0.128,41.2656,2.63,-0.043,0.8627,244.0,500.0,275.0,106.0
IGB110S101,STPS360AF,25.057372,1.25152941,41.10831,0.6661854,27.38179,0.294,25.1798,-0.068,2.44,0.825,0.134,41.2642,2.56,-0.039,0.8571,244.0,500.0,275.0,106.0
