FET,LOAD,V_IN,I_IN,V_OUT,I_OUT,P_OUT,V_IN_PP,V_IN_AVG,I_PRI_AVG,I_PRI_PP,I_PRI_RMS,V_OUT_PP,V_OUT_AVG,I_SEC_PP,I_SEC_AVG,I_SEC_RMS,V_PRI_PP,V_SEC_PP,V_TANK_IN_PP,V_TANK_OUT_PP
IGB110S101,STPS360AF,25.066716,1.0151687,33.20149,0.6643967,22.06393,0.263,25.1641,-0.067,2.0,0.672,0.125,33.3285,2.56,-0.03,0.861,206.0,480.0,225.0,84.0
IGB110S101,STPS360AF,25.066848,1.02535749,33.56893,0.66457,22.30184,0.269,25.1779,-0.063,2.0,0.674,0.122,33.6987,2.56,-0.032,0.864,200.0,500.0,225.0,86.0
IGB110S101,STPS360AF,25.065816,1.0334309,33.86261,0.6642333,22.49619,0.256,25.1849,-0.071,2.13,0.676,0.125,33.994,2.56,-0.029,0.862,200.0,480.0,225.0,86.0
IGB110S101,STPS360AF,25.065807,1.04258865,34.19525,0.6638032,22.70205,0.263,25.1828,-0.069,2.13,0.683,0.125,34.3253,2.56,-0.031,0.861,213.0,480.0,225.0,88.0
IGB110S101,STPS360AF,25.065003,1.05171101,34.52791,0.6634462,22.90876,0.263,25.1802,-0.064,2.06,0.688,0.122,34.6622,2.56,-0.031,0.861,213.0,480.0,231.0,88.0
IGB110S101,STPS360AF,25.065575,1.06042709,34.8432,0.6633341,23.10713,0.263,25.1877,-0.071,2.13,0.695,0.122,34.9962,2.56,-0.036,0.861,213.0,480.0,238.0,94.0
IGB110S101,STPS360AF,25.065218,1.06890483,35.16388,0.6631475,23.31617,0.263,25.1816,-0.07,2.13,0.697,0.125,35.3049,2.56,-0.031,0.858,213.0,500.0,238.0,97.0
IGB110S101,STPS360AF,25.064679,1.077631,35.48859,0.6628399,23.52222,0.269,25.1828,-0.067,2.13,0.704,0.131,35.6212,2.56,-0.032,0.859,206.0,500.0,238.0,97.0
IGB110S101,STPS360AF,25.064797,1.08643742,35.79361,0.6625739,23.71419,0.256,25.1779,-0.065,2.13,0.71,0.128,35.9374,2.56,-0.028,0.857,219.0,500.0,231.0,97.0
IGB110S101,STPS360AF,25.06325,1.09533608,36.11412,0.6623965,23.92768,0.269,25.1741,-0.064,2.19,0.717,0.128,36.2377,2.56,-0.035,0.852,219.0,480.0,244.0,97.0
