FET,LOAD,V_IN,I_IN,V_OUT,I_OUT,P_OUT,V_IN_PP,V_IN_AVG,I_PRI_AVG,I_PRI_PP,I_PRI_RMS,V_OUT_PP,V_OUT_AVG,I_SEC_PP,I_SEC_AVG,I_SEC_RMS,V_PRI_PP,V_SEC_PP,V_TANK_IN_PP,V_TANK_OUT_PP
IGB110S101,STPS360AF,18.010379,0.834100529,28.4504,0.4604145,13.09719,0.219,18.0941,-0.035,1.56,0.5371,0.084,28.5637,1.81,-0.031,0.6,163.0,338.0,194.0,73.0
IGB110S101,STPS360AF,18.514195,0.859958595,29.27342,0.4744144,13.8836,0.231,18.5935,-0.031,1.66,0.5524,0.084,29.3831,1.81,-0.036,0.619,166.0,344.0,188.0,75.0
IGB110S101,STPS360AF,19.017917,0.887370131,30.15478,0.4887198,14.73648,0.231,19.1082,-0.03,1.69,0.567,0.088,30.2984,1.94,-0.038,0.637,172.0,356.0,213.0,78.0
IGB110S101,STPS360AF,19.52034,0.915080736,31.04318,0.50296,15.6128,0.225,19.6123,-0.065,1.81,0.5852,0.088,31.1713,1.94,-0.034,0.651,178.0,363.0,200.0,80.0
IGB110S101,STPS360AF,20.022926,0.942831055,31.92488,0.517136,16.51457,0.231,20.1228,-0.073,1.88,0.609,0.091,32.0503,2.06,-0.029,0.671,188.0,375.0,213.0,83.0
IGB110S101,STPS360AF,20.526362,0.969733155,32.77612,0.5314036,17.41875,0.25,20.6218,-0.069,1.94,0.622,0.097,32.9062,2.13,-0.029,0.691,200.0,410.0,219.0,84.0
IGB110S101,STPS360AF,21.028377,0.997547528,33.66295,0.5453784,18.35267,0.244,21.1241,-0.073,2.0,0.636,0.103,33.7996,2.19,-0.04,0.714,200.0,440.0,225.0,84.0
IGB110S101,STPS360AF,21.531978,1.02452656,34.52263,0.5593386,19.31229,0.256,21.6357,-0.064,2.0,0.661,0.1,34.653,2.19,-0.032,0.731,200.0,450.0,225.0,88.0
IGB110S101,STPS360AF,22.035509,1.0522411,35.39938,0.5733492,20.29864,0.238,22.133,-0.065,2.06,0.671,0.109,35.5336,2.19,-0.026,0.743,206.0,440.0,238.0,94.0
IGB110S101,STPS360AF,22.540598,1.08002877,36.28726,0.5877195,21.32845,0.256,22.6459,-0.066,2.13,0.696,0.113,36.3937,2.25,-0.032,0.764,213.0,450.0,238.0,97.0
IGB110S101,STPS360AF,23.045399,1.10745956,37.14426,0.6019172,22.35522,0.25,23.1508,-0.068,2.13,0.71,0.109,37.3054,2.31,-0.034,0.783,213.0,470.0,244.0,100.0
IGB110S101,STPS360AF,23.551404,1.13534861,38.02486,0.6161085,23.42949,0.281,23.6614,-0.073,2.19,0.729,0.113,38.1781,2.38,-0.027,0.801,225.0,480.0,244.0,100.0
IGB110S101,STPS360AF,24.056692,1.16226471,38.87503,0.6302177,24.49466,0.281,24.1668,-0.064,2.25,0.741,0.116,39.0249,2.44,-0.028,0.814,231.0,480.0,256.0,103.0
IGB110S101,STPS360AF,24.562082,1.19077824,39.79402,0.6447223,25.65698,0.275,24.6718,-0.069,2.25,0.759,0.122,39.9486,2.44,-0.028,0.834,244.0,480.0,256.0,103.0
IGB110S101,STPS360AF,25.067502,1.21835403,40.64824,0.6584857,26.77096,0.288,25.1757,-0.065,2.31,0.776,0.128,40.8052,2.56,-0.029,0.853,244.0,500.0,269.0,106.0
IGB110S101,STPS360AF,25.571445,1.246464,41.53312,0.6728129,27.94567,0.3,25.6871,-0.067,2.38,0.795,0.131,41.6957,2.56,-0.031,0.87,244.0,520.0,269.0,109.0
IGB110S101,STPS360AF,26.075956,1.27424548,42.41526,0.6872645,29.14349,0.306,26.1924,-0.07,2.5,0.819,0.131,42.566,2.56,-0.035,0.886,250.0,520.0,275.0,113.0
IGB110S101,STPS360AF,26.577881,1.30086874,43.24881,0.700821,30.3287,0.31,26.7256,-0.066,2.5,0.828,0.134,43.4253,2.69,-0.028,0.902,256.0,530.0,288.0,116.0
IGB110S101,STPS360AF,27.079671,1.32893476,44.13173,0.7150935,31.55725,0.33,27.2144,-0.066,2.5,0.847,0.134,44.2993,2.69,-0.034,0.924,269.0,530.0,300.0,116.0
IGB110S101,STPS360AF,27.578971,1.35699976,45.00742,0.7292578,32.81242,0.34,27.7001,-0.071,2.56,0.864,0.134,45.1822,2.81,-0.029,0.944,269.0,550.0,310.0,116.0
IGB110S101,STPS360AF,28.081942,1.38509183,45.88969,0.7433589,34.11435,0.34,28.2132,-0.07,2.63,0.879,0.141,46.0638,2.81,-0.028,0.957,269.0,550.0,330.0,122.0
