Frequency in Hz;Power in dBm
600000.0;-86.03
650253.8;-85.20
700507.6;-87.25
750761.4;-86.44
801015.2;-88.54
851269.0;-88.23
901522.8;-88.48
951776.6;-86.54
1002030.5;-90.03
1052284.3;-90.30
1102538.1;-90.96
1152791.9;-90.65
1203045.7;-92.01
1253299.5;-92.45
1303553.3;-92.58
1353807.1;-92.58
1404060.9;-92.48
1454314.7;-93.30
1504568.5;-92.41
1554822.3;-92.78
1605076.1;-92.85
1655329.9;-93.41
1705583.8;-94.88
1755837.6;-94.80
1806091.4;-95.04
1856345.2;-94.61
1906599.0;-94.53
1956852.8;-94.56
2007106.6;-94.83
2057360.4;-95.97
2107614.2;-95.15
2157868.0;-94.90
2208121.8;-95.71
2258375.6;-97.89
2308629.4;-95.31
2358883.2;-96.02
2409137.1;-95.88
2459390.9;-97.22
2509644.7;-96.60
2559898.5;-97.48
2610152.3;-96.71
2660406.1;-97.56
2710659.9;-96.35
2760913.7;-96.90
2811167.5;-97.42
2861421.3;-96.99
2911675.1;-96.55
2961928.9;-95.97
3012182.7;-97.04
3062436.5;-97.47
3112690.4;-98.39
3162944.2;-96.13
3213198.0;-97.36
3263451.8;-96.79
3313705.6;-97.32
3363959.4;-98.32
3414213.2;-97.71
3464467.0;-97.52
3514720.8;-98.44
3564974.6;-98.23
3615228.4;-99.01
3665482.2;-98.11
3715736.0;-98.54
3765989.8;-99.23
3816243.7;-99.09
3866497.5;-99.48
3916751.3;-99.03
3967005.1;-98.56
4017258.9;-98.04
4067512.7;-98.23
4117766.5;-99.67
4168020.3;-99.71
4218274.1;-98.63
4268527.9;-99.25
4318781.7;-99.61
4369035.5;-100.82
4419289.3;-101.46
4469543.1;-100.75
4519797.0;-99.55
4570050.8;-99.93
4620304.6;-99.92
4670558.4;-100.08
4720812.2;-100.28
4771066.0;-100.08
4821319.8;-100.01
4871573.6;-99.21
4921827.4;-100.00
4972081.2;-100.18
5022335.0;-101.05
5072588.8;-100.51
5122842.6;-99.39
5173096.4;-101.27
5223350.3;-100.35
5273604.1;-100.69
5323857.9;-100.23
5374111.7;-99.34
5424365.5;-100.84
5474619.3;-99.52
5524873.1;-99.94
5575126.9;-100.69
5625380.7;-100.57
5675634.5;-100.16
5725888.3;-100.30
5776142.1;-98.71
5826395.9;-100.79
5876649.7;-99.94
5926903.6;-99.42
5977157.4;-99.92
6027411.2;-99.69
6077665.0;-99.97
6127918.8;-99.29
6178172.6;-99.29
6228426.4;-100.17
6278680.2;-101.31
6328934.0;-99.74
6379187.8;-100.91
6429441.6;-99.81
6479695.4;-100.43
6529949.2;-100.10
6580203.0;-101.08
6630456.9;-99.40
6680710.7;-95.89
6730964.5;-61.32
6781218.3;-55.78
6831472.1;-99.12
6881725.9;-100.24
6931979.7;-100.08
6982233.5;-99.22
7032487.3;-100.49
7082741.1;-101.53
7132994.9;-99.58
7183248.7;-100.10
7233502.5;-101.11
7283756.3;-101.53
7334010.2;-101.31
7384264.0;-101.29
7434517.8;-101.72
7484771.6;-101.72
7535025.4;-101.41
7585279.2;-101.07
7635533.0;-102.26
7685786.8;-101.07
7736040.6;-102.69
7786294.4;-101.49
7836548.2;-101.36
7886802.0;-102.79
7937055.8;-102.18
7987309.6;-101.73
8037563.5;-102.27
8087817.3;-100.38
8138071.1;-100.33
8188324.9;-101.34
8238578.7;-102.10
8288832.5;-102.56
8339086.3;-102.37
8389340.1;-102.24
8439593.9;-102.65
