Frequency in Hz;Power in dBm
600000.0;-85.00
650253.8;-86.51
700507.6;-86.03
750761.4;-88.36
801015.2;-87.04
851269.0;-88.69
901522.8;-89.50
951776.6;-87.36
1002030.5;-88.56
1052284.3;-89.86
1102538.1;-90.77
1152791.9;-89.75
1203045.7;-91.19
1253299.5;-91.60
1303553.3;-91.08
1353807.1;-91.95
1404060.9;-91.73
1454314.7;-91.56
1504568.5;-93.40
1554822.3;-92.51
1605076.1;-92.35
1655329.9;-94.68
1705583.8;-93.11
1755837.6;-93.26
1806091.4;-93.57
1856345.2;-95.50
1906599.0;-94.71
1956852.8;-94.16
2007106.6;-95.15
2057360.4;-95.05
2107614.2;-95.04
2157868.0;-95.02
2208121.8;-94.90
2258375.6;-96.10
2308629.4;-95.43
2358883.2;-96.36
2409137.1;-96.00
2459390.9;-95.51
2509644.7;-96.19
2559898.5;-96.24
2610152.3;-96.02
2660406.1;-96.57
2710659.9;-96.05
2760913.7;-97.03
2811167.5;-95.88
2861421.3;-96.60
2911675.1;-96.11
2961928.9;-96.64
3012182.7;-96.20
3062436.5;-97.11
3112690.4;-96.58
3162944.2;-97.15
3213198.0;-97.50
3263451.8;-96.59
3313705.6;-97.29
3363959.4;-97.21
3414213.2;-97.84
3464467.0;-99.51
3514720.8;-97.88
3564974.6;-98.29
3615228.4;-98.79
3665482.2;-97.89
3715736.0;-98.87
3765989.8;-100.04
3816243.7;-99.74
3866497.5;-98.24
3916751.3;-99.18
3967005.1;-99.01
4017258.9;-99.50
4067512.7;-98.88
4117766.5;-100.53
4168020.3;-99.10
4218274.1;-98.93
4268527.9;-98.55
4318781.7;-99.97
4369035.5;-100.12
4419289.3;-99.08
4469543.1;-98.74
4519797.0;-100.12
4570050.8;-99.06
4620304.6;-100.48
4670558.4;-100.03
4720812.2;-99.86
4771066.0;-98.87
4821319.8;-98.83
4871573.6;-99.12
4921827.4;-99.81
4972081.2;-100.25
5022335.0;-99.39
5072588.8;-98.30
5122842.6;-99.82
5173096.4;-99.87
5223350.3;-101.58
5273604.1;-99.57
5323857.9;-99.15
5374111.7;-99.09
5424365.5;-98.95
5474619.3;-100.70
5524873.1;-100.63
5575126.9;-100.17
5625380.7;-99.78
5675634.5;-99.34
5725888.3;-99.41
5776142.1;-99.73
5826395.9;-98.98
5876649.7;-99.02
5926903.6;-99.87
5977157.4;-100.55
6027411.2;-100.03
6077665.0;-100.49
6127918.8;-100.36
6178172.6;-101.12
6228426.4;-100.75
6278680.2;-100.89
6328934.0;-99.32
6379187.8;-100.76
6429441.6;-100.33
6479695.4;-101.06
6529949.2;-99.53
6580203.0;-98.75
6630456.9;-90.71
6680710.7;-56.53
6730964.5;-96.20
6781218.3;-98.97
6831472.1;-99.78
6881725.9;-100.10
6931979.7;-100.87
6982233.5;-100.80
7032487.3;-100.88
7082741.1;-101.00
7132994.9;-100.37
7183248.7;-100.72
7233502.5;-101.14
7283756.3;-100.99
7334010.2;-101.53
7384264.0;-100.35
7434517.8;-100.26
7484771.6;-100.92
7535025.4;-101.06
