Time (s),V_DSA-V_DSB
0.0,-0.3125000192
5e-10,-0.1562500096
1e-09,-0.3125000192
1.5000000000000002e-09,-0.1562500096
2e-09,-0.1562500096
2.5e-09,-0.1562500096
3.0000000000000004e-09,-0.3125000192
3.5000000000000003e-09,-0.1562500096
4e-09,-0.1562500096
4.500000000000001e-09,-0.1562500096
5e-09,-0.1562500096
5.5000000000000004e-09,-0.1562500096
6.000000000000001e-09,-0.3125000192
6.5e-09,-0.1562500096
7.000000000000001e-09,-0.1562500096
7.500000000000001e-09,-0.1562500096
8e-09,-0.1562500096
8.5e-09,-0.1562500096
9.000000000000001e-09,-0.3125000192
9.5e-09,-0.1562500096
1e-08,-0.1562500096
1.0500000000000001e-08,-0.1562500096
1.1000000000000001e-08,-0.3125000192
1.15e-08,-0.1562500096
1.2000000000000002e-08,-0.3125000192
1.2500000000000001e-08,-0.1562500096
1.3e-08,-0.3125000192
1.35e-08,-0.3125000192
1.4000000000000001e-08,-0.3125000192
1.45e-08,-0.1562500096
1.5000000000000002e-08,-0.1562500096
1.55e-08,0.0
1.6e-08,-0.1562500096
1.6500000000000002e-08,-0.3125000192
1.7e-08,-0.3125000192
1.75e-08,-0.3125000192
1.8000000000000002e-08,-0.1562500096
1.85e-08,0.0
1.9e-08,-0.1562500096
1.9500000000000003e-08,-0.3125000192
2e-08,-0.1562500096
2.05e-08,-0.3125000192
2.1000000000000003e-08,-0.1562500096
2.15e-08,-0.3125000192
2.2000000000000002e-08,-0.1562500096
2.2500000000000003e-08,-0.1562500096
2.3e-08,-0.1562500096
2.3500000000000002e-08,-0.1562500096
2.4000000000000003e-08,-0.1562500096
2.45e-08,-0.3125000192
2.5000000000000002e-08,-0.3125000192
2.55e-08,-0.1562500096
2.6e-08,-0.1562500096
2.6500000000000002e-08,-0.1562500096
2.7e-08,-0.1562500096
2.75e-08,-0.1562500096
2.8000000000000003e-08,-0.1562500096
2.85e-08,-0.1562500096
2.9e-08,-0.3125000192
2.9500000000000003e-08,-0.3125000192
3.0000000000000004e-08,-0.1562500096
3.05e-08,-0.1562500096
3.1e-08,-0.3125000192
3.1500000000000004e-08,-0.1562500096
3.2e-08,-0.1562500096
3.25e-08,-0.3125000192
3.3000000000000004e-08,-0.3125000192
3.35e-08,-0.3125000192
3.4e-08,-0.1562500096
3.4500000000000005e-08,-0.1562500096
3.5e-08,-0.3125000192
3.55e-08,-0.1562500096
3.6000000000000005e-08,-0.3125000192
3.65e-08,-0.3125000192
3.7e-08,-0.1562500096
3.7500000000000005e-08,-0.1562500096
3.8e-08,-0.3125000192
3.85e-08,-0.3125000192
3.9000000000000005e-08,-0.3125000192
3.95e-08,-0.1562500096
4e-08,-0.3125000192
4.0500000000000005e-08,-0.3125000192
4.1e-08,-0.3125000192
4.15e-08,-0.3125000192
4.2000000000000006e-08,-0.1562500096
4.2500000000000003e-08,-0.1562500096
4.3e-08,-0.1562500096
4.3500000000000006e-08,-0.1562500096
4.4000000000000004e-08,-0.3125000192
4.45e-08,-0.1562500096
4.5000000000000006e-08,-0.3125000192
4.5500000000000004e-08,-0.1562500096
4.6e-08,-0.1562500096
4.6500000000000006e-08,-0.1562500096
4.7000000000000004e-08,-0.1562500096
4.75e-08,-0.1562500096
4.8000000000000006e-08,-0.1562500096
4.8500000000000004e-08,-0.1562500096
4.9e-08,-0.46875002879999994
4.95e-08,-0.3125000192
5.0000000000000004e-08,-0.1562500096
5.05e-08,-0.1562500096
5.1e-08,-0.3125000192
5.1500000000000005e-08,-0.3125000192
5.2e-08,-0.3125000192
5.25e-08,-0.1562500096
5.3000000000000005e-08,-0.1562500096
5.35e-08,-0.3125000192
5.4e-08,-0.1562500096
5.4500000000000005e-08,-0.1562500096
5.5e-08,-0.3125000192
5.55e-08,-0.1562500096
5.6000000000000005e-08,-0.3125000192
5.65e-08,-0.3125000192
5.7e-08,-0.3125000192
5.7500000000000005e-08,-0.1562500096
5.8e-08,-0.1562500096
5.85e-08,-0.1562500096
5.9000000000000006e-08,-0.1562500096
5.9500000000000003e-08,-0.1562500096
6.000000000000001e-08,-0.3125000192
6.05e-08,-0.3125000192
6.1e-08,-0.3125000192
6.15e-08,-0.3125000192
6.2e-08,-0.1562500096
6.250000000000001e-08,-0.1562500096
6.300000000000001e-08,-0.1562500096
6.35e-08,-0.1562500096
6.4e-08,-0.1562500096
6.45e-08,-0.3125000192
6.5e-08,-0.3125000192
6.55e-08,-0.3125000192
6.600000000000001e-08,0.0
6.65e-08,-0.1562500096
6.7e-08,-0.3125000192
6.75e-08,-0.1562500096
6.8e-08,-0.1562500096
6.85e-08,0.0
6.900000000000001e-08,-0.3125000192
6.950000000000001e-08,0.0
7e-08,-0.1562500096
7.05e-08,0.0
7.1e-08,-0.3125000192
7.15e-08,-0.1562500096
7.200000000000001e-08,-0.3125000192
7.250000000000001e-08,-0.3125000192
7.3e-08,-0.46875002879999994
7.35e-08,-0.1562500096
7.4e-08,-0.1562500096
7.45e-08,-0.1562500096
7.500000000000001e-08,-0.1562500096
7.550000000000001e-08,-0.1562500096
7.6e-08,-0.1562500096
7.65e-08,-0.1562500096
7.7e-08,-0.1562500096
7.75e-08,-0.1562500096
7.800000000000001e-08,-0.1562500096
7.850000000000001e-08,-0.1562500096
7.9e-08,-0.3125000192
7.95e-08,-0.1562500096
8e-08,-0.1562500096
8.05e-08,-0.1562500096
8.100000000000001e-08,-0.3125000192
8.150000000000001e-08,-0.1562500096
8.2e-08,-0.1562500096
8.25e-08,-0.1562500096
8.3e-08,-0.3125000192
8.35e-08,-0.1562500096
8.400000000000001e-08,-0.1562500096
8.450000000000001e-08,0.0
8.500000000000001e-08,-0.3125000192
8.55e-08,-0.1562500096
8.6e-08,-0.1562500096
8.65e-08,-0.1562500096
8.700000000000001e-08,0.0
8.750000000000001e-08,-0.1562500096
8.800000000000001e-08,-0.1562500096
8.85e-08,-0.1562500096
8.9e-08,-0.3125000192
8.95e-08,-0.1562500096
9.000000000000001e-08,-0.1562500096
9.050000000000001e-08,-0.1562500096
9.100000000000001e-08,-0.3125000192
9.15e-08,-0.1562500096
9.2e-08,-0.1562500096
9.25e-08,-0.1562500096
9.300000000000001e-08,-0.1562500096
9.350000000000001e-08,-0.1562500096
9.400000000000001e-08,-0.1562500096
9.45e-08,0.0
9.5e-08,-0.1562500096
9.55e-08,-0.1562500096
9.600000000000001e-08,-0.1562500096
9.650000000000001e-08,-0.1562500096
9.700000000000001e-08,-0.1562500096
9.75e-08,-0.1562500096
9.8e-08,-0.1562500096
9.85e-08,-0.1562500096
9.9e-08,-0.1562500096
9.950000000000001e-08,-0.3125000192
1.0000000000000001e-07,-0.3125000192
1.005e-07,-0.1562500096
1.01e-07,-0.1562500096
1.015e-07,-0.1562500096
1.02e-07,-0.1562500096
1.0250000000000001e-07,-0.1562500096
1.0300000000000001e-07,-0.1562500096
1.0350000000000001e-07,-0.1562500096
1.04e-07,-0.1562500096
1.045e-07,-0.3125000192
1.05e-07,-0.3125000192
1.0550000000000001e-07,-0.1562500096
1.0600000000000001e-07,-0.1562500096
1.0650000000000001e-07,-0.1562500096
1.07e-07,-0.3125000192
1.075e-07,-0.1562500096
1.08e-07,-0.3125000192
1.0850000000000001e-07,0.0
1.0900000000000001e-07,-0.3125000192
1.0950000000000001e-07,-0.1562500096
1.1e-07,-0.1562500096
1.105e-07,-0.1562500096
1.11e-07,-0.1562500096
1.1150000000000001e-07,0.0
1.1200000000000001e-07,0.0
1.1250000000000001e-07,-0.1562500096
1.13e-07,-0.46875002879999994
1.135e-07,-0.3125000192
1.14e-07,-0.1562500096
1.1450000000000001e-07,0.0
1.1500000000000001e-07,-0.3125000192
1.1550000000000001e-07,-0.1562500096
1.16e-07,-0.1562500096
1.165e-07,-0.1562500096
1.17e-07,-0.3125000192
1.1750000000000001e-07,-0.1562500096
1.1800000000000001e-07,-0.1562500096
1.1850000000000001e-07,-0.3125000192
1.1900000000000001e-07,-0.3125000192
1.195e-07,-0.1562500096
1.2000000000000002e-07,-0.1562500096
1.205e-07,-0.1562500096
1.21e-07,-0.1562500096
1.215e-07,-0.1562500096
1.22e-07,-0.1562500096
1.2250000000000002e-07,-0.1562500096
1.23e-07,-0.1562500096
1.2350000000000001e-07,-0.1562500096
1.24e-07,-0.1562500096
1.245e-07,-0.1562500096
1.2500000000000002e-07,-0.3125000192
1.255e-07,-0.1562500096
