Frequency in Hz;Power in dBm
600000.0;-85.97
650253.8;-86.13
700507.6;-86.03
750761.4;-88.42
801015.2;-87.44
851269.0;-88.42
901522.8;-88.08
951776.6;-84.34
1002030.5;-89.58
1052284.3;-90.48
1102538.1;-89.84
1152791.9;-90.46
1203045.7;-92.27
1253299.5;-92.19
1303553.3;-92.26
1353807.1;-92.46
1404060.9;-91.96
1454314.7;-93.82
1504568.5;-92.86
1554822.3;-93.81
1605076.1;-93.64
1655329.9;-93.51
1705583.8;-94.74
1755837.6;-93.54
1806091.4;-94.16
1856345.2;-95.13
1906599.0;-94.35
1956852.8;-94.63
2007106.6;-93.88
2057360.4;-94.76
2107614.2;-95.97
2157868.0;-96.23
2208121.8;-96.16
2258375.6;-95.45
2308629.4;-95.82
2358883.2;-95.85
2409137.1;-95.58
2459390.9;-96.06
2509644.7;-96.75
2559898.5;-96.76
2610152.3;-96.40
2660406.1;-96.85
2710659.9;-96.17
2760913.7;-96.53
2811167.5;-96.77
2861421.3;-96.56
2911675.1;-96.74
2961928.9;-96.55
3012182.7;-96.14
3062436.5;-97.19
3112690.4;-97.16
3162944.2;-96.81
3213198.0;-97.30
3263451.8;-96.59
3313705.6;-97.32
3363959.4;-97.58
3414213.2;-97.93
3464467.0;-96.55
3514720.8;-99.34
3564974.6;-97.30
3615228.4;-97.23
3665482.2;-98.38
3715736.0;-97.04
3765989.8;-97.84
3816243.7;-97.92
3866497.5;-98.18
3916751.3;-97.96
3967005.1;-98.39
4017258.9;-98.36
4067512.7;-98.87
4117766.5;-98.54
4168020.3;-97.66
4218274.1;-97.63
4268527.9;-99.34
4318781.7;-99.01
4369035.5;-99.23
4419289.3;-99.20
4469543.1;-98.10
4519797.0;-99.88
4570050.8;-98.82
4620304.6;-98.85
4670558.4;-98.74
4720812.2;-98.78
4771066.0;-99.04
4821319.8;-98.83
4871573.6;-98.55
4921827.4;-97.91
4972081.2;-98.46
5022335.0;-99.47
5072588.8;-97.55
5122842.6;-96.98
5173096.4;-97.69
5223350.3;-98.55
5273604.1;-99.34
5323857.9;-97.70
5374111.7;-97.38
5424365.5;-96.33
5474619.3;-97.49
5524873.1;-98.33
5575126.9;-96.46
5625380.7;-96.58
5675634.5;-97.02
5725888.3;-96.90
5776142.1;-96.34
5826395.9;-96.40
5876649.7;-96.61
5926903.6;-94.84
5977157.4;-95.87
6027411.2;-95.36
6077665.0;-95.47
6127918.8;-93.87
6178172.6;-93.03
6228426.4;-93.81
6278680.2;-92.52
6328934.0;-91.05
6379187.8;-89.21
6429441.6;-89.39
6479695.4;-86.97
6529949.2;-85.00
6580203.0;-83.33
6630456.9;-80.10
6680710.7;-71.43
6730964.5;-34.38
6781218.3;-28.98
6831472.1;-74.10
6881725.9;-79.79
6931979.7;-82.86
6982233.5;-85.62
7032487.3;-87.77
7082741.1;-89.91
7132994.9;-90.01
7183248.7;-91.04
7233502.5;-92.12
7283756.3;-93.68
7334010.2;-93.82
7384264.0;-93.40
7434517.8;-94.79
7484771.6;-95.69
7535025.4;-95.20
7585279.2;-96.69
7635533.0;-96.24
7685786.8;-97.39
7736040.6;-97.37
7786294.4;-97.98
7836548.2;-97.37
7886802.0;-97.61
7937055.8;-98.82
7987309.6;-97.72
8037563.5;-99.56
8087817.3;-98.80
8138071.1;-99.32
8188324.9;-98.75
8238578.7;-98.52
8288832.5;-99.27
8339086.3;-98.16
8389340.1;-99.76
8439593.9;-100.21
8489847.7;-99.67
8540101.5;-100.28
8590355.3;-100.90
8640609.1;-99.87
8690862.9;-100.25
8741116.8;-100.21
8791370.6;-101.20
8841624.4;-99.30
8891878.2;-100.07
8942132.0;-101.27
8992385.8;-102.08
9042639.6;-101.16
9092893.4;-101.36
9143147.2;-102.22
9193401.0;-102.20
9243654.8;-100.68
9293908.6;-100.50
9344162.4;-100.72
9394416.2;-101.66
9444670.1;-102.08
9494923.9;-101.21
9545177.7;-101.55
9595431.5;-101.08
9645685.3;-100.83
9695939.1;-101.79
9746192.9;-102.73
9796446.7;-102.77
9846700.5;-101.85
9896954.3;-101.96
9947208.1;-102.56
9997461.9;-101.97
10047715.7;-101.59
10097969.5;-102.16
10148223.4;-102.01
10198477.2;-102.33
10248731.0;-101.88
10298984.8;-102.81
10349238.6;-101.99
10399492.4;-101.92
10449746.2;-101.48
10500000.0;-101.48
10550253.8;-101.98
10600507.6;-102.51
10650761.4;-102.86
10701015.2;-102.53
10751269.0;-102.49
10801522.8;-103.38
10851776.6;-102.71
10902030.5;-103.46
10952284.3;-102.25
11002538.1;-102.50
11052791.9;-102.44
11103045.7;-103.84
11153299.5;-104.59
11203553.3;-103.85
11253807.1;-102.89
11304060.9;-103.20
11354314.7;-104.18
11404568.5;-102.74
11454822.3;-102.25
11505076.1;-102.25
11555329.9;-103.26
11605583.8;-103.37
11655837.6;-103.43
11706091.4;-103.11
11756345.2;-102.00
11806599.0;-102.68
11856852.8;-102.70
11907106.6;-102.54
11957360.4;-102.23
12007614.2;-102.78
12057868.0;-102.61
12108121.8;-102.02
12158375.6;-103.45
