Frequency in Hz;Power in dBm
600000.0;-85.13
650253.8;-85.77
700507.6;-86.52
750761.4;-86.88
801015.2;-87.06
851269.0;-87.08
901522.8;-88.81
951776.6;-86.98
1002030.5;-90.70
1052284.3;-88.48
1102538.1;-90.76
1152791.9;-91.23
1203045.7;-92.94
1253299.5;-91.10
1303553.3;-92.04
1353807.1;-92.37
1404060.9;-91.11
1454314.7;-93.61
1504568.5;-92.95
1554822.3;-91.62
1605076.1;-93.00
1655329.9;-93.97
1705583.8;-93.39
1755837.6;-93.23
1806091.4;-93.16
1856345.2;-94.12
1906599.0;-95.22
1956852.8;-94.59
2007106.6;-94.62
2057360.4;-95.02
2107614.2;-94.83
2157868.0;-95.59
2208121.8;-95.52
2258375.6;-95.13
2308629.4;-96.49
2358883.2;-96.95
2409137.1;-97.38
2459390.9;-96.00
2509644.7;-96.05
2559898.5;-95.52
2610152.3;-97.75
2660406.1;-95.64
2710659.9;-96.19
2760913.7;-96.17
2811167.5;-96.29
2861421.3;-95.36
2911675.1;-96.22
2961928.9;-97.51
3012182.7;-96.74
3062436.5;-97.67
3112690.4;-96.78
3162944.2;-96.08
3213198.0;-96.59
3263451.8;-97.75
3313705.6;-96.56
3363959.4;-96.68
3414213.2;-96.51
3464467.0;-97.39
3514720.8;-96.40
3564974.6;-97.95
3615228.4;-99.04
3665482.2;-97.47
3715736.0;-97.41
3765989.8;-98.73
3816243.7;-98.80
3866497.5;-97.72
3916751.3;-98.94
3967005.1;-98.71
4017258.9;-97.93
4067512.7;-98.14
4117766.5;-97.88
4168020.3;-97.92
4218274.1;-98.57
4268527.9;-99.32
4318781.7;-98.64
4369035.5;-98.88
4419289.3;-99.50
4469543.1;-99.58
4519797.0;-98.39
4570050.8;-98.20
4620304.6;-98.53
4670558.4;-98.94
4720812.2;-99.94
4771066.0;-98.71
4821319.8;-97.97
4871573.6;-98.48
4921827.4;-97.93
4972081.2;-98.00
5022335.0;-97.75
5072588.8;-98.49
5122842.6;-97.78
5173096.4;-98.77
5223350.3;-98.95
5273604.1;-98.32
5323857.9;-98.41
5374111.7;-98.09
5424365.5;-97.98
5474619.3;-97.48
5524873.1;-96.95
5575126.9;-97.95
5625380.7;-97.35
5675634.5;-95.64
5725888.3;-96.09
5776142.1;-95.34
5826395.9;-96.24
5876649.7;-95.51
5926903.6;-96.43
5977157.4;-95.93
6027411.2;-96.21
6077665.0;-94.20
6127918.8;-95.47
6178172.6;-93.15
6228426.4;-94.24
6278680.2;-93.60
6328934.0;-91.13
6379187.8;-90.90
6429441.6;-88.16
6479695.4;-88.06
6529949.2;-86.71
6580203.0;-85.62
6630456.9;-82.23
6680710.7;-77.93
6730964.5;-65.47
6781218.3;-28.46
6831472.1;-71.25
6881725.9;-78.94
6931979.7;-81.82
6982233.5;-83.90
7032487.3;-88.00
7082741.1;-87.51
7132994.9;-88.75
7183248.7;-91.21
7233502.5;-92.51
7283756.3;-92.27
7334010.2;-91.85
7384264.0;-93.51
7434517.8;-94.41
7484771.6;-95.06
7535025.4;-95.96
7585279.2;-95.54
7635533.0;-95.18
7685786.8;-96.03
7736040.6;-97.25
7786294.4;-98.57
7836548.2;-97.64
7886802.0;-98.18
7937055.8;-98.09
7987309.6;-97.69
8037563.5;-99.12
8087817.3;-99.44
8138071.1;-99.46
8188324.9;-99.56
8238578.7;-99.83
8288832.5;-100.06
8339086.3;-100.75
8389340.1;-99.27
8439593.9;-99.97
8489847.7;-100.27
8540101.5;-100.01
8590355.3;-101.06
8640609.1;-99.84
8690862.9;-101.59
8741116.8;-99.82
8791370.6;-99.49
8841624.4;-100.58
8891878.2;-100.49
8942132.0;-101.49
8992385.8;-101.45
9042639.6;-99.54
9092893.4;-100.93
9143147.2;-101.02
9193401.0;-101.69
9243654.8;-100.72
9293908.6;-100.56
9344162.4;-101.01
9394416.2;-101.08
9444670.1;-101.29
9494923.9;-101.78
9545177.7;-101.49
9595431.5;-100.85
9645685.3;-101.54
9695939.1;-102.44
9746192.9;-102.67
9796446.7;-101.91
9846700.5;-102.21
9896954.3;-101.56
9947208.1;-101.04
9997461.9;-101.59
10047715.7;-101.87
10097969.5;-102.50
10148223.4;-102.10
10198477.2;-102.52
10248731.0;-101.49
10298984.8;-102.72
10349238.6;-102.47
10399492.4;-101.55
10449746.2;-102.06
10500000.0;-103.01
10550253.8;-102.13
10600507.6;-101.93
10650761.4;-101.73
10701015.2;-102.13
10751269.0;-103.02
10801522.8;-102.47
10851776.6;-102.35
10902030.5;-102.18
10952284.3;-101.83
11002538.1;-101.52
11052791.9;-103.41
11103045.7;-103.48
11153299.5;-104.00
11203553.3;-103.72
11253807.1;-103.53
11304060.9;-102.76
11354314.7;-102.74
11404568.5;-103.13
11454822.3;-103.43
11505076.1;-103.61
11555329.9;-103.48
11605583.8;-103.41
11655837.6;-103.78
11706091.4;-102.32
11756345.2;-103.43
11806599.0;-102.69
11856852.8;-103.25
11907106.6;-103.74
11957360.4;-102.01
12007614.2;-101.28
12057868.0;-103.38
12108121.8;-102.64
12158375.6;-103.01
12208629.4;-103.27
12258883.2;-103.94
12309137.1;-103.59
12359390.9;-104.44
12409644.7;-103.57
12459898.5;-102.56
12510152.3;-103.02
12560406.1;-103.20
12610659.9;-103.54
12660913.7;-103.42
12711167.5;-103.83
12761421.3;-104.03
12811675.1;-103.79
12861928.9;-103.22
12912182.7;-104.06
12962436.5;-104.15
13012690.4;-103.28
13062944.2;-103.57
13113198.0;-103.48
13163451.8;-103.85
13213705.6;-102.54
13263959.4;-103.19
13314213.2;-102.93
13364467.0;-103.64
13414720.8;-102.65
13464974.6;-104.07
13515228.4;-96.99
13565482.2;-70.53
13615736.0;-80.25
13665989.8;-104.72
13716243.7;-103.81
13766497.5;-103.95
13816751.3;-103.81
13867005.1;-103.71
13917258.9;-103.13
13967512.7;-103.29
14017766.5;-103.99
14068020.3;-104.00
14118274.1;-104.12
14168527.9;-104.82
14218781.7;-104.15
14269035.5;-103.32
14319289.3;-104.16
14369543.1;-104.92
14419797.0;-104.63
14470050.8;-103.49
14520304.6;-103.10
14570558.4;-103.11
14620812.2;-101.93
14671066.0;-100.78
14721319.8;-103.19
14771573.6;-104.01
14821827.4;-103.57
14872081.2;-103.69
14922335.0;-104.51
14972588.8;-103.83
15022842.6;-103.59
15073096.4;-103.95
15123350.3;-104.06
15173604.1;-103.98
15223857.9;-104.59
15274111.7;-104.93
15324365.5;-104.87
15374619.3;-103.72
15424873.1;-103.32
15475126.9;-104.59
15525380.7;-104.60
15575634.5;-104.78
15625888.3;-105.01
15676142.1;-103.75
15726395.9;-104.93
15776649.7;-104.71
15826903.6;-104.07
15877157.4;-103.74
15927411.2;-104.33
15977665.0;-105.28
16027918.8;-105.02
16078172.6;-105.15
16128426.4;-104.01
16178680.2;-104.07
16228934.0;-104.41
16279187.8;-104.44
16329441.6;-104.17
16379695.4;-104.24
16429949.2;-103.97
16480203.0;-104.38
16530456.9;-104.15
16580710.7;-105.64
16630964.5;-105.10
16681218.3;-105.43
16731472.1;-104.37
16781725.9;-105.46
16831979.7;-105.64
16882233.5;-103.83
16932487.3;-104.70
16982741.1;-105.54
17032994.9;-104.75
17083248.7;-104.60
17133502.5;-104.92
17183756.3;-104.65
17234010.2;-104.08
17284264.0;-104.46
17334517.8;-104.70
17384771.6;-104.57
17435025.4;-105.20
17485279.2;-105.24
17535533.0;-104.74
17585786.8;-104.77
17636040.6;-104.56
17686294.4;-104.31
17736548.2;-104.36
17786802.0;-104.40
17837055.8;-104.59
17887309.6;-104.85
17937563.5;-104.65
17987817.3;-103.85
18038071.1;-104.17
18088324.9;-104.85
18138578.7;-104.39
18188832.5;-104.12
18239086.3;-104.20
18289340.1;-104.93
18339593.9;-105.27
18389847.7;-104.98
18440101.5;-105.23
18490355.3;-105.66
18540609.1;-104.50
18590862.9;-104.57
18641116.8;-104.65
18691370.6;-104.38
18741624.4;-104.69
18791878.2;-104.96
18842132.0;-105.03
18892385.8;-105.68
18942639.6;-105.29
18992893.4;-104.45
19043147.2;-104.04
19093401.0;-104.78
19143654.8;-105.03
19193908.6;-105.07
19244162.4;-101.13
19294416.2;-98.46
19344670.1;-104.52
19394923.9;-105.02
19445177.7;-105.07
19495431.5;-105.54
19545685.3;-104.61
19595939.1;-104.29
19646192.9;-104.85
19696446.7;-104.46
19746700.5;-104.49
19796954.3;-105.15
19847208.1;-104.17
