Frequency in Hz;Power in dBm
600000.0;-85.30
650253.8;-86.66
700507.6;-86.58
750761.4;-86.63
801015.2;-88.97
851269.0;-88.03
901522.8;-88.44
951776.6;-85.79
1002030.5;-89.60
1052284.3;-90.91
1102538.1;-89.85
1152791.9;-91.13
1203045.7;-91.31
1253299.5;-91.68
1303553.3;-92.79
1353807.1;-90.99
1404060.9;-92.17
1454314.7;-92.71
1504568.5;-93.37
1554822.3;-93.93
1605076.1;-93.95
1655329.9;-93.96
1705583.8;-93.17
1755837.6;-94.05
1806091.4;-94.30
1856345.2;-94.53
1906599.0;-95.74
1956852.8;-94.56
2007106.6;-95.42
2057360.4;-94.34
2107614.2;-95.53
2157868.0;-94.83
2208121.8;-95.02
2258375.6;-94.42
2308629.4;-96.39
2358883.2;-96.53
2409137.1;-96.22
2459390.9;-96.16
2509644.7;-95.87
2559898.5;-96.35
2610152.3;-96.72
2660406.1;-96.30
2710659.9;-98.15
2760913.7;-96.98
2811167.5;-96.80
2861421.3;-96.81
2911675.1;-96.85
2961928.9;-97.79
3012182.7;-97.11
3062436.5;-97.49
3112690.4;-96.22
3162944.2;-95.56
3213198.0;-97.13
3263451.8;-98.04
3313705.6;-98.74
3363959.4;-96.42
3414213.2;-98.46
3464467.0;-97.48
3514720.8;-98.06
3564974.6;-97.94
3615228.4;-98.64
3665482.2;-98.40
3715736.0;-97.90
3765989.8;-98.43
3816243.7;-97.30
3866497.5;-97.47
3916751.3;-99.07
3967005.1;-99.66
4017258.9;-99.60
4067512.7;-99.61
4117766.5;-99.45
4168020.3;-99.18
4218274.1;-100.37
4268527.9;-99.99
4318781.7;-99.08
4369035.5;-98.96
4419289.3;-100.03
4469543.1;-99.98
4519797.0;-101.17
4570050.8;-99.68
4620304.6;-98.78
4670558.4;-99.79
4720812.2;-99.00
4771066.0;-98.29
4821319.8;-99.99
4871573.6;-100.41
4921827.4;-99.03
4972081.2;-100.28
5022335.0;-101.42
5072588.8;-100.03
5122842.6;-99.58
5173096.4;-100.10
5223350.3;-98.87
5273604.1;-100.21
5323857.9;-100.60
5374111.7;-100.70
5424365.5;-99.44
5474619.3;-98.73
5524873.1;-100.41
5575126.9;-100.33
5625380.7;-99.34
5675634.5;-100.19
5725888.3;-99.46
5776142.1;-98.84
5826395.9;-100.31
5876649.7;-99.97
5926903.6;-98.78
5977157.4;-99.72
6027411.2;-101.29
6077665.0;-98.93
6127918.8;-99.41
6178172.6;-101.67
6228426.4;-99.30
6278680.2;-99.29
6328934.0;-99.76
6379187.8;-100.17
6429441.6;-101.18
6479695.4;-102.20
6529949.2;-100.38
6580203.0;-100.05
6630456.9;-100.31
6680710.7;-99.95
6730964.5;-95.74
6781218.3;-88.25
6831472.1;-101.33
6881725.9;-101.04
6931979.7;-100.64
6982233.5;-101.49
7032487.3;-100.81
7082741.1;-101.20
7132994.9;-100.37
7183248.7;-99.86
7233502.5;-100.31
7283756.3;-100.47
7334010.2;-101.03
7384264.0;-101.18
7434517.8;-100.97
7484771.6;-100.26
7535025.4;-101.13
7585279.2;-100.94
7635533.0;-100.31
7685786.8;-101.06
7736040.6;-102.03
7786294.4;-101.63
7836548.2;-101.57
7886802.0;-101.95
7937055.8;-101.85
