Frequency in Hz;Power in dBm
600000.0;-85.10
650253.8;-87.28
700507.6;-85.20
750761.4;-87.68
801015.2;-87.27
851269.0;-88.27
901522.8;-87.71
951776.6;-85.38
1002030.5;-89.53
1052284.3;-89.21
1102538.1;-90.17
1152791.9;-90.89
1203045.7;-91.95
1253299.5;-91.25
1303553.3;-91.26
1353807.1;-91.27
1404060.9;-92.54
1454314.7;-93.64
1504568.5;-91.84
1554822.3;-92.43
1605076.1;-92.91
1655329.9;-93.37
1705583.8;-93.35
1755837.6;-93.80
1806091.4;-93.44
1856345.2;-92.48
1906599.0;-93.54
1956852.8;-94.80
2007106.6;-94.44
2057360.4;-95.77
2107614.2;-94.94
2157868.0;-94.96
2208121.8;-94.30
2258375.6;-95.20
2308629.4;-95.09
2358883.2;-95.69
2409137.1;-94.56
2459390.9;-96.09
2509644.7;-95.73
2559898.5;-96.85
2610152.3;-96.07
2660406.1;-95.67
2710659.9;-96.58
2760913.7;-96.50
2811167.5;-95.98
2861421.3;-96.37
2911675.1;-95.66
2961928.9;-96.50
3012182.7;-96.50
3062436.5;-96.06
3112690.4;-96.57
3162944.2;-97.07
3213198.0;-97.43
3263451.8;-98.05
3313705.6;-97.83
3363959.4;-98.67
3414213.2;-98.25
3464467.0;-99.04
3514720.8;-98.89
3564974.6;-98.08
3615228.4;-97.74
3665482.2;-97.91
3715736.0;-98.60
3765989.8;-98.36
3816243.7;-99.46
3866497.5;-99.99
3916751.3;-99.15
3967005.1;-99.68
4017258.9;-99.00
4067512.7;-97.73
4117766.5;-98.60
4168020.3;-99.31
4218274.1;-100.19
4268527.9;-101.36
4318781.7;-99.21
4369035.5;-99.36
4419289.3;-98.97
4469543.1;-97.81
4519797.0;-99.29
4570050.8;-99.71
4620304.6;-97.87
4670558.4;-98.68
4720812.2;-99.59
4771066.0;-99.04
4821319.8;-99.48
4871573.6;-99.78
4921827.4;-100.05
4972081.2;-99.52
5022335.0;-99.79
5072588.8;-99.74
5122842.6;-100.32
5173096.4;-99.99
5223350.3;-99.03
5273604.1;-99.80
5323857.9;-100.49
5374111.7;-99.70
5424365.5;-100.21
5474619.3;-99.09
5524873.1;-99.31
5575126.9;-99.56
5625380.7;-100.31
5675634.5;-100.54
5725888.3;-100.02
5776142.1;-100.19
5826395.9;-99.55
5876649.7;-99.70
5926903.6;-100.30
5977157.4;-100.69
6027411.2;-99.63
6077665.0;-99.87
6127918.8;-101.12
6178172.6;-99.70
6228426.4;-101.27
6278680.2;-101.17
6328934.0;-101.33
6379187.8;-100.45
6429441.6;-100.12
6479695.4;-101.26
6529949.2;-99.95
6580203.0;-101.06
6630456.9;-101.17
6680710.7;-101.10
6730964.5;-100.02
6781218.3;-96.05
6831472.1;-100.02
6881725.9;-100.34
6931979.7;-100.60
6982233.5;-100.62
7032487.3;-100.18
7082741.1;-100.63
7132994.9;-100.41
7183248.7;-101.08
7233502.5;-101.13
7283756.3;-101.04
7334010.2;-100.78
7384264.0;-100.62
7434517.8;-101.38
7484771.6;-100.82
7535025.4;-100.94
7585279.2;-101.46
7635533.0;-100.81
7685786.8;-99.82
7736040.6;-100.98
7786294.4;-101.60
7836548.2;-101.41
7886802.0;-100.95
7937055.8;-101.87
7987309.6;-101.60
8037563.5;-101.56
8087817.3;-102.04
8138071.1;-102.70
8188324.9;-102.21
8238578.7;-101.25
8288832.5;-102.18
8339086.3;-101.70
8389340.1;-102.23
8439593.9;-102.47
8489847.7;-103.33
8540101.5;-102.83
8590355.3;-102.60
8640609.1;-101.44
8690862.9;-102.44
8741116.8;-103.06
8791370.6;-102.13
8841624.4;-101.55
