Frequency in Hz;Power in dBm
600000.0;-85.88
650253.8;-86.27
700507.6;-87.19
750761.4;-87.77
801015.2;-88.70
851269.0;-88.78
901522.8;-88.76
951776.6;-86.13
1002030.5;-88.97
1052284.3;-89.81
1102538.1;-90.49
1152791.9;-91.23
1203045.7;-91.39
1253299.5;-93.24
1303553.3;-91.64
1353807.1;-92.69
1404060.9;-93.33
1454314.7;-92.73
1504568.5;-92.79
1554822.3;-92.95
1605076.1;-91.96
1655329.9;-93.94
1705583.8;-94.54
1755837.6;-93.96
1806091.4;-94.28
1856345.2;-94.37
1906599.0;-93.66
1956852.8;-94.33
2007106.6;-94.02
2057360.4;-95.58
2107614.2;-94.31
2157868.0;-94.86
2208121.8;-95.82
2258375.6;-96.15
2308629.4;-94.22
2358883.2;-96.14
2409137.1;-95.55
2459390.9;-96.22
2509644.7;-96.63
2559898.5;-95.77
2610152.3;-95.90
2660406.1;-96.45
2710659.9;-95.53
2760913.7;-96.74
2811167.5;-96.26
2861421.3;-95.46
2911675.1;-96.83
2961928.9;-96.81
3012182.7;-97.21
3062436.5;-96.70
3112690.4;-96.92
3162944.2;-96.06
3213198.0;-96.84
3263451.8;-98.10
3313705.6;-98.28
3363959.4;-96.93
3414213.2;-98.25
3464467.0;-97.53
3514720.8;-98.72
3564974.6;-98.89
3615228.4;-99.33
3665482.2;-98.40
3715736.0;-98.89
3765989.8;-98.68
3816243.7;-98.35
3866497.5;-98.67
3916751.3;-98.54
3967005.1;-99.92
4017258.9;-99.32
4067512.7;-98.65
4117766.5;-98.76
4168020.3;-101.38
4218274.1;-101.05
4268527.9;-98.42
4318781.7;-99.66
4369035.5;-99.80
4419289.3;-99.66
4469543.1;-100.74
4519797.0;-100.38
4570050.8;-100.10
4620304.6;-99.61
4670558.4;-98.76
4720812.2;-99.90
4771066.0;-100.11
4821319.8;-100.12
4871573.6;-100.03
4921827.4;-100.78
4972081.2;-99.84
5022335.0;-99.89
5072588.8;-98.49
5122842.6;-100.50
5173096.4;-100.77
5223350.3;-100.18
5273604.1;-99.46
5323857.9;-100.09
5374111.7;-99.81
5424365.5;-100.15
5474619.3;-99.53
5524873.1;-100.78
