VIN,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_DS_A_pp,V_DS_B_pp,V_DS_A_max,V_DS_B_max,MR_FREQ,V_MR_PP,V_RECT_PP,V_RECT_RMS
18.0,17.824445,1.1374897,20.2751225957165,0.003397415,0.001507349,-1.688308e-07,43.0,42.0,41.0,43.0,13600000.0,94.0,88.0,30.39
18.5,18.300824,1.1702982,21.417421385716796,0.003444352,0.001490338,1.056882e-07,45.0,44.0,45.0,44.0,13500000.0,95.0,91.0,31.11
19.0,18.79282,1.20300835,22.607919380046997,0.003319869,0.001493692,-1.056882e-07,45.0,44.0,45.0,45.0,13600000.0,98.0,92.0,31.88
19.5,19.282997,1.2355721,23.8255330975837,0.003348686,0.001474185,2.333243e-07,46.0,45.0,45.0,47.0,13600000.0,102.0,95.0,32.71
20.0,19.761154,1.2672414,25.042152460575604,0.003465943,0.001464011,1.664671e-07,48.0,47.0,47.0,47.0,13700000.0,103.0,97.0,33.61
20.5,20.263707,1.3007197,26.357402889927897,0.003341254,0.001491154,2.903888e-08,48.0,48.0,48.0,48.0,13600000.0,108.0,100.0,34.49
21.0,20.75236,1.33319942,27.6670343156312,0.003378881,0.001460681,-5.166226e-08,49.0,49.0,50.0,50.0,13600000.0,111.0,103.0,35.26
21.5,21.241839,1.36585471,29.013265847211688,0.003426811,0.001416916,-2.025986e-09,52.0,51.0,51.0,51.0,13500000.0,113.0,105.0,36.01
22.0,21.730131,1.398377,30.386915397387,0.003384117,0.001443587,-3.140252e-08,53.0,52.0,53.0,52.0,13500000.0,114.0,106.0,36.96
22.5,22.217536,1.43120317,31.79780795278912,0.003317201,0.001437437,1.168308e-07,53.0,53.0,54.0,53.0,13500000.0,117.0,109.0,37.62
23.0,22.717161,1.4642909,33.2645321261349,0.003379008,0.001509994,8.374006e-08,55.0,54.0,55.0,55.0,13600000.0,122.0,111.0,38.52
23.5,23.193005,1.49653574,34.709160900498695,0.003342766,0.001421158,4.896093e-08,56.0,55.0,55.0,55.0,13700000.0,122.0,114.0,39.38
24.0,23.668063,1.52720794,36.14605373802022,0.003327475,0.001431354,-1.083893e-07,57.0,55.0,57.0,55.0,13500000.0,125.0,116.0,40.23
24.5,24.174648,1.5614237,37.7468683263576,0.003311098,0.001455207,2.870115e-08,58.0,57.0,58.0,57.0,13600000.0,128.0,119.0,41.0
25.0,24.661996,1.59412882,39.31439858232471,0.003364883,0.001444524,-7.563627e-08,59.0,59.0,60.0,59.0,13600000.0,131.0,120.0,41.73
25.5,25.115161,1.6243958,40.796962044723806,0.003310079,0.001463225,-1.151425e-07,62.0,59.0,60.0,59.0,13500000.0,134.0,122.0,42.68
26.0,25.617484,1.65707499,42.45009204312516,0.003328742,0.00148652,1.580255e-07,62.0,61.0,62.0,62.0,13600000.0,134.0,125.0,43.39
26.5,26.111458,1.69157996,44.16961907918168,0.003337719,0.001466503,1.080518e-08,63.0,63.0,63.0,62.0,13500000.0,138.0,127.0,44.13
27.0,26.59965,1.72450808,45.871311350172,0.003238125,0.001441852,1.688376e-09,64.0,63.0,64.0,63.0,13600000.0,142.0,128.0,44.89
27.5,27.084035,1.75709919,47.58933596043165,0.00333178,0.001475974,-2.025961e-09,66.0,66.0,66.0,66.0,13600000.0,144.0,131.0,45.77
28.0,27.572433,1.79045759,49.367271939616465,0.003349567,0.00145153,5.233757e-08,66.0,66.0,66.0,67.0,13500000.0,145.0,134.0,46.61
