Time (s),VDS_A,VDS_B,V_MR,V_RECT_IN,"[""CRTL_A"", ""IN_A"", ""CRTL_B"", ""IN_B"", ""nEN"", ""GATE_1"", ""GATE_2""]"
0.0,-1.5624985600000016,48.437504512000004,64.37499596800001,21.875001343999998,8960
5e-10,1.5359999991915174e-06,49.218754559999994,61.249995776000006,18.750001152,8960
1e-09,-0.7812485120000012,50.781254656,58.124995584000004,18.750001152,8960
1.5000000000000002e-09,-0.7812485120000012,51.56250470399999,54.999995392,18.750001152,8960
2e-09,-0.7812485120000012,52.343754751999995,53.43749529600001,18.750001152,8960
2.5e-09,-0.7812485120000012,51.56250470399999,51.8749952,15.62500096,8960
3.0000000000000004e-09,-0.7812485120000012,51.56250470399999,47.187494912000005,12.500000768,8704
3.5000000000000003e-09,-0.7812485120000012,52.343754751999995,44.062494720000004,12.500000768,8704
4e-09,-1.5624985600000016,53.906254848,42.49999462400001,10.937500671999999,8192
4.500000000000001e-09,-1.5624985600000016,54.68750489599999,39.37499443200001,9.375000576,8192
5e-09,-1.5624985600000016,54.68750489599999,36.24999424000001,7.81250048,8192
5.5000000000000004e-09,-1.5624985600000016,55.468754944,33.124994048000005,9.375000576,8192
6.000000000000001e-09,-1.5624985600000016,56.250004992,29.999993856000003,3.125000192,8192
6.5e-09,-1.5624985600000016,56.250004992,26.874993664,1.562500096,8192
7.000000000000001e-09,-0.7812485120000012,57.03125503999999,22.187493376000006,4.687500288,8192
7.500000000000001e-09,-1.5624985600000016,57.03125503999999,19.062493184000004,1.562500096,8192
8e-09,-2.343748608000002,57.812505087999995,19.062493184000004,0.0,8192
8.5e-09,-1.5624985600000016,57.812505087999995,12.812492800000001,-1.562500096,8192
9.000000000000001e-09,-0.7812485120000012,58.593755136,12.812492800000001,-3.125000192,8192
9.5e-09,-0.7812485120000012,60.15625523199999,8.124992512000006,-4.687500288,8192
1e-08,-0.7812485120000012,60.15625523199999,6.562492415999998,-6.250000384,8192
1.0500000000000001e-08,-0.7812485120000012,59.375005184,1.8749921280000024,-6.250000384,8192
