DUTY,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_DS_A_pp,V_DS_B_pp,V_DS_A_max,V_DS_B_max,MR_FREQ,V_MR_PP,V_RECT_PP,V_RECT_RMS
0.3,24.8661,1.56046152,38.802592202472,46.53117,0.753891,35.07859,59.0,59.0,59.0,58.0,13600000.0,123.0,102.0,40.87
0.31,24.863287,1.56586496,38.93254990372352,46.62725,0.7553803,35.22748,59.0,58.0,59.0,59.0,13600000.0,123.0,100.0,40.82
0.32,24.870401,1.57159148,39.08611031578348,46.7109,0.7569697,35.37045,59.0,59.0,59.0,59.0,13600000.0,123.0,100.0,40.97
0.33,24.868265,1.57809394,39.2444582948141,46.81684,0.7586173,35.50755,59.0,59.0,59.0,59.0,13700000.0,123.0,102.0,40.96
0.34,24.867289,1.5827079,39.357654751883096,46.88888,0.7597957,35.61033,60.0,58.0,59.0,59.0,13600000.0,127.0,102.0,41.17
0.35000000000000003,24.862761,1.58162743,39.32362478313423,46.85554,0.7593197,35.57838,59.0,59.0,59.0,59.0,13500000.0,125.0,102.0,41.05
0.36000000000000004,24.860838,1.57652846,39.19381864644948,46.77985,0.7584299,35.48137,59.0,58.0,59.0,58.0,13600000.0,123.0,102.0,40.98
0.37000000000000005,24.862423,1.57261782,39.09908945817786,46.74279,0.7574294,35.40304,58.0,58.0,58.0,58.0,13600000.0,123.0,100.0,40.94
0.38000000000000006,24.861783,1.56904989,39.00937788135387,46.69963,0.7565613,35.31711,59.0,59.0,59.0,59.0,13600000.0,125.0,102.0,40.97
0.39000000000000007,24.857394,1.56644654,38.93777882471676,46.67396,0.7566242,35.31656,58.0,57.0,59.0,58.0,13600000.0,123.0,102.0,40.9
0.4000000000000001,24.860015,1.56670763,38.94837518241445,46.67393,0.7562094,35.29827,58.0,57.0,59.0,58.0,13600000.0,127.0,100.0,40.97
