FREQ,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_DS_A_pp,V_DS_B_pp,V_DS_A_max,V_DS_B_max,MR_FREQ,V_MR_PP,V_RECT_PP,V_RECT_RMS
6000000.0,21.288724,0.885852466,18.858668653393384,31.49237,0.510133,16.01087,52.0,56.0,52.0,56.0,11700000.0,38.0,70.0,28.47
6100000.0,22.310737,1.13458266,25.313375332020417,37.13712,0.6015474,22.34219,53.0,59.0,54.0,58.0,12200000.0,52.0,84.0,33.23
6200000.0,23.150194,1.61373062,37.35817691674028,43.19288,0.7001836,30.25391,55.0,65.0,55.0,64.0,6210000.0,72.0,95.0,38.18
6300000.0,24.358542,1.82619702,44.48349681194484,48.08356,0.7789987,37.45731,57.0,59.0,56.0,60.0,12600000.0,80.0,105.0,42.02
6400000.0,24.958766,1.97953679,49.40679553000114,51.80581,0.839272,43.48167,59.0,61.0,59.0,60.0,12600000.0,98.0,113.0,44.85
6500000.0,25.007066,1.9977291,49.95734345382059,52.76981,0.8548752,45.10818,59.0,60.0,59.0,60.0,12800000.0,108.0,114.0,45.52
6600000.0,25.011662,1.92147639,48.05931800766018,51.96143,0.8422371,43.77737,59.0,59.0,59.0,60.0,13200000.0,114.0,113.0,44.78
6700000.0,25.005933,1.80017539,45.015065190588864,50.29433,0.8151122,40.99416,56.0,60.0,57.0,60.0,13400000.0,122.0,109.0,43.22
6780000.0,25.01241,1.68782307,42.2165226342987,48.58841,0.7875484,38.26834,56.0,59.0,56.0,59.0,13600000.0,127.0,106.0,41.71
6800000.0,25.014828,1.659844,41.520712166832006,48.17734,0.7806698,37.60425,56.0,59.0,56.0,59.0,13600000.0,127.0,105.0,41.48
6900000.0,25.004133,1.53218901,38.31105778717833,46.1712,0.7479686,34.52169,57.0,59.0,56.0,59.0,13900000.0,131.0,100.0,39.63
7000000.0,24.989665,1.43406779,35.83687365939035,44.47768,0.7209138,32.06236,58.0,60.0,57.0,60.0,14100000.0,136.0,97.0,38.28
7100000.0,24.975019,1.34928791,33.69849118872029,42.94944,0.6962474,29.89832,59.0,63.0,59.0,63.0,14200000.0,142.0,95.0,37.11
7200000.0,24.946684,1.2550694,31.3098197198696,41.10806,0.6662678,27.38747,61.0,65.0,61.0,65.0,14400000.0,155.0,91.0,35.58
7300000.0,24.857891,1.11970827,27.83358612745857,38.30526,0.620623,23.78006,63.0,69.0,63.0,68.0,14600000.0,170.0,84.0,33.22
7400000.0,24.751833,0.936338616,23.17609705468313,34.29604,0.5556721,19.05798,66.0,70.0,65.0,70.0,14900000.0,9.9e+37,77.0,30.01
7500000.0,24.676859,0.736625077,18.177593160993144,29.46104,0.4773835,14.07145,67.0,73.0,67.0,73.0,14900000.0,9.9e+37,66.0,26.13
