Time (s),VDS_A,VDS_B,V_MR,V_RECT_IN,"[""CRTL_A"", ""IN_A"", ""CRTL_B"", ""IN_B"", ""nEN"", ""GATE_1"", ""GATE_2""]"
0.0,-1.5624985600000016,44.531254272,58.124995584000004,31.25000192,8960
5e-10,-0.7812485120000012,45.31250432,54.999995392,29.687501823999998,8960
1e-09,-0.7812485120000012,44.531254272,53.43749529600001,29.687501823999998,8960
1.5000000000000002e-09,-0.7812485120000012,45.31250432,50.31249510400001,28.125001728,8960
2e-09,-1.5624985600000016,46.875004415999996,50.31249510400001,28.125001728,8960
2.5e-09,1.5359999991915174e-06,46.875004415999996,47.187494912000005,26.562501632,8960
3.0000000000000004e-09,-0.7812485120000012,47.656254464,45.624994816,23.43750144,8704
3.5000000000000003e-09,-0.7812485120000012,46.875004415999996,44.062494720000004,23.43750144,8704
4e-09,-1.5624985600000016,47.656254464,42.49999462400001,21.875001343999998,8192
4.500000000000001e-09,-1.5624985600000016,48.437504512000004,37.812494336,18.750001152,8192
5e-09,-0.7812485120000012,49.218754559999994,36.24999424000001,15.62500096,8192
5.5000000000000004e-09,-1.5624985600000016,50.000004608,29.999993856000003,15.62500096,8192
6.000000000000001e-09,-1.5624985600000016,50.000004608,31.562493951999997,12.500000768,8192
6.5e-09,-0.7812485120000012,49.218754559999994,26.874993664,9.375000576,8192
7.000000000000001e-09,-1.5624985600000016,50.000004608,25.312493568000008,7.81250048,8192
7.500000000000001e-09,-0.7812485120000012,50.000004608,20.624993279999998,6.250000384,8192
8e-09,-1.5624985600000016,50.781254656,20.624993279999998,3.125000192,8192
8.5e-09,-0.7812485120000012,50.781254656,17.499993087999997,1.562500096,8192
9.000000000000001e-09,-0.7812485120000012,51.56250470399999,15.937492992000003,0.0,8192
9.5e-09,-0.7812485120000012,51.56250470399999,12.812492800000001,-3.125000192,8192
1e-08,-0.7812485120000012,52.343754751999995,11.249992704000007,-4.687500288,8192
1.0500000000000001e-08,-0.7812485120000012,52.343754751999995,9.687492608,-7.81250048,8192
1.1000000000000001e-08,-0.7812485120000012,53.1250048,4.999992320000004,-10.937500671999999,8192
1.15e-08,-0.7812485120000012,52.343754751999995,3.4374922240000103,-12.500000768,8192
1.2000000000000002e-08,-0.7812485120000012,52.343754751999995,1.8749921280000024,-12.500000768,8192
1.2500000000000001e-08,-1.5624985600000016,53.1250048,-1.250008063999985,-17.187501056,8192
1.3e-08,-1.5624985600000016,53.1250048,-4.375008256000001,-18.750001152,8192
1.35e-08,-1.5624985600000016,53.1250048,-7.5000084479999884,-21.875001343999998,8192
1.4000000000000001e-08,-1.5624985600000016,53.1250048,-7.5000084479999884,-23.43750144,8192
1.45e-08,-1.5624985600000016,53.1250048,-10.625008640000004,-26.562501632,8192
1.5000000000000002e-08,-1.5624985600000016,53.1250048,-12.187508735999984,-26.562501632,8192
1.55e-08,-0.7812485120000012,52.343754751999995,-13.750008831999992,-28.125001728,8192
1.6e-08,-0.7812485120000012,51.56250470399999,-15.312508928,-29.687501823999998,8192
1.6500000000000002e-08,-1.5624985600000016,51.56250470399999,-16.875009024000008,-29.687501823999998,8192
1.7e-08,-1.5624985600000016,50.781254656,-20.000009215999995,-31.25000192,8192
1.75e-08,-0.7812485120000012,50.781254656,-23.125009407999983,-32.812502015999996,8192
1.8000000000000002e-08,-1.5624985600000016,51.56250470399999,-21.562509312000003,-34.375002112,8192
1.85e-08,-1.5624985600000016,50.000004608,-24.68750950399999,-35.937502208,8192
1.9e-08,-1.5624985600000016,50.000004608,-26.2500096,-35.937502208,8192
1.9500000000000003e-08,-1.5624985600000016,49.218754559999994,-26.2500096,-35.937502208,8192
2e-08,-1.5624985600000016,49.218754559999994,-26.2500096,-35.937502208,8192
2.05e-08,-1.5624985600000016,47.656254464,-27.812509696000006,-37.500002304,8192
2.1000000000000003e-08,-0.7812485120000012,47.656254464,-29.375009791999986,-39.0625024,8192
2.15e-08,-2.343748608000002,46.875004415999996,-32.500009984,-37.500002304,8192
2.2000000000000002e-08,-2.343748608000002,46.09375436799999,-30.937509887999994,-40.625002496,8192
2.2500000000000003e-08,-1.5624985600000016,45.31250432,-32.500009984,-40.625002496,8192
2.3e-08,-1.5624985600000016,43.750004223999994,-32.500009984,-39.0625024,8192
2.3500000000000002e-08,1.5359999991915174e-06,42.968754176000004,-34.06251007999998,-40.625002496,8192
2.4000000000000003e-08,0.7812515839999996,41.40625408,-32.500009984,-42.187502592,8192
2.45e-08,2.3437516800000004,40.62500403199999,-34.06251007999998,-42.187502592,8192
2.5000000000000002e-08,4.687501823999998,39.062503936,-34.06251007999998,-42.187502592,0
2.55e-08,7.812502015999996,38.281253887999995,-35.62501017599999,-42.187502592,0
2.6e-08,10.937502207999998,38.281253887999995,-34.06251007999998,-43.750002687999995,0
2.6500000000000002e-08,13.281252351999996,35.937503744,-35.62501017599999,-43.750002687999995,0
2.7e-08,12.500002303999999,34.375003647999996,-34.06251007999998,-43.750002687999995,1024
2.75e-08,11.718752256000002,32.812503551999995,-34.06251007999998,-43.750002687999995,1024
2.8000000000000003e-08,12.500002303999999,32.031253504,-32.500009984,-43.750002687999995,1024
2.85e-08,14.843752447999996,30.468753407999998,-32.500009984,-45.312502783999996,1024
2.9e-08,21.875002879999997,29.68750336,-32.500009984,-45.312502783999996,1024
2.9500000000000003e-08,25.781253119999995,28.125003264,-32.500009984,-43.750002687999995,3072
3.0000000000000004e-08,28.906253311999997,27.343753215999996,-29.375009791999986,-45.312502783999996,3072
3.05e-08,27.343753215999996,25.000003072,-32.500009984,-45.312502783999996,3072
3.1e-08,23.437502975999998,24.218753024,-30.937509887999994,-45.312502783999996,3072
3.1500000000000004e-08,21.875002879999997,21.875002879999997,-29.375009791999986,-45.312502783999996,3072
3.2e-08,25.781253119999995,20.312502783999996,-27.812509696000006,-45.312502783999996,3072
3.25e-08,33.5937536,19.531252736,-26.2500096,-45.312502783999996,3072
3.3000000000000004e-08,40.62500403199999,17.968752639999998,-24.68750950399999,-43.750002687999995,3072
3.35e-08,40.62500403199999,17.187502592,-23.125009407999983,-42.187502592,3072
3.4e-08,36.718753792,16.406252543999997,-21.562509312000003,-42.187502592,3072
3.4500000000000005e-08,33.5937536,13.281252351999996,-20.000009215999995,-42.187502592,3072
3.5e-08,34.375003647999996,11.718752256000002,-18.437509119999987,-42.187502592,3072
3.55e-08,39.062503936,10.937502207999998,-16.875009024000008,-40.625002496,3072
3.6000000000000005e-08,44.531254272,10.156252160000001,-15.312508928,-39.0625024,3072
3.65e-08,44.531254272,9.375002111999997,-10.625008640000004,-42.187502592,3072
3.7e-08,43.750004223999994,7.812502015999996,-12.187508735999984,-40.625002496,3072
3.7500000000000005e-08,43.750004223999994,6.250001919999999,-9.062508543999996,-42.187502592,3072
3.8e-08,46.875004415999996,4.687501823999998,-4.375008256000001,-42.187502592,3072
3.85e-08,49.218754559999994,3.9062517759999977,-5.937508352000009,-42.187502592,3072
3.9000000000000005e-08,48.437504512000004,3.9062517759999977,-2.812508159999993,-40.625002496,3072
3.95e-08,45.31250432,3.125001728000001,-1.250008063999985,-40.625002496,3072
4e-08,42.968754176000004,1.562501632,3.4374922240000103,-42.187502592,3072
4.0500000000000005e-08,46.875004415999996,1.5359999991915174e-06,3.4374922240000103,-40.625002496,3072
4.1e-08,50.781254656,-0.7812485120000012,6.562492415999998,-40.625002496,3072
4.15e-08,55.468754944,-0.7812485120000012,8.124992512000006,-40.625002496,3072
4.2000000000000006e-08,53.906254848,0.7812515839999996,12.812492800000001,-42.187502592,3072
4.2500000000000003e-08,50.000004608,-0.7812485120000012,14.374992896000009,-42.187502592,3072
4.3e-08,48.437504512000004,-2.343748608000002,14.374992896000009,-40.625002496,3072
4.3500000000000006e-08,48.437504512000004,-3.9062487039999993,17.499993087999997,-42.187502592,3072
4.4000000000000004e-08,50.781254656,-3.9062487039999993,20.624993279999998,-40.625002496,3072
4.45e-08,51.56250470399999,-3.1249986560000025,22.187493376000006,-42.187502592,3072
4.5000000000000006e-08,52.343754751999995,-2.343748608000002,25.312493568000008,-42.187502592,3072
4.5500000000000004e-08,51.56250470399999,-2.343748608000002,29.999993856000003,-42.187502592,3072
4.6e-08,51.56250470399999,-3.1249986560000025,34.687494144,-43.750002687999995,3072
4.6500000000000006e-08,52.343754751999995,-3.1249986560000025,33.124994048000005,-40.625002496,3072
4.7000000000000004e-08,50.781254656,-3.1249986560000025,34.687494144,-40.625002496,3072
4.75e-08,50.000004608,-2.343748608000002,37.812494336,-40.625002496,3072
4.8000000000000006e-08,47.656254464,-1.5624985600000016,40.937494528,-42.187502592,3072
4.8500000000000004e-08,49.218754559999994,-0.7812485120000012,42.49999462400001,-40.625002496,3072
4.9e-08,50.781254656,1.5359999991915174e-06,45.624994816,-40.625002496,3072
4.95e-08,51.56250470399999,0.7812515839999996,45.624994816,-39.0625024,3072
5.0000000000000004e-08,50.781254656,0.7812515839999996,51.8749952,-40.625002496,3072
5.05e-08,50.000004608,0.7812515839999996,51.8749952,-40.625002496,3072
5.1e-08,48.437504512000004,1.562501632,54.999995392,-39.0625024,3072
5.1500000000000005e-08,46.875004415999996,0.7812515839999996,56.562495487999996,-39.0625024,3072
5.2e-08,45.31250432,0.7812515839999996,58.124995584000004,-39.0625024,19456
5.25e-08,45.31250432,0.7812515839999996,59.68749568,-40.625002496,19456
5.3000000000000005e-08,47.656254464,0.7812515839999996,62.812495872,-40.625002496,19456
5.35e-08,48.437504512000004,1.5359999991915174e-06,64.37499596800001,-39.0625024,19456
5.4e-08,48.437504512000004,-0.7812485120000012,65.937496064,-40.625002496,19456
5.4500000000000005e-08,46.875004415999996,-2.343748608000002,65.937496064,-40.625002496,19456
5.5e-08,45.31250432,-1.5624985600000016,69.062496256,-40.625002496,19456
5.55e-08,42.968754176000004,-1.5624985600000016,69.062496256,-40.625002496,19456
5.6000000000000005e-08,41.40625408,-0.7812485120000012,73.749996544,-40.625002496,19456
5.65e-08,43.750004223999994,-0.7812485120000012,75.31249664,-40.625002496,19456
5.7e-08,43.750004223999994,-1.5624985600000016,75.31249664,-40.625002496,19456
5.7500000000000005e-08,44.531254272,-2.343748608000002,75.31249664,-40.625002496,19456
5.8e-08,42.968754176000004,-0.7812485120000012,79.999996928,-42.187502592,19456
5.85e-08,42.187504128,-0.7812485120000012,79.999996928,-40.625002496,19456
5.9000000000000006e-08,41.40625408,1.5359999991915174e-06,78.437496832,-40.625002496,19456
5.9500000000000003e-08,41.40625408,0.7812515839999996,81.56249702400001,-40.625002496,19456
6.000000000000001e-08,41.40625408,-0.7812485120000012,81.56249702400001,-39.0625024,19456
6.05e-08,39.843753984,-1.5624985600000016,79.999996928,-42.187502592,19456
6.1e-08,40.62500403199999,-2.343748608000002,83.12499712,-40.625002496,19456
6.15e-08,41.40625408,-1.5624985600000016,81.56249702400001,-40.625002496,19456
6.2e-08,41.40625408,-1.5624985600000016,83.12499712,-42.187502592,19456
6.250000000000001e-08,42.187504128,-0.7812485120000012,81.56249702400001,-42.187502592,19456
6.300000000000001e-08,41.40625408,1.5359999991915174e-06,83.12499712,-40.625002496,19456
6.35e-08,40.62500403199999,-0.7812485120000012,81.56249702400001,-40.625002496,19456
6.4e-08,39.062503936,-1.5624985600000016,83.12499712,-40.625002496,19456
6.45e-08,39.843753984,-0.7812485120000012,83.12499712,-39.0625024,19456
6.5e-08,40.62500403199999,1.5359999991915174e-06,81.56249702400001,-39.0625024,19456
6.55e-08,41.40625408,-0.7812485120000012,79.999996928,-39.0625024,19456
6.600000000000001e-08,41.40625408,1.5359999991915174e-06,83.12499712,-40.625002496,19456
6.65e-08,41.40625408,-0.7812485120000012,81.56249702400001,-39.0625024,19456
6.7e-08,41.40625408,-1.5624985600000016,79.999996928,-39.0625024,19456
6.75e-08,39.843753984,-2.343748608000002,79.999996928,-39.0625024,19456
6.8e-08,41.40625408,-1.5624985600000016,78.437496832,-37.500002304,19456
6.85e-08,40.62500403199999,-1.5624985600000016,76.874996736,-40.625002496,19456
6.900000000000001e-08,41.40625408,-1.5624985600000016,75.31249664,-40.625002496,19456
6.950000000000001e-08,41.40625408,-0.7812485120000012,72.187496448,-39.0625024,19456
7e-08,42.187504128,-0.7812485120000012,73.749996544,-40.625002496,19456
7.05e-08,42.968754176000004,1.5359999991915174e-06,70.62499635200001,-39.0625024,19456
7.1e-08,44.531254272,1.5359999991915174e-06,69.062496256,-39.0625024,19456
7.15e-08,43.750004223999994,-1.5624985600000016,67.49999616,-37.500002304,19456
7.200000000000001e-08,42.187504128,-1.5624985600000016,65.937496064,-39.0625024,19456
7.250000000000001e-08,42.187504128,-1.5624985600000016,64.37499596800001,-37.500002304,19456
7.3e-08,42.968754176000004,-0.7812485120000012,61.249995776000006,-37.500002304,19456
7.35e-08,45.31250432,-2.343748608000002,58.124995584000004,-37.500002304,19456
7.4e-08,46.09375436799999,-2.343748608000002,58.124995584000004,-37.500002304,19456
7.45e-08,46.875004415999996,-1.5624985600000016,56.562495487999996,-35.937502208,19456
7.500000000000001e-08,46.09375436799999,-1.5624985600000016,53.43749529600001,-34.375002112,19456
7.550000000000001e-08,46.09375436799999,-2.343748608000002,51.8749952,-32.812502015999996,19456
7.6e-08,46.09375436799999,1.5359999991915174e-06,51.8749952,-31.25000192,18432
7.65e-08,46.09375436799999,1.5359999991915174e-06,47.187494912000005,-31.25000192,18432
7.7e-08,47.656254464,1.5359999991915174e-06,44.062494720000004,-28.125001728,18432
7.75e-08,48.437504512000004,-0.7812485120000012,40.937494528,-26.562501632,18432
7.800000000000001e-08,48.437504512000004,-0.7812485120000012,40.937494528,-25.000001536,16384
7.850000000000001e-08,50.781254656,-1.5624985600000016,37.812494336,-23.43750144,16384
7.9e-08,50.781254656,-0.7812485120000012,36.24999424000001,-20.312501248,16384
7.95e-08,51.56250470399999,-1.5624985600000016,33.124994048000005,-17.187501056,16384
8e-08,49.218754559999994,-0.7812485120000012,29.999993856000003,-15.62500096,16384
8.05e-08,50.781254656,-1.5624985600000016,26.874993664,-14.062500864,16384
8.100000000000001e-08,50.781254656,-2.343748608000002,23.749993472,-10.937500671999999,16384
8.150000000000001e-08,53.1250048,-1.5624985600000016,22.187493376000006,-7.81250048,16384
8.2e-08,53.1250048,-0.7812485120000012,20.624993279999998,-4.687500288,16384
8.25e-08,53.906254848,-0.7812485120000012,17.499993087999997,-3.125000192,16384
8.3e-08,53.1250048,-1.5624985600000016,14.374992896000009,-1.562500096,16384
8.35e-08,53.1250048,-1.5624985600000016,12.812492800000001,0.0,16384
8.400000000000001e-08,53.906254848,-1.5624985600000016,11.249992704000007,4.687500288,16384
8.450000000000001e-08,53.906254848,-2.343748608000002,8.124992512000006,4.687500288,16384
8.500000000000001e-08,54.68750489599999,-2.343748608000002,4.999992320000004,6.250000384,16384
8.55e-08,53.906254848,-1.5624985600000016,1.8749921280000024,9.375000576,16384
8.6e-08,53.906254848,-1.5624985600000016,3.4374922240000103,12.500000768,16384
8.65e-08,55.468754944,-1.5624985600000016,-2.812508159999993,12.500000768,16384
8.700000000000001e-08,56.250004992,-1.5624985600000016,-4.375008256000001,17.187501056,16384
8.750000000000001e-08,56.250004992,-1.5624985600000016,-5.937508352000009,17.187501056,16384
8.800000000000001e-08,54.68750489599999,-0.7812485120000012,-7.5000084479999884,18.750001152,16384
