VIN,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_DS_A_pp,V_DS_B_pp,V_DS_A_max,V_DS_B_max,MR_FREQ,V_MR_PP,V_RECT_PP,V_RECT_RMS
18.0,18.015053,1.19924731,21.60450384975743,34.72569,0.5617422,19.51097,41.0,42.0,40.0,41.0,13600000.0,91.0,78.0,30.95
18.5,18.50884,1.23322688,22.825599005619196,35.68369,0.5784245,20.64458,41.0,44.0,41.0,44.0,13600000.0,92.0,80.0,31.67
19.0,19.013162,1.26941243,24.135544176403663,36.71002,0.5946965,21.83988,42.0,45.0,43.0,45.0,13600000.0,95.0,81.0,32.53
19.5,19.516443,1.30522374,25.473324723956818,37.72953,0.6113915,23.0697,44.0,47.0,44.0,45.0,13600000.0,97.0,83.0,33.19
20.0,20.019449,1.34070485,26.840172368627652,38.73278,0.6275815,24.31136,45.0,48.0,45.0,48.0,13600000.0,102.0,86.0,34.17
20.5,20.523598,1.37574048,28.235144563847037,39.72478,0.6439117,25.57464,46.0,48.0,46.0,48.0,13600000.0,103.0,89.0,34.98
21.0,21.025841,1.4119173,29.6867486549493,40.75275,0.6602687,26.90543,47.0,49.0,47.0,49.0,13600000.0,105.0,91.0,35.85
21.5,21.52878,1.44680257,31.147894232964603,41.7451,0.6764434,28.23741,48.0,50.0,48.0,51.0,13600000.0,108.0,92.0,36.57
22.0,22.030276,1.483238,32.676142513688,42.77373,0.6928518,29.63502,49.0,51.0,49.0,52.0,13600000.0,109.0,94.0,37.22
22.5,22.531827,1.51716703,34.18454505006381,43.73056,0.7089327,31.00118,51.0,52.0,51.0,52.0,13500000.0,113.0,97.0,38.07
23.0,23.031349,1.55219453,35.749133936320966,44.72462,0.7251245,32.42932,52.0,53.0,52.0,53.0,13600000.0,114.0,98.0,38.85
23.5,23.53044,1.58808258,37.3682818637352,45.74572,0.7412906,33.90788,53.0,54.0,53.0,55.0,13500000.0,116.0,100.0,39.65
24.0,24.026372,1.62183093,38.96671324528596,46.71355,0.7569296,35.35306,54.0,56.0,54.0,55.0,13600000.0,119.0,103.0,40.44
24.5,24.521215,1.65620771,40.61222534156766,47.69022,0.772691,36.8517,55.0,58.0,55.0,58.0,13500000.0,122.0,105.0,41.13
25.0,25.015447,1.69019618,42.28101296039247,48.6641,0.7884597,38.35952,55.0,59.0,55.0,59.0,13600000.0,125.0,106.0,41.83
25.5,25.506979,1.72504734,44.00074627538586,49.64977,0.8044166,39.93125,57.0,60.0,57.0,60.0,13500000.0,128.0,109.0,42.62
26.0,25.997421,1.7600205,45.755993907130495,50.64674,0.8207389,41.56269,59.0,61.0,59.0,61.0,13600000.0,130.0,109.0,43.47
26.5,26.485597,1.79498963,47.541371959359104,51.63232,0.8365259,43.19634,59.0,63.0,59.0,63.0,13600000.0,133.0,111.0,44.29
27.0,26.972794,1.82882311,49.32846900846934,52.59288,0.8520362,44.80953,60.0,64.0,61.0,64.0,13600000.0,134.0,114.0,44.94
27.5,27.456995,1.86255316,51.1401128013542,53.54985,0.867611,46.47085,62.0,65.0,62.0,64.0,13600000.0,136.0,114.0,45.62
28.0,27.939702,1.89693572,52.99981872995544,54.51752,0.8835387,48.15574,63.0,66.0,63.0,66.0,13600000.0,139.0,117.0,46.3
