VIN,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_GS_A_pp,V_GS_A_amp,V_GS_A_max,V_GS_A_top,V_GS_A_min,V_GS_A_bot,V_GS_B_pp,V_GS_B_amp,V_GS_B_max,V_GS_B_top,V_GS_B_min,V_GS_B_bot,V_DS_A_pp,V_DS_A_amp,V_DS_A_max,V_DS_A_top,V_DS_A_min,V_DS_A_bot,V_DS_B_pp
18.0,17.992964,1.15402131,20.764263886062842,0.003816851,0.001486248,3.80207e-07,8.1,5.1,5.67,4.89,-2.38,-0.19,8.7,5.0,5.75,4.81,-2.84,-0.11,43.1,41.3,39.4,39.4,-3.8,-1.9,40.6
18.5,18.491481,1.18768371,21.96203075747451,0.003537314,0.001430598,2.316357e-07,8.2,5.1,5.75,4.89,-2.38,-0.19,8.6,5.0,5.83,4.97,-2.84,-0.11,44.4,41.9,40.0,40.0,-4.4,-1.9,41.3
19.0,18.991109,1.22127924,23.193447166277164,0.003828428,0.001489611,5.412712e-07,8.1,5.1,5.75,4.81,-2.45,-0.19,8.7,5.1,5.75,4.89,-2.77,-0.11,45.6,43.8,41.9,41.9,-3.1,-1.9,41.9
19.5,19.489126,1.25482429,24.455428695670538,0.003606922,0.001449944,3.157135e-07,8.2,5.1,5.75,4.89,-2.45,-0.19,8.7,5.0,5.75,4.81,-2.84,-0.11,46.3,44.4,42.5,42.5,-3.8,-1.9,43.1
20.0,19.986801,1.28833899,25.749775013670988,0.003750244,0.001455811,2.704669e-07,8.1,5.1,5.75,4.89,-2.38,-0.19,8.5,5.0,5.67,4.89,-2.84,-0.11,48.1,45.6,43.8,43.8,-3.8,-1.9,44.4
20.5,20.483684,1.32163218,27.07189593935112,0.003507041,0.001422918,4.892715e-07,8.0,5.0,5.67,4.89,-2.3,-0.19,8.7,5.1,5.83,4.97,-2.84,-0.11,48.8,46.9,45.0,45.0,-3.8,-1.9,45.6
21.0,20.979514,1.35482245,28.4235165572893,0.003624872,0.001484836,2.218439e-07,8.1,5.0,5.75,4.81,-2.38,-0.19,8.6,5.1,5.75,4.97,-2.92,-0.11,50.6,48.1,46.3,46.3,-4.4,-1.9,46.9
21.5,21.475831,1.38804987,29.80952442769197,0.003659929,0.001486248,3.785186e-07,8.1,5.0,5.75,4.81,-2.38,-0.19,8.6,5.1,5.75,4.89,-2.84,-0.19,51.3,49.4,47.5,47.5,-3.8,-1.9,47.5
22.0,21.983632,1.42280971,31.278525070666717,0.003842824,0.001456228,3.910122e-07,8.2,5.1,5.75,4.89,-2.38,-0.19,8.6,5.1,5.75,4.97,-2.84,-0.11,53.1,50.6,48.8,48.8,-4.4,-1.9,48.8
22.5,22.476287,1.4557303,32.719412017396095,0.003860875,0.001547468,9.998154e-07,8.1,5.0,5.75,4.81,-2.38,-0.19,8.5,5.0,5.75,4.97,-2.84,-0.11,53.1,51.3,50.0,49.4,-4.4,-1.9,50.0
23.0,22.971946,1.48892326,34.203464726863956,0.003760119,0.001561175,1.045062e-06,8.0,5.1,5.67,4.89,-2.38,-0.19,8.5,5.1,5.67,4.97,-2.77,-0.11,55.0,53.1,51.3,51.3,-3.8,-1.9,51.3
23.5,23.468149,1.52227132,35.72489015618668,0.003698645,0.001544274,8.340239e-07,8.1,5.1,5.75,4.89,-2.3,-0.19,8.7,5.0,5.83,4.81,-2.84,-0.11,56.3,53.8,51.3,51.3,-4.4,-1.9,52.5
24.0,23.963235,1.55559911,37.277187038720854,0.003594868,0.001494598,9.474784e-07,8.1,5.0,5.83,4.89,-2.3,-0.19,8.6,5.0,5.75,4.89,-2.84,-0.11,57.5,55.0,53.1,53.1,-4.4,-1.9,53.8
24.5,24.458465,1.58883344,38.8604270830696,0.00366499,0.001533286,4.467265e-07,8.0,5.1,5.67,4.89,-2.3,-0.19,8.7,5.1,5.83,4.89,-2.77,-0.11,59.4,56.3,54.4,54.4,-4.4,-1.9,55.0
25.0,24.955318,1.62220055,40.4825305850249,0.003659815,0.00144705,2.988305e-07,8.2,5.1,5.75,4.81,-2.3,-0.19,8.6,5.1,5.75,4.89,-2.84,-0.19,60.0,57.5,55.6,55.6,-4.4,-1.9,56.3
25.5,25.449805,1.65552766,42.1328561191063,0.003606454,0.001492515,4.095831e-07,8.0,5.0,5.67,4.89,-2.3,-0.19,8.6,5.0,5.75,4.89,-2.84,-0.11,61.3,58.1,56.3,56.3,-5.0,-1.9,57.5
26.0,25.945973,1.68914426,43.826491363064974,0.003445821,0.001505239,4.460511e-07,8.1,5.0,5.75,4.89,-2.38,-0.19,8.7,5.1,5.83,4.97,-2.92,-0.19,62.5,59.4,57.5,57.5,-4.4,-1.9,58.1
26.5,26.441391,1.72259273,45.54774790768742,0.003640069,0.001396289,4.808296e-07,8.1,5.1,5.83,4.89,-2.38,-0.19,8.7,5.1,5.83,4.97,-2.92,-0.11,63.1,60.6,58.8,58.8,-4.4,-1.9,59.4
27.0,26.93756,1.75612453,47.3057098943468,0.003652321,0.001436025,4.717133e-07,8.1,5.0,5.75,4.89,-2.38,-0.19,8.5,5.2,5.67,4.97,-2.92,-0.11,65.0,62.5,60.6,60.6,-4.4,-1.9,61.3
27.5,27.435381,1.78970695,49.10129205159795,0.003597094,0.001506632,4.109341e-07,8.0,5.0,5.75,4.81,-2.45,-0.19,8.7,5.1,5.83,4.89,-2.92,-0.11,66.9,63.8,61.9,61.9,-5.0,-1.9,61.9
28.0,27.929262,1.82308469,50.91740995519878,0.003651626,0.001457111,9.8192e-07,8.2,5.1,5.75,4.89,-2.38,-0.19,8.8,5.0,5.75,4.89,-2.84,-0.19,68.1,65.0,63.1,62.5,-4.4,-1.9,62.5
