Time (s),VGS_A,VGS_B,VDS_A,VDS_B,"[""CRTL_A"", ""IN_A"", ""CRTL_B"", ""IN_B"", ""nEN""]"
0.0,4.578125388799999,0.04687511039999981,4.0959999978440464e-06,38.750000127999996,768
5e-10,4.734375398399999,-0.18749990400000005,-0.624995840000004,39.375000064,768
1e-09,4.8125004032,-0.2656249088,-0.624995840000004,40.624999936,768
1.5000000000000002e-09,4.8125004032,-0.18749990400000005,-1.2499957760000058,42.499999744,768
2e-09,4.8125004032,-0.031249894400000144,-1.2499957760000058,41.249999872000004,768
2.5e-09,4.8125004032,-0.1093748992000001,-1.2499957760000058,41.874999808,768
3.0000000000000004e-09,4.890625407999999,-0.1093748992000001,-1.8749957120000005,41.874999808,768
3.5000000000000003e-09,4.8125004032,-0.18749990400000005,-2.4999956480000023,42.499999744,768
4e-09,4.8125004032,-0.18749990400000005,-1.2499957760000058,43.12499968,768
4.500000000000001e-09,4.890625407999999,-0.031249894400000144,-1.8749957120000005,43.749999616,768
5e-09,4.9687504127999995,-0.1093748992000001,-1.2499957760000058,44.374999552,512
5.5000000000000004e-09,4.9687504127999995,-0.1093748992000001,-1.8749957120000005,45.624999424,512
6.000000000000001e-09,4.9687504127999995,-0.18749990400000005,-2.4999956480000023,46.249999360000004,512
6.5e-09,4.9687504127999995,-0.2656249088,-1.8749957120000005,46.249999360000004,512
7.000000000000001e-09,4.9687504127999995,-0.2656249088,-1.2499957760000058,46.874999296,0
7.500000000000001e-09,4.9687504127999995,-0.1093748992000001,-1.8749957120000005,47.499999232,0
8e-09,4.890625407999999,0.04687511039999981,-1.2499957760000058,46.874999296,0
8.5e-09,4.890625407999999,-0.031249894400000144,-1.2499957760000058,47.499999232,0
9.000000000000001e-09,4.890625407999999,-0.1093748992000001,-1.8749957120000005,49.37499904,0
9.5e-09,4.890625407999999,-0.2656249088,-1.8749957120000005,50.624998912,0
1e-08,4.890625407999999,-0.1093748992000001,-1.2499957760000058,50.624998912,0
1.0500000000000001e-08,4.8125004032,-0.1093748992000001,-2.4999956480000023,49.999998976,0
1.1000000000000001e-08,4.890625407999999,-0.1093748992000001,-2.4999956480000023,49.999998976,0
1.15e-08,4.8125004032,-0.1093748992000001,-2.4999956480000023,50.624998912,0
1.2000000000000002e-08,4.8125004032,-0.1093748992000001,-1.2499957760000058,51.249998848000004,0
1.2500000000000001e-08,4.8125004032,-0.1093748992000001,-1.8749957120000005,51.874998784,0
1.3e-08,4.9687504127999995,-0.031249894400000144,-1.8749957120000005,53.124998656,0
1.35e-08,4.9687504127999995,-0.1093748992000001,-2.4999956480000023,52.49999872,0
1.4000000000000001e-08,4.8125004032,-0.1093748992000001,-2.4999956480000023,52.49999872,0
1.45e-08,4.8125004032,-0.18749990400000005,-2.4999956480000023,53.749998592,0
