ROUT,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_GS_A_pp,V_GS_A_amp,V_GS_A_max,V_GS_A_top,V_GS_A_min,V_GS_A_bot,V_GS_B_pp,V_GS_B_amp,V_GS_B_max,V_GS_B_top,V_GS_B_min,V_GS_B_bot,V_DS_A_pp,V_DS_A_amp,V_DS_A_max,V_DS_A_top,V_DS_A_min,V_DS_A_bot,V_DS_B_pp
50.0,25.018459,1.14418028,28.625627423788522,35.62349,0.7122851,25.38915,7.81,5.0,5.63,4.94,-2.19,-0.06,8.5,5.0,5.69,4.94,-2.75,-0.13,61.9,53.1,56.3,51.3,-5.6,-1.9,55.6
50.5,25.018305,1.15498901,28.89586732382805,35.97276,0.7123077,25.64472,7.75,5.06,5.56,4.94,-2.19,-0.06,8.44,5.0,5.63,4.88,-2.81,-0.13,61.3,58.1,56.3,56.3,-5.0,-1.9,55.6
51.0,25.018071,1.16479093,29.140822186896028,36.32726,0.7120979,25.86622,7.75,5.0,5.63,4.94,-2.19,-0.06,8.44,5.0,5.63,4.88,-2.81,-0.13,61.3,58.8,56.9,56.3,-5.0,-1.9,55.6
51.5,25.017809,1.17522144,29.40146551862496,36.68037,0.7119294,26.11421,7.81,4.94,5.63,4.88,-2.19,-0.06,8.38,5.0,5.63,4.94,-2.81,-0.13,63.1,59.4,57.5,57.5,-5.6,-1.9,56.3
52.0,25.017569,1.18565788,29.66227782329372,37.04766,0.7121788,26.37399,7.81,5.0,5.63,4.94,-2.19,-0.06,8.44,5.0,5.63,4.88,-2.81,-0.13,61.3,58.1,56.3,56.3,-5.0,-1.9,56.3
52.5,25.017235,1.19609804,29.923065749719402,37.39548,0.7122219,26.63252,7.81,5.0,5.63,4.94,-2.19,-0.06,8.44,5.0,5.63,4.88,-2.81,-0.13,61.3,53.1,56.3,51.3,-5.0,-1.9,55.6
53.0,25.01704,1.20674623,30.189218705759203,37.76015,0.7122063,26.88329,7.75,5.0,5.63,4.88,-2.13,-0.06,8.44,5.0,5.69,4.88,-2.81,-0.13,61.3,58.1,56.3,56.3,-5.0,-1.9,55.6
53.5,25.016779,1.21692805,30.443620085750947,38.1224,0.7121507,27.14589,7.75,5.0,5.56,4.88,-2.19,-0.13,8.44,5.0,5.63,4.94,-2.81,-0.13,61.3,58.1,56.3,56.3,-5.0,-1.9,55.6
54.0,25.016494,1.2273634,30.7043291319196,38.47206,0.7121464,27.39743,7.75,5.0,5.63,4.94,-2.19,-0.06,8.5,5.0,5.63,4.88,-2.75,-0.13,61.9,58.8,56.9,56.9,-5.0,-1.9,55.6
54.5,25.016221,1.23786844,30.966790463965243,38.82495,0.7122772,27.67319,7.88,5.0,5.63,4.94,-2.19,-0.06,8.44,5.06,5.63,4.94,-2.81,-0.13,61.3,58.1,56.3,56.3,-5.0,-1.9,56.3
55.0,25.016087,1.24831262,31.22789710511794,39.19214,0.7123406,27.90832,7.75,5.0,5.63,4.94,-2.25,-0.06,8.44,5.0,5.63,4.88,-2.81,-0.13,60.6,57.5,55.6,55.6,-5.0,-1.9,55.6
55.5,25.01603,1.25862242,31.485736217392603,39.53561,0.7121091,28.15845,7.69,5.0,5.56,4.94,-2.19,-0.06,8.44,5.0,5.63,4.88,-2.81,-0.13,61.9,58.1,56.3,56.3,-5.0,-1.9,55.6
56.0,25.015919,1.2689034,31.742784673224598,39.89414,0.712168,28.4078,7.81,5.0,5.63,4.94,-2.19,-0.06,8.44,5.06,5.63,4.94,-2.81,-0.13,61.3,57.5,56.3,56.3,-5.0,-1.3,55.6
56.5,25.015969,1.2792297,32.001170519079295,40.2365,0.711978,28.65304,7.75,5.0,5.63,4.94,-2.13,-0.06,8.44,5.06,5.69,4.94,-2.81,-0.13,61.9,58.8,56.9,56.9,-5.0,-1.9,56.3
57.0,25.016065,1.28965184,32.26201425680961,40.59563,0.712062,28.90576,7.81,5.0,5.63,4.94,-2.13,-0.06,8.44,5.06,5.63,4.88,-2.75,-0.13,61.3,58.1,56.3,56.3,-5.0,-1.9,55.6
57.5,25.016116,1.29984821,32.51715360375236,40.94484,0.7118318,29.15391,7.75,5.0,5.56,4.94,-2.19,-0.06,8.44,5.0,5.63,4.88,-2.81,-0.13,61.9,58.8,56.9,55.6,-5.0,-1.9,56.3
58.0,25.016272,1.31029304,32.77864708834688,41.30667,0.7120317,29.41221,7.81,5.0,5.56,4.94,-2.19,-0.06,8.5,5.0,5.69,4.88,-2.81,-0.13,61.9,58.8,56.9,56.9,-5.0,-1.9,55.6
58.5,25.016421,1.31865223,32.98795933826884,41.59661,0.7119814,29.61826,7.81,5.06,5.63,4.94,-2.19,-0.13,8.44,5.06,5.63,4.94,-2.81,-0.13,61.3,58.1,56.3,56.3,-5.0,-1.9,55.6
59.0,25.0166,1.3309853,33.296726855980005,42.01589,0.711856,29.90801,7.81,5.0,5.63,4.94,-2.19,-0.06,8.5,5.06,5.69,4.94,-2.81,-0.13,60.6,58.1,56.3,56.3,-4.4,-1.9,55.6
59.5,25.016741,1.34138928,33.55718819793648,42.37612,0.7119427,30.17182,7.75,5.0,5.56,4.94,-2.19,-0.06,8.44,5.0,5.69,4.88,-2.75,-0.13,61.3,58.1,56.3,56.3,-5.0,-1.9,55.6
60.0,25.016947,1.35139341,33.807737314119265,42.71561,0.7118012,30.41992,7.75,5.0,5.56,4.94,-2.19,-0.06,8.44,5.0,5.69,4.88,-2.88,-0.13,60.6,58.8,56.3,56.3,-4.4,-1.9,55.6
60.5,25.017314,1.36185116,34.06985809098424,43.08995,0.7118593,30.67225,7.81,5.0,5.63,4.94,-2.19,-0.06,8.44,5.06,5.63,4.94,-2.81,-0.13,61.3,58.1,56.3,56.3,-5.0,-1.9,56.3
61.0,25.017573,1.37239828,34.33407415497444,43.44627,0.7119192,30.9273,7.81,5.0,5.63,4.94,-2.19,-0.06,8.38,5.0,5.69,4.88,-2.81,-0.13,61.3,57.5,56.3,56.3,-5.0,-1.9,56.3
61.5,25.018053,1.38196575,34.57409237768475,43.78314,0.7117927,31.16695,7.81,5.06,5.63,4.94,-2.19,-0.06,8.5,5.06,5.69,4.94,-2.81,-0.13,61.3,58.1,56.3,56.3,-5.0,-1.9,56.3
61.68502750680849,25.018272,1.38480023,34.64530881980256,43.8733,0.7119093,31.23348,7.75,5.0,5.56,4.94,-2.19,-0.06,8.38,5.06,5.63,4.88,-2.81,-0.13,61.3,58.1,56.3,56.3,-5.0,-1.9,55.6
