Time (s),VGS_A,VGS_B,VDS_A,VDS_B
0.0,4.8749993216,-0.1250001664,-1.2499957760000058,44.374999552
5e-10,4.7499993344,-0.18750016000000014,-1.8749957120000005,43.749999616
1e-09,4.7499993344,-0.1250001664,-1.8749957120000005,44.374999552
1.5000000000000002e-09,4.8124993279999995,-1.7920000017213056e-07,-1.2499957760000058,44.999999488
2e-09,4.9999993088,0.062499814399999964,-1.8749957120000005,44.999999488
2.5e-09,4.8749993216,-1.7920000017213056e-07,-1.8749957120000005,44.999999488
3.0000000000000004e-09,4.8749993216,-0.1250001664,-2.4999956480000023,45.624999424
3.5000000000000003e-09,4.8124993279999995,-0.18750016000000014,-0.624995840000004,45.624999424
4e-09,4.9374993152,-0.06250017280000009,-1.8749957120000005,45.624999424
4.500000000000001e-09,5.0624993024,0.062499814399999964,-1.2499957760000058,45.624999424
5e-09,4.9999993088,0.062499814399999964,-1.2499957760000058,46.249999360000004
5.5000000000000004e-09,4.8749993216,-0.1250001664,-1.2499957760000058,46.249999360000004
6.000000000000001e-09,4.7499993344,-0.1250001664,-1.8749957120000005,46.249999360000004
6.5e-09,4.8124993279999995,-0.1250001664,-1.8749957120000005,45.624999424
7.000000000000001e-09,4.8124993279999995,-0.06250017280000009,-1.8749957120000005,46.249999360000004
7.500000000000001e-09,4.8749993216,-0.06250017280000009,-1.2499957760000058,47.499999232
8e-09,4.8749993216,-0.1250001664,-1.8749957120000005,48.124999168
8.5e-09,4.8749993216,-0.18750016000000014,-2.4999956480000023,48.124999168
9.000000000000001e-09,4.8749993216,-0.18750016000000014,-1.8749957120000005,48.124999168
9.5e-09,4.8749993216,-0.1250001664,-1.2499957760000058,48.124999168
1e-08,4.9999993088,0.062499814399999964,-2.4999956480000023,48.749999104
1.0500000000000001e-08,4.9374993152,-0.06250017280000009,-3.124995584000004,48.749999104
1.1000000000000001e-08,4.9374993152,-0.1250001664,-2.4999956480000023,49.37499904
1.15e-08,4.8124993279999995,-0.18750016000000014,-0.624995840000004,48.749999104
1.2000000000000002e-08,4.8124993279999995,-1.7920000017213056e-07,-1.8749957120000005,48.749999104
1.2500000000000001e-08,4.7499993344,0.062499814399999964,-1.2499957760000058,49.999998976
1.3e-08,4.1249993984,-1.7920000017213056e-07,-1.8749957120000005,49.999998976
1.35e-08,3.1874994944,-0.1250001664,-1.8749957120000005,49.999998976
1.4000000000000001e-08,2.5624995584,-0.18750016000000014,-2.4999956480000023,49.999998976
1.45e-08,2.6249995520000002,-0.18750016000000014,-1.2499957760000058,49.37499904
1.5000000000000002e-08,2.5624995584,-1.7920000017213056e-07,-1.8749957120000005,49.37499904
1.55e-08,2.1874995968,0.062499814399999964,-1.8749957120000005,49.37499904
1.6e-08,1.4999996672,-0.06250017280000009,-1.8749957120000005,48.749999104
1.6500000000000002e-08,0.6874997503999998,-0.1250001664,-2.4999956480000023,48.749999104
1.7e-08,-0.1250001664,-0.1250001664,-1.8749957120000005,48.749999104
1.75e-08,-0.8750000896000001,-0.06250017280000009,-1.2499957760000058,48.749999104
1.8000000000000002e-08,-1.3125000448000002,-0.06250017280000009,-1.8749957120000005,48.124999168
1.85e-08,-1.6875000064,-0.06250017280000009,-2.4999956480000023,47.499999232
1.9e-08,-1.8749999872,-0.1250001664,-2.4999956480000023,47.499999232
1.9500000000000003e-08,-2.062499968,-0.1250001664,-1.8749957120000005,46.249999360000004
2e-08,-1.9374999808,-0.1250001664,-2.4999956480000023,45.624999424
2.05e-08,-1.75,-0.06250017280000009,-1.8749957120000005,45.624999424
2.1000000000000003e-08,-1.5000000256,-0.06250017280000009,-3.124995584000004,44.999999488
