VIN,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_GS_A_pp,V_GS_A_amp,V_GS_A_max,V_GS_A_top,V_GS_A_min,V_GS_A_bot,V_GS_B_pp,V_GS_B_amp,V_GS_B_max,V_GS_B_top,V_GS_B_min,V_GS_B_bot,V_DS_A_pp,V_DS_A_amp,V_DS_A_max,V_DS_A_top,V_DS_A_min,V_DS_A_bot,V_DS_B_pp
18.0,18.003012,1.13044931,20.351492493321718,33.79752,0.5475996,18.50617,8.0,5.1,5.67,4.89,-2.38,-0.19,8.4,5.2,5.75,4.81,-2.84,-0.11,42.5,40.6,39.4,39.4,-3.8,-1.9,40.0
18.5,18.501733,1.16148774,21.489536048253424,34.72577,0.5627197,19.54196,8.0,5.1,5.75,4.89,-2.38,-0.19,8.5,5.0,5.75,4.81,-2.77,-0.11,43.8,41.9,40.0,40.0,-3.8,-1.9,41.3
19.0,19.001953,1.19271671,22.66394686573463,35.68347,0.5778579,20.626,8.0,5.1,5.67,4.89,-2.38,-0.19,8.6,5.1,5.75,4.89,-2.77,-0.11,45.6,43.1,41.3,41.3,-3.1,-1.9,41.3
19.5,19.500166,1.22252543,23.83944882422138,36.60059,0.5929025,21.70321,8.2,5.0,5.67,4.81,-2.38,-0.19,8.7,5.0,5.83,4.89,-2.84,-0.11,46.3,44.4,42.5,42.5,-3.8,-1.9,43.1
20.0,19.998912,1.25204049,25.03944757994688,37.49114,0.6082619,22.80613,8.0,5.0,5.67,4.81,-2.38,-0.19,8.4,5.0,5.75,4.97,-2.69,-0.11,47.5,45.0,43.1,43.8,-3.1,-1.9,44.4
20.5,20.499993,1.28737131,26.39110284340083,38.51724,0.6239681,24.0225,8.1,5.0,5.75,4.81,-2.3,-0.19,8.5,5.1,5.75,4.81,-2.77,-0.19,48.1,46.3,44.4,44.4,-3.8,-1.9,45.0
21.0,21.000728,1.32046561,27.73073910896408,39.44129,0.6403241,25.24735,8.0,5.0,5.75,4.81,-2.3,-0.19,8.5,5.0,5.75,4.89,-2.77,-0.11,49.4,47.5,45.6,46.3,-3.8,-1.9,46.3
21.5,21.502838,1.35885613,29.21926322869694,40.53946,0.6565086,26.61579,8.0,5.1,5.75,4.81,-2.38,-0.19,8.5,5.1,5.83,4.97,-2.69,-0.11,50.6,48.8,46.9,47.5,-3.8,-1.9,47.5
22.0,22.003443,1.39382106,30.668862245909583,41.53296,0.6726427,27.9326,8.0,5.0,5.67,4.89,-2.3,-0.19,8.5,5.1,5.75,4.97,-2.77,-0.11,52.5,50.0,48.8,48.1,-3.8,-1.9,48.8
22.5,22.504304,1.42722745,32.1187604119448,42.48972,0.6885377,29.25723,8.0,5.0,5.67,4.81,-2.3,-0.19,8.4,5.1,5.75,4.89,-2.77,-0.11,53.1,51.3,49.4,49.4,-3.8,-1.9,50.0
23.0,23.004395,1.46068612,33.6022004754974,43.44676,0.7042033,30.60042,8.0,5.1,5.67,4.89,-2.3,-0.19,8.4,5.1,5.75,4.97,-2.69,-0.11,55.0,53.1,51.3,50.6,-4.4,-1.9,51.3
23.5,23.50528,1.49485646,35.1370196521088,44.44081,0.7204185,32.01812,8.1,5.0,5.75,4.81,-2.38,-0.19,8.5,5.1,5.75,4.89,-2.69,-0.11,55.6,53.8,51.9,51.9,-4.4,-1.9,52.5
24.0,24.005252,1.52854847,36.693191216564436,45.43481,0.7362109,33.44939,7.9,5.1,5.67,4.89,-2.22,-0.19,8.6,5.1,5.83,4.89,-2.77,-0.11,56.9,54.4,52.5,53.1,-3.8,-1.9,53.8
24.5,24.505676,1.56080888,38.24867671120288,46.3894,0.7521436,34.89568,8.0,5.1,5.75,4.81,-2.3,-0.19,8.4,4.9,5.75,4.81,-2.69,-0.11,57.5,55.6,53.8,53.8,-3.8,-1.9,55.0
25.0,25.007197,1.59311921,39.83944592895437,47.34744,0.7676434,36.34553,7.9,5.1,5.75,4.89,-2.3,-0.19,8.4,4.9,5.75,4.89,-2.77,-0.11,60.0,57.5,55.0,55.6,-3.8,-1.9,55.6
25.5,25.508254,1.62623273,41.48235753995342,48.33957,0.7830148,37.8485,8.0,5.0,5.67,4.81,-2.38,-0.19,8.6,5.1,5.83,4.97,-2.84,-0.11,60.0,58.1,56.3,56.9,-4.4,-1.9,56.9
26.0,26.010284,1.65820999,43.130512771537155,49.29625,0.7986923,39.37091,8.0,5.1,5.67,4.89,-2.3,-0.19,8.5,4.9,5.67,4.89,-2.84,-0.11,61.9,59.4,57.5,57.5,-4.4,-1.9,58.1
26.5,26.51267,1.6903097,44.814623273899,50.2547,0.8147728,40.94641,8.0,5.1,5.67,4.89,-2.3,-0.19,8.8,5.0,5.83,4.89,-2.77,-0.11,63.1,61.3,59.4,59.4,-4.4,-1.9,58.8
27.0,27.016997,1.72350966,46.56405531369102,51.24721,0.8304784,42.55904,8.0,5.1,5.67,4.89,-2.3,-0.19,8.8,5.0,5.75,4.97,-2.84,-0.19,65.0,62.5,60.6,60.6,-3.8,-1.9,60.0
27.5,27.52108,1.75552167,48.3138523218036,52.20292,0.8460581,44.16299,8.0,5.0,5.67,4.89,-2.22,-0.19,8.7,5.0,5.83,4.97,-2.92,-0.11,65.6,62.5,61.9,61.9,-4.4,-1.9,61.9
28.0,28.026568,1.78865179,50.12977102075672,53.19678,0.8614577,45.82895,8.1,5.1,5.67,4.81,-2.3,-0.19,8.8,5.1,5.75,4.97,-2.92,-0.11,66.9,64.4,62.5,62.5,-4.4,-1.9,61.9
